split,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B
train,7,5,The nervous chick past the screws,The nervous chicks past the screw,-8.883936882019043,-10.633936882019043,-8.450952529907227,-8.013452529907227,-7.684103012084961,-7.184103012084961
train,7,5,The sleepy rabbit beneath the milestones,The sleepy rabbits beneath the milestone,-11.290892601013184,-14.790892601013184,-13.825227737426758,-9.700227737426758,-13.558277130126953,-9.433277130126953
train,7,5,The sleepy bat beneath the boilers,The sleepy bats beneath the boiler,-3.939912796020508,-9.627412796020508,-6.989213943481445,-2.7392139434814453,-6.848151683807373,-2.598151683807373
train,7,5,The sleepy lion beneath the boilers,The sleepy lions beneath the boiler,-4.928691387176514,-10.491190910339355,-7.7726826667785645,-3.6476826667785645,-7.6199493408203125,-3.3074493408203125
train,7,5,The quiet shark outside the clocks,The quiet sharks outside the clock,-6.408175945281982,-7.908175945281982,-8.585090637207031,-6.8350911140441895,-8.667060852050781,-7.0420613288879395
train,7,5,The calm dog outside the houses,The calm dogs outside the house,-4.887549877166748,-8.51254940032959,-6.267297744750977,-3.2672979831695557,-6.197678089141846,-3.0726780891418457
train,7,5,The slender pup behind the bolts,The slender pups behind the bolt,-12.95759105682373,-14.64509105682373,-15.177372932434082,-11.177372932434082,-14.990212440490723,-10.990212440490723
train,7,5,The small frog around the tanks,The small frogs around the tank,-5.931601524353027,-8.681601524353027,-7.2757568359375,-1.525757074356079,-7.116903305053711,-1.3669030666351318
train,7,5,The fuzzy panda outside the pots,The fuzzy pandas outside the pot,-4.11491584777832,-7.61491584777832,-5.326652526855469,-3.3266525268554688,-4.7508745193481445,-2.7508745193481445
train,7,5,The small panda behind the bolts,The small pandas behind the bolt,-5.672670364379883,-10.110170364379883,-7.890442848205566,-5.015442848205566,-7.458402156829834,-4.583402156829834
train,7,5,The quiet turtle around the dams,The quiet turtles around the dam,-5.591008186340332,-7.716008186340332,-7.748525619506836,-2.186025619506836,-7.601028919219971,-1.8510290384292603
train,7,5,The nervous dog around the benches,The nervous dogs around the bench,-6.441159725189209,-8.69115924835205,-7.295806884765625,-3.045806646347046,-6.953344345092773,-2.7033443450927734
train,7,5,The sleepy kitten beneath the logs,The sleepy kittens beneath the log,-4.607175350189209,-10.85717487335205,-8.096817970275879,-4.346817970275879,-7.689293384552002,-3.939293622970581
train,7,5,The quiet monitor beneath the chains,The quiet monitors beneath the chain,-5.609220027923584,-10.171719551086426,-5.174475193023682,-4.924475193023682,-4.965904235839844,-4.840904235839844
train,7,5,The small panda past the vines,The small pandas past the vine,-15.825753211975098,-18.07575225830078,-15.503251075744629,-14.565751075744629,-15.09392261505127,-13.96892261505127
train,7,5,The timid kitten outside the towers,The timid kittens outside the tower,-4.728568077087402,-9.916068077087402,-8.702354431152344,-3.389854907989502,-8.68657398223877,-3.4365739822387695
train,7,5,The sleepy frog behind the valves,The sleepy frogs behind the valve,-4.634660720825195,-9.072160720825195,-7.166411876678467,-2.8539116382598877,-6.753220558166504,-2.440720558166504
