split,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B
train,4,5,The sleepy bat,The sleepy bats,-1.8079233169555664,-9.932923316955566,-8.388175964355469,-1.6381759643554688,-8.388175964355469,-1.6381759643554688
train,4,5,The fuzzy frog,The fuzzy frogs,-11.715402603149414,-14.527902603149414,-15.60881519317627,-11.51506519317627,-15.60881519317627,-11.51506519317627
train,4,5,The bright shark,The bright sharks,-8.277755737304688,-10.902755737304688,-11.324597358703613,-8.762097358703613,-11.324597358703613,-8.762097358703613
train,4,5,The small bat,The small bats,-7.955072402954102,-14.517572402954102,-13.22631549835205,-7.538815498352051,-13.22631549835205,-7.538815498352051
train,4,5,The bright chick,The bright chicks,-13.983438491821289,-15.858438491821289,-16.18448829650879,-14.278238296508789,-16.18448829650879,-14.278238296508789
train,4,5,The nervous panda,The nervous pandas,-11.468811988830566,-12.468811988830566,-13.699341773986816,-11.574341773986816,-13.699341773986816,-11.574341773986816
train,4,5,The slender turtle,The slender turtles,-11.84351634979248,-15.65601634979248,-16.428966522216797,-13.428966522216797,-16.428966522216797,-13.428966522216797
train,4,5,The quiet turtle,The quiet turtles,-2.8154149055480957,-10.627914428710938,-8.072843551635742,-2.697843313217163,-8.072843551635742,-2.697843313217163
train,4,5,The sleepy doe,The sleepy does,-12.807865142822266,-14.182865142822266,-16.279804229736328,-14.217305183410645,-16.279804229736328,-14.217305183410645
train,4,5,The timid horse,The timid horses,-2.6101455688476562,-10.047645568847656,-8.32107925415039,-1.9460796117782593,-8.32107925415039,-1.9460796117782593
train,4,5,The nervous rat,The nervous rats,-3.4905242919921875,-10.803024291992188,-7.763566493988037,-2.513566493988037,-7.763566493988037,-2.513566493988037
train,4,5,The fuzzy shark,The fuzzy sharks,-1.4325006008148193,-8.120000839233398,-5.706048965454102,-1.3310489654541016,-5.706048965454102,-1.3310489654541016
train,4,5,The timid horse,The timid horses,-10.297645568847656,-13.797645568847656,-14.00857925415039,-10.13357925415039,-14.00857925415039,-10.13357925415039
train,4,5,The timid dog,The timid dogs,-11.1177978515625,-12.7427978515625,-13.320084571838379,-9.632584571838379,-13.320084571838379,-9.632584571838379
train,4,5,The timid rabbit,The timid rabbits,-2.2830183506011963,-10.408018112182617,-7.818054676055908,-1.5055545568466187,-7.818054676055908,-1.5055545568466187
train,4,5,The bright panda,The bright pandas,-7.475609302520752,-9.413108825683594,-11.40074348449707,-7.650743007659912,-11.40074348449707,-7.650743007659912
train,4,5,The fuzzy turtle,The fuzzy turtles,-9.53499984741211,-11.78499984741211,-13.975393295288086,-10.037893295288086,-13.975393295288086,-10.037893295288086
train,4,5,The sleepy monitor,The sleepy monitors,-3.1480863094329834,-10.773086547851562,-8.356301307678223,-2.7313010692596436,-8.356301307678223,-2.7313010692596436
train,4,5,The calm dolphin,The calm dolphins,-8.242502212524414,-11.867502212524414,-13.728287696838379,-8.790787696838379,-13.728287696838379,-8.790787696838379
train,4,5,The small pup,The small pups,-11.477294921875,-14.852294921875,-13.500388145446777,-10.125388145446777,-13.500388145446777,-10.125388145446777
train,4,5,The quiet whale,The quiet whales,-9.272406578063965,-11.959906578063965,-13.026382446289062,-9.588882446289062,-13.026382446289062,-9.588882446289062
train,4,5,The slender doe,The slender does,-14.602113723754883,-17.852113723754883,-18.612144470214844,-14.924644470214844,-18.612144470214844,-14.924644470214844
train,4,5,The fuzzy kitten,The fuzzy kittens,-11.06130599975586,-11.56130599975586,-13.87098217010498,-10.24598217010498,-13.87098217010498,-10.24598217010498
