split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B
train,0,10,5,The fuzzy monitor past the rocks beneath the chairs,The fuzzy monitors past the rock beneath the chair,-13.208240509033203,-17.145740509033203,-16.968162536621094,-15.655662536621094,-16.90827178955078,-15.658272743225098
train,1,10,5,The fuzzy monitors past the rock beneath the chair,The fuzzy monitor past the rocks beneath the chairs,-15.655662536621094,-16.968162536621094,-17.145740509033203,-13.208240509033203,-17.145809173583984,-13.2083101272583
train,0,10,5,The slender monitor beneath the logs around the columns,The slender monitors beneath the log around the column,-2.617116928100586,-5.742116928100586,-6.592926025390625,-1.9679261445999146,-6.588315963745117,-1.9633158445358276
train,1,10,5,The slender monitors beneath the log around the column,The slender monitor beneath the logs around the columns,-1.9679261445999146,-6.592926025390625,-5.742116928100586,-2.617116928100586,-5.651680946350098,-2.5266811847686768
train,0,10,5,The timid panda past the barrels beneath the statues,The timid pandas past the barrel beneath the statue,-7.772243022918701,-9.77224349975586,-9.788702964782715,-8.663702964782715,-9.908292770385742,-8.783292770385742
train,1,10,5,The timid pandas past the barrel beneath the statue,The timid panda past the barrels beneath the statues,-8.663702964782715,-9.788702964782715,-9.77224349975586,-7.772243022918701,-9.772173881530762,-7.77217435836792
train,0,10,5,The fuzzy lion behind the crates past the barrels,The fuzzy lions behind the crate past the barrel,-17.089616775512695,-19.620866775512695,-18.26540184020996,-17.01540184020996,-18.35690689086914,-17.13815689086914
train,1,10,5,The fuzzy lions behind the crate past the barrel,The fuzzy lion behind the crates past the barrels,-17.01540184020996,-18.26540184020996,-19.620866775512695,-17.089616775512695,-19.589855194091797,-17.089855194091797
train,0,10,5,The slender shark outside the pots behind the pans,The slender sharks outside the pot behind the pan,-4.451876163482666,-9.201875686645508,-5.068462371826172,-4.068462371826172,-4.964068412780762,-4.089068412780762
train,1,10,5,The slender sharks outside the pot behind the pan,The slender shark outside the pots behind the pans,-4.068462371826172,-5.068462371826172,-9.201875686645508,-4.451876163482666,-9.205321311950684,-4.330321788787842
train,0,10,5,The calm kitten around the columns outside the towers,The calm kittens around the column outside the tower,-5.122883319854736,-9.372883796691895,-5.821402072906494,-3.0714023113250732,-5.818431854248047,-3.0684316158294678
train,1,10,5,The calm kittens around the column outside the tower,The calm kitten around the columns outside the towers,-3.0714023113250732,-5.821402072906494,-9.372883796691895,-5.122883319854736,-9.433419227600098,-5.120919227600098
train,0,10,5,The nervous rat outside the clocks behind the plants,The nervous rats outside the clock behind the plant,-8.753277778625488,-12.878277778625488,-10.266090393066406,-6.266089916229248,-10.265185356140137,-6.390185832977295
train,1,10,5,The nervous rats outside the clock behind the plant,The nervous rat outside the clocks behind the plants,-6.266089916229248,-10.266090393066406,-12.878277778625488,-8.753277778625488,-12.815816879272461,-8.753316879272461
train,0,10,5,The small rabbit beneath the boilers around the tanks,The small rabbits beneath the boiler around the tank,-12.485564231872559,-15.548064231872559,-16.520689010620117,-13.7081880569458,-16.56751823425293,-13.66126823425293
train,1,10,5,The small rabbits beneath the boiler around the tank,The small rabbit beneath the boilers around the tanks,-13.7081880569458,-16.520689010620117,-15.548064231872559,-12.485564231872559,-15.573636054992676,-12.511136054992676
train,0,10,5,The quiet chick outside the pipes behind the valves,The quiet chicks outside the pipe behind the valve,-13.901603698730469,-14.901603698730469,-14.10935115814209,-11.42185115814209,-14.070343971252441,-11.320343971252441
train,1,10,5,The quiet chicks outside the pipe behind the valve,The quiet chick outside the pipes behind the valves,-11.42185115814209,-14.10935115814209,-14.901603698730469,-13.901603698730469,-15.014898300170898,-14.014898300170898
train,0,10,5,The sleepy whale around the columns outside the towers,The sleepy whales around the column outside the tower,-14.97900390625,-15.72900390625,-15.039790153503418,-12.227290153503418,-15.075571060180664,-12.263071060180664
train,1,10,5,The sleepy whales around the column outside the tower,The sleepy whale around the columns outside the towers,-12.227290153503418,-15.039790153503418,-15.72900390625,-14.97900390625,-15.732073783874512,-14.919573783874512
train,0,10,5,The sleepy pup beneath the milestones around the thresholds,The sleepy pups beneath the milestone around the threshold,-15.116168975830078,-15.928668975830078,-17.866806030273438,-12.929306030273438,-17.959909439086914,-13.022408485412598
train,1,10,5,The sleepy pups beneath the milestone around the threshold,The sleepy pup beneath the milestones around the thresholds,-12.929306030273438,-17.866806030273438,-15.928668975830078,-15.116168975830078,-15.794896125793457,-14.982396125793457
train,0,10,5,The nervous rabbit behind the windows past the crates,The nervous rabbits behind the window past the crate,-16.906587600708008,-18.562837600708008,-17.58140754699707,-15.800158500671387,-17.581703186035156,-15.80045223236084
train,1,10,5,The nervous rabbits behind the window past the crate,The nervous rabbit behind the windows past the crates,-15.800158500671387,-17.58140754699707,-18.562837600708008,-16.906587600708008,-18.408296585083008,-16.845796585083008
train,0,10,5,The quiet dog past the barrels beneath the statues,The quiet dogs past the barrel beneath the statue,-17.009719848632812,-18.384719848632812,-17.1187801361084,-16.0562801361084,-17.115402221679688,-16.052902221679688
train,1,10,5,The quiet dogs past the barrel beneath the statue,The quiet dog past the barrels beneath the statues,-16.0562801361084,-17.1187801361084,-18.384719848632812,-17.009719848632812,-18.385114669799805,-17.010114669799805
train,0,10,5,The quiet dolphin beneath the chairs around the carts,The quiet dolphins beneath the chair around the cart,-15.01036548614502,-15.57286548614502,-16.74227523803711,-15.27352523803711,-16.687715530395508,-15.250215530395508
train,1,10,5,The quiet dolphins beneath the chair around the cart,The quiet dolphin beneath the chairs around the carts,-15.27352523803711,-16.74227523803711,-15.57286548614502,-15.01036548614502,-15.461834907531738,-14.961834907531738
train,0,10,5,The timid cow outside the tables behind the houses,The timid cows outside the table behind the house,-13.437360763549805,-15.062360763549805,-15.28709602355957,-12.91209602355957,-15.211719512939453,-12.774219512939453
train,1,10,5,The timid cows outside the table behind the house,The timid cow outside the tables behind the houses,-12.91209602355957,-15.28709602355957,-15.062360763549805,-13.437360763549805,-15.055155754089355,-13.430155754089355
train,0,10,5,The small whale around the tanks outside the pipes,The small whales around the tank outside the pipe,-5.642780303955078,-9.267780303955078,-6.817160606384277,-2.8171603679656982,-6.715476036071777,-2.7154760360717773
train,1,10,5,The small whales around the tank outside the pipe,The small whale around the tanks outside the pipes,-2.8171603679656982,-6.817160606384277,-9.267780303955078,-5.642780303955078,-9.26849365234375,-5.51849365234375
train,0,10,5,The nervous shark outside the pipes behind the valves,The nervous sharks outside the pipe behind the valve,-7.134524345397949,-10.38452434539795,-7.817002296447754,-4.817002296447754,-7.819159507751465,-4.694159507751465
train,1,10,5,The nervous sharks outside the pipe behind the valve,The nervous shark outside the pipes behind the valves,-4.817002296447754,-7.817002296447754,-10.38452434539795,-7.134524345397949,-10.384989738464355,-7.1349897384643555
train,0,10,5,The sleepy monitor around the belts outside the piles,The sleepy monitors around the belt outside the pile,-6.07102632522583,-7.32102632522583,-8.528365135192871,-2.84086537361145,-8.545117378234863,-2.9201176166534424
train,1,10,5,The sleepy monitors around the belt outside the pile,The sleepy monitor around the belts outside the piles,-2.84086537361145,-8.528365135192871,-7.32102632522583,-6.07102632522583,-7.320730209350586,-6.070730209350586
train,0,10,5,The bright panda outside the benches behind the windows,The bright pandas outside the bench behind the window,-4.5606794357299805,-7.4356794357299805,-7.749472141265869,-3.374472141265869,-7.872820854187012,-3.3728208541870117
train,1,10,5,The bright pandas outside the bench behind the window,The bright panda outside the benches behind the windows,-3.374472141265869,-7.749472141265869,-7.4356794357299805,-4.5606794357299805,-7.4362287521362305,-4.5612287521362305
train,0,10,5,The nervous chick past the screws beneath the boilers,The nervous chicks past the screw beneath the boiler,-7.7582688331604,-10.758268356323242,-7.371951103210449,-6.371951103210449,-7.374183177947998,-6.374183177947998
train,1,10,5,The nervous chicks past the screw beneath the boiler,The nervous chick past the screws beneath the boilers,-6.371951103210449,-7.371951103210449,-10.758268356323242,-7.7582688331604,-10.758437156677246,-7.883437633514404
train,0,10,5,The small dog beneath the trenches around the dams,The small dogs beneath the trench around the dam,-4.10645055770874,-7.98145055770874,-6.8063435554504395,-1.9313435554504395,-6.707235336303711,-1.8322352170944214
