layer,tok,neuron,attribution
22,5,1172,0.6357545256614685
24,5,6024,0.4034418761730194
21,5,972,0.39640337228775024
19,5,4954,0.2962997853755951
26,5,2288,0.2843817174434662
23,5,28,0.28222158551216125
25,5,1606,0.2816939055919647
26,5,152,0.2648272216320038
21,5,1444,0.2537788450717926
25,5,4923,0.19266827404499054
25,5,3208,0.18860779702663422
26,5,5436,0.1770111471414566
20,5,1432,0.1752943992614746
24,5,4418,0.1490604728460312
17,5,2198,0.1443120539188385
20,5,765,0.12888038158416748
