split,inverse,eval_input,counterfactual_input,clean_logp_A,clean_logp_B,complement_ablation_logp_A,complement_ablation_logp_B,circuit_ablation_logp_A,circuit_ablation_logp_B,all_ablation_logp_A,all_ablation_logp_B,n_nodes
train,0,The sleepy bat,The sleepy bats,-2.0464906692504883,-10.171490669250488,-2.574732542037964,-10.199732780456543,-2.5352187156677246,-7.410218715667725,-3.241126775741577,-7.616127014160156,64
train,1,The sleepy bats,The sleepy bat,-1.76617431640625,-8.45367431640625,-1.816485047340393,-7.6914849281311035,-1.9672455787658691,-6.592245578765869,-2.0196237564086914,-6.269623756408691,64
train,0,The fuzzy frog,The fuzzy frogs,-12.373226165771484,-15.185726165771484,-13.186789512634277,-15.936789512634277,-12.74591064453125,-14.55841064453125,-13.59736156463623,-15.40986156463623,64
train,1,The fuzzy frogs,The fuzzy frog,-11.707802772521973,-15.832802772521973,-11.675227165222168,-15.362727165222168,-11.783878326416016,-14.658878326416016,-11.681936264038086,-14.431936264038086,64
train,0,The bright shark,The bright sharks,-9.019481658935547,-11.706981658935547,-9.693746566772461,-13.006246566772461,-9.539277076721191,-11.039277076721191,-10.088102340698242,-12.400602340698242,64
train,1,The bright sharks,The bright shark,-9.171207427978516,-11.733707427978516,-9.85765266418457,-12.73265266418457,-9.738548278808594,-10.863548278808594,-10.48565673828125,-11.79815673828125,64
train,0,The small bat,The small bats,-8.144024848937988,-14.706524848937988,-8.551342010498047,-14.551342010498047,-8.006834983825684,-12.881834983825684,-8.745671272277832,-13.495671272277832,64
train,1,The small bats,The small bat,-7.596708297729492,-13.221708297729492,-7.557425498962402,-13.057425498962402,-7.718612194061279,-11.468611717224121,-7.915181636810303,-12.102682113647461,64
train,0,The bright chick,The bright chicks,-15.253191947937012,-17.190692901611328,-14.625265121459961,-16.34401512145996,-16.064739227294922,-16.939739227294922,-15.088672637939453,-16.026172637939453,64
train,1,The bright chicks,The bright chick,-15.0490140914917,-16.955263137817383,-14.618171691894531,-16.39942169189453,-15.186444282531738,-16.748945236206055,-14.797167778015137,-16.10966682434082,64
train,0,The nervous panda,The nervous pandas,-12.229968070983887,-13.292468070983887,-11.412984848022461,-12.787984848022461,-12.742709159851074,-13.117709159851074,-12.079751014709473,-12.829751014709473,64
train,1,The nervous pandas,The nervous panda,-12.117985725402832,-14.242985725402832,-11.62878704071045,-14.06628704071045,-12.322171211242676,-13.947171211242676,-11.689697265625,-13.689697265625,64
train,0,The slender turtle,The slender turtles,-12.91177749633789,-16.72427749633789,-12.760430335998535,-16.01042938232422,-13.566696166992188,-16.972946166992188,-13.264269828796387,-16.07676887512207,64
train,1,The slender turtles,The slender turtle,-13.880208015441895,-16.817707061767578,-12.716710090637207,-16.279211044311523,-14.291433334350586,-16.385183334350586,-12.738450050354004,-15.550950050354004,64
