hook,layer,tok,unit,attribution
mlp_act,22,5,1172,0.6396647691726685
mlp_act,17,5,2198,0.14446431398391724
mlp_act,17,5,1698,0.1166769489645958
mlp_act,17,5,1258,0.06938084214925766
mlp_act,27,5,4485,0.06272132694721222
mlp_act,12,5,3782,0.0595761239528656
mlp_act,27,5,4987,0.043382544070482254
mlp_act,27,5,303,0.028969205915927887
mlp_act,2,5,2668,0.02855790965259075
mlp_act,22,5,923,0.027861587703227997
mlp_act,27,5,1227,0.027302199974656105
mlp_act,27,5,3782,0.023633254691958427
mlp_act,22,5,3704,0.02048874832689762
mlp_act,27,5,1154,0.019564364105463028
mlp_act,7,5,5826,0.016794255003333092
mlp_act,22,5,3623,0.01616816595196724
mlp_act,27,5,583,0.01571842096745968
mlp_act,7,5,4590,0.014625963754951954
mlp_act,2,5,216,0.014092030003666878
mlp_act,27,5,3746,0.0137190455570817
mlp_act,7,5,2608,0.013602948747575283
mlp_act,12,5,4829,0.0126231350004673
mlp_act,17,5,2432,0.010491492226719856
mlp_act,22,5,4470,0.010387508198618889
mlp_act,27,5,4478,0.01016740407794714
mlp_act,27,5,3290,0.008983254432678223
mlp_act,17,5,4270,0.008364452980458736
mlp_act,27,5,3387,0.008326618000864983
mlp_act,27,5,477,0.008116554468870163
mlp_act,17,5,295,0.00808076374232769
mlp_act,17,5,4624,0.007792603690177202
mlp_act,22,5,1527,0.007417643442749977
mlp_act,2,5,3614,0.007363565266132355
mlp_act,7,5,888,0.007328895386308432
mlp_act,22,5,3764,0.00732693076133728
mlp_act,12,5,1273,0.007117359898984432
mlp_act,17,5,1232,0.0069059208035469055
mlp_act,27,5,1852,0.006593470927327871
mlp_act,17,5,1906,0.006541754584759474
mlp_act,27,5,5575,0.006127667147666216
mlp_act,17,5,625,0.006047410890460014
mlp_act,27,5,62,0.005827116314321756
mlp_act,7,5,2866,0.005769559182226658
mlp_act,27,5,2512,0.005698228254914284
mlp_act,27,5,1468,0.00557693699374795
mlp_act,12,5,2135,0.005526273511350155
mlp_act,27,5,463,0.005474258679896593
mlp_act,27,5,4137,0.005311943590641022
mlp_act,27,5,999,0.005207221023738384
mlp_act,27,5,3878,0.005166749469935894
mlp_act,27,5,4288,0.005159216467291117
mlp_act,27,5,2525,0.005041034892201424
mlp_act,17,5,241,0.004878190346062183
mlp_act,7,5,3024,0.004754745401442051
mlp_act,17,5,1536,0.004693453665822744
mlp_act,22,5,5136,0.004453060682862997
mlp_act,12,5,5133,0.004430568311363459
mlp_act,17,5,1219,0.004345442168414593
mlp_act,12,5,4364,0.004291654098778963
mlp_act,22,5,1874,0.004273229278624058
mlp_act,22,5,5266,0.004272595979273319
mlp_act,12,5,2614,0.004236192908138037
mlp_act,22,5,1148,0.00420347461476922
mlp_act,27,5,3432,0.004106841050088406
mlp_act,7,5,5072,0.004085197579115629
mlp_act,12,5,3157,0.004082887899130583
mlp_act,7,5,5939,0.00408132653683424
mlp_act,27,5,236,0.0040369583293795586
mlp_act,7,5,6005,0.003976575098931789
mlp_act,7,5,2880,0.003931916784495115
mlp_act,27,5,3542,0.0039016096852719784
mlp_act,12,5,3630,0.0038449636194854975
mlp_act,7,5,1513,0.003841441124677658
mlp_act,7,5,3676,0.003788253292441368
mlp_act,2,5,1856,0.0037851633969694376
mlp_act,22,5,2870,0.0037459705490618944
mlp_act,17,5,5804,0.0036984309554100037
mlp_act,17,5,3016,0.0036914339289069176
mlp_act,22,5,2448,0.0036778091453015804
mlp_act,22,5,4005,0.0035731224343180656
mlp_act,7,5,3019,0.0035675137769430876
mlp_act,17,5,3179,0.00347495311871171
mlp_act,12,5,1894,0.0033821905963122845
mlp_act,27,5,4577,0.0032652849331498146
mlp_act,12,5,735,0.0032289093360304832
mlp_act,17,5,5316,0.0032191460486501455
mlp_act,22,5,902,0.003179544350132346
mlp_act,27,5,1009,0.0031388946808874607
mlp_act,27,5,4065,0.0031304238364100456
mlp_act,22,5,3353,0.0030410492327064276
mlp_act,12,5,969,0.0030204742215573788
mlp_act,22,5,2083,0.0029083993285894394
mlp_act,27,5,498,0.002905437257140875
mlp_act,7,5,4228,0.0028979070484638214
mlp_act,27,5,4151,0.0028767180629074574
mlp_act,7,5,5828,0.002873313380405307
mlp_act,27,5,3151,0.0028464840725064278
mlp_act,27,5,1695,0.002846056828275323
mlp_act,17,5,3129,0.0028439199086278677
mlp_act,17,5,2030,0.00281171640381217
mlp_act,22,5,5101,0.0028038932941854
mlp_act,12,5,906,0.0027946599293500185
mlp_act,27,5,1189,0.0027896231040358543
mlp_act,12,5,5535,0.0027607916854321957
mlp_act,17,5,3371,0.002720877528190613
mlp_act,7,5,4189,0.0027063817251473665
mlp_act,27,5,1724,0.002699686912819743
mlp_act,17,5,2781,0.0026975180953741074
mlp_act,27,5,826,0.0026966079603880644
mlp_act,27,5,5440,0.002694976981729269
mlp_act,7,5,4738,0.0026362643111497164
mlp_act,17,5,5845,0.0026317553129047155
mlp_act,12,5,2875,0.002610681112855673
mlp_act,7,5,5874,0.0025524008087813854
mlp_act,22,5,223,0.0025447027292102575
mlp_act,22,5,6094,0.0025321897119283676
mlp_act,22,5,4232,0.002515798667445779
mlp_act,17,5,521,0.002490740269422531
mlp_act,17,5,3503,0.0024792784824967384
mlp_act,17,5,1631,0.0024791748728603125
mlp_act,27,5,4607,0.0024668527767062187
mlp_act,27,5,1936,0.0024517381098121405
mlp_act,12,5,3821,0.0024364390410482883
mlp_act,27,5,1422,0.0024122160393744707
mlp_act,7,5,614,0.0023981533013284206
mlp_act,27,5,3424,0.0023963195271790028
mlp_act,12,5,2358,0.0023937395308166742
mlp_act,17,5,4237,0.0023841133806854486
