split,inverse,eval_input,counterfactual_input,clean_logp_A,clean_logp_B,complement_ablation_logp_A,complement_ablation_logp_B,circuit_ablation_logp_A,circuit_ablation_logp_B,all_ablation_logp_A,all_ablation_logp_B,n_nodes
train,0,The sleepy bat,The sleepy bats,-2.0464906692504883,-10.171490669250488,-3.1216890811920166,-7.4966888427734375,-2.1156225204467773,-10.178122520446777,-3.237452507019043,-7.612452507019043,8
train,1,The sleepy bats,The sleepy bat,-1.76617431640625,-8.45367431640625,-2.150536060333252,-6.400536060333252,-1.913447618484497,-8.475947380065918,-2.004666805267334,-6.254666805267334,8
train,0,The fuzzy frog,The fuzzy frogs,-12.373226165771484,-15.185726165771484,-13.766637802124023,-15.391637802124023,-12.486400604248047,-15.048900604248047,-13.651841163635254,-15.464341163635254,8
train,1,The fuzzy frogs,The fuzzy frog,-11.707802772521973,-15.832802772521973,-11.664262771606445,-14.789262771606445,-11.421457290649414,-15.858957290649414,-11.628877639770508,-14.441377639770508,8
train,0,The bright shark,The bright sharks,-9.019481658935547,-11.706981658935547,-10.204948425292969,-12.329948425292969,-9.14892292022705,-11.71142292022705,-10.205327033996582,-12.517827033996582,8
train,1,The bright sharks,The bright shark,-9.171207427978516,-11.733707427978516,-10.05527114868164,-11.93027114868164,-9.602030754089355,-11.914530754089355,-10.441740989685059,-11.816740989685059,8
train,0,The small bat,The small bats,-8.144024848937988,-14.706524848937988,-8.54124927520752,-13.54124927520752,-8.225263595581055,-14.100263595581055,-8.687732696533203,-13.500232696533203,8
train,1,The small bats,The small bat,-7.596708297729492,-13.221708297729492,-8.027446746826172,-12.089946746826172,-6.953672885894775,-13.266172409057617,-7.861886978149414,-12.049386978149414,8
train,0,The bright chick,The bright chicks,-15.253191947937012,-17.190692901611328,-15.120745658874512,-15.933245658874512,-15.731452941894531,-17.20020294189453,-15.11808967590332,-16.05558967590332,8
train,1,The bright chicks,The bright chick,-15.0490140914917,-16.955263137817383,-14.65515422821045,-16.217653274536133,-15.240974426269531,-17.11597442626953,-14.9097318649292,-16.159730911254883,8
train,0,The nervous panda,The nervous pandas,-12.229968070983887,-13.292468070983887,-12.113377571105957,-12.800877571105957,-12.25439167022705,-13.50439167022705,-12.064534187316895,-12.814534187316895,8
train,1,The nervous pandas,The nervous panda,-12.117985725402832,-14.242985725402832,-11.084900856018066,-13.834900856018066,-13.175750732421875,-14.363250732421875,-11.717606544494629,-13.717606544494629,8
train,0,The slender turtle,The slender turtles,-12.91177749633789,-16.72427749633789,-12.768098831176758,-16.080598831176758,-13.705021858215332,-16.642520904541016,-13.253860473632812,-16.066360473632812,8
