split,inverse,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,n_nodes
train,0,The sleepy bat,The sleepy bats,-2.0464906692504883,-10.171490669250488,-8.45367431640625,-1.76617431640625,-8.049942016601562,-1.9249417781829834,64
train,1,The sleepy bats,The sleepy bat,-1.76617431640625,-8.45367431640625,-10.171490669250488,-2.0464906692504883,-9.833108901977539,-2.2081093788146973,64
train,0,The fuzzy frog,The fuzzy frogs,-12.373226165771484,-15.185726165771484,-15.832802772521973,-11.707802772521973,-15.446534156799316,-11.571534156799316,64
train,1,The fuzzy frogs,The fuzzy frog,-11.707802772521973,-15.832802772521973,-15.185726165771484,-12.373226165771484,-15.091179847717285,-12.216179847717285,64
train,0,The bright shark,The bright sharks,-9.019481658935547,-11.706981658935547,-11.733707427978516,-9.171207427978516,-11.278375625610352,-9.528375625610352,64
train,1,The bright sharks,The bright shark,-9.171207427978516,-11.733707427978516,-11.706981658935547,-9.019481658935547,-11.102707862854004,-9.290207862854004,64
train,0,The small bat,The small bats,-8.144024848937988,-14.706524848937988,-13.221708297729492,-7.596708297729492,-12.714308738708496,-7.464308738708496,64
train,1,The small bats,The small bat,-7.596708297729492,-13.221708297729492,-14.706524848937988,-8.144024848937988,-14.399015426635742,-8.211515426635742,64
train,0,The bright chick,The bright chicks,-15.253191947937012,-17.190692901611328,-16.955263137817383,-15.0490140914917,-16.643648147583008,-15.612398147583008,64
train,1,The bright chicks,The bright chick,-15.0490140914917,-16.955263137817383,-17.190692901611328,-15.253191947937012,-16.69598388671875,-15.883482933044434,64
train,0,The nervous panda,The nervous pandas,-12.229968070983887,-13.292468070983887,-14.242985725402832,-12.117985725402832,-13.92674446105957,-12.92674446105957,64
train,1,The nervous pandas,The nervous panda,-12.117985725402832,-14.242985725402832,-13.292468070983887,-12.229968070983887,-12.432111740112305,-12.744611740112305,64
train,0,The slender turtle,The slender turtles,-12.91177749633789,-16.72427749633789,-16.817707061767578,-13.880208015441895,-15.650412559509277,-14.087912559509277,64
train,1,The slender turtles,The slender turtle,-13.880208015441895,-16.817707061767578,-16.72427749633789,-12.91177749633789,-16.430234909057617,-14.0552339553833,64
train,0,The quiet turtle,The quiet turtles,-3.8923959732055664,-11.767395973205566,-8.378198623657227,-3.1281983852386475,-7.991642475128174,-3.179142475128174,64
train,1,The quiet turtles,The quiet turtle,-3.1281983852386475,-8.378198623657227,-11.767395973205566,-3.8923959732055664,-11.601811408996582,-4.289310932159424,64
train,0,The sleepy doe,The sleepy does,-13.937175750732422,-15.312175750732422,-16.412879943847656,-14.350380897521973,-14.713885307312012,-15.276385307312012,64
train,1,The sleepy does,The sleepy doe,-14.350380897521973,-16.412879943847656,-15.312175750732422,-13.937175750732422,-15.213456153869629,-16.775957107543945,64
train,0,The timid horse,The timid horses,-3.622795581817627,-11.185295104980469,-9.032999992370605,-2.5954999923706055,-8.427905082702637,-2.5529046058654785,64
train,1,The timid horses,The timid horse,-2.5954999923706055,-9.032999992370605,-11.185295104980469,-3.622795581817627,-10.951276779174805,-4.0762763023376465,64
train,0,The nervous rat,The nervous rats,-3.7572693824768066,-11.007269859313965,-8.699682235717773,-3.4496827125549316,-8.124988555908203,-3.374988555908203,64
