hook,layer,tok,unit,attribution
mlp_out,27,5,1321,0.08624757826328278
mlp_out,27,5,309,0.07294932007789612
mlp_out,27,5,1401,0.04831983521580696
mlp_out,27,5,1646,0.045420121401548386
mlp_out,27,5,1567,0.040128543972969055
mlp_out,27,5,130,0.0313890241086483
mlp_out,27,5,1185,0.026375332847237587
mlp_out,27,5,49,0.016550809144973755
mlp_out,22,5,559,0.014552295207977295
mlp_out,17,5,1026,0.014443359337747097
mlp_out,22,5,364,0.013839257881045341
mlp_out,27,5,917,0.012386721558868885
mlp_out,22,5,1567,0.012307531200349331
mlp_out,17,5,1567,0.012142830528318882
mlp_out,27,5,647,0.010554369539022446
mlp_out,22,5,1641,0.010215701535344124
