split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,7,1,The nervous chick past the screws,The nervous chicks past the screw,-8.883936882019043,-10.633936882019043,-8.450952529907227,-8.013452529907227,-8.561279296875,-9.061279296875,
train,0,7,1,The sleepy rabbit beneath the milestones,The sleepy rabbits beneath the milestone,-11.290892601013184,-14.790892601013184,-13.825227737426758,-9.700227737426758,-12.812211990356445,-11.187211990356445,
train,0,7,1,The sleepy bat beneath the boilers,The sleepy bats beneath the boiler,-3.939912796020508,-9.627412796020508,-6.989213943481445,-2.7392139434814453,-6.767337322235107,-4.267337322235107,
train,0,7,1,The sleepy lion beneath the boilers,The sleepy lions beneath the boiler,-4.928691387176514,-10.491190910339355,-7.7726826667785645,-3.6476826667785645,-7.364737033843994,-5.864737033843994,
train,0,7,1,The quiet shark outside the clocks,The quiet sharks outside the clock,-6.408175945281982,-7.908175945281982,-8.585090637207031,-6.8350911140441895,-7.196089744567871,-6.821089744567871,
train,0,7,1,The calm dog outside the houses,The calm dogs outside the house,-4.887549877166748,-8.51254940032959,-6.267297744750977,-3.2672979831695557,-7.318041801452637,-5.568041801452637,
train,0,7,1,The slender pup behind the bolts,The slender pups behind the bolt,-12.95759105682373,-14.64509105682373,-15.177372932434082,-11.177372932434082,-15.104564666748047,-11.792064666748047,
train,0,7,1,The small frog around the tanks,The small frogs around the tank,-5.931601524353027,-8.681601524353027,-7.2757568359375,-1.525757074356079,-7.8881354331970215,-5.0131354331970215,
train,0,7,1,The fuzzy panda outside the pots,The fuzzy pandas outside the pot,-4.11491584777832,-7.61491584777832,-5.326652526855469,-3.3266525268554688,-4.91717004776001,-6.54217004776001,
train,0,7,1,The small panda behind the bolts,The small pandas behind the bolt,-5.672670364379883,-10.110170364379883,-7.890442848205566,-5.015442848205566,-6.383432865142822,-5.758432865142822,
train,0,7,1,The quiet turtle around the dams,The quiet turtles around the dam,-5.591008186340332,-7.716008186340332,-7.748525619506836,-2.186025619506836,-7.286358833312988,-4.286358833312988,
train,0,7,1,The nervous dog around the benches,The nervous dogs around the bench,-6.441159725189209,-8.69115924835205,-7.295806884765625,-3.045806646347046,-8.185478210449219,-5.310478210449219,
train,0,7,1,The sleepy kitten beneath the logs,The sleepy kittens beneath the log,-4.607175350189209,-10.85717487335205,-8.096817970275879,-4.346817970275879,-8.837959289550781,-9.650459289550781,
