split,inverse,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,n_nodes
train,0,The nervous chick past the screws,The nervous chicks past the screw,-8.88386058807373,-10.69636058807373,-8.380064010620117,-8.005064010620117,-7.963212490081787,-8.838212013244629,128
train,1,The nervous chicks past the screw,The nervous chick past the screws,-8.005064010620117,-8.380064010620117,-10.69636058807373,-8.88386058807373,-8.767505645751953,-9.392505645751953,128
train,0,The sleepy rabbit beneath the milestones,The sleepy rabbits beneath the milestone,-11.290218353271484,-14.790218353271484,-13.85716438293457,-9.66966438293457,-11.928671836853027,-11.366171836853027,128
train,1,The sleepy rabbits beneath the milestone,The sleepy rabbit beneath the milestones,-9.66966438293457,-13.85716438293457,-14.790218353271484,-11.290218353271484,-11.54037857055664,-12.29037857055664,128
train,0,The sleepy bat beneath the boilers,The sleepy bats beneath the boiler,-4.050630569458008,-9.613130569458008,-6.930065631866455,-2.680065631866455,-4.278628826141357,-4.528628826141357,128
train,1,The sleepy bats beneath the boiler,The sleepy bat beneath the boilers,-2.680065631866455,-6.930065631866455,-9.613130569458008,-4.050630569458008,-2.775312900543213,-4.650312900543213,128
train,0,The sleepy lion beneath the boilers,The sleepy lions beneath the boiler,-5.172386646270752,-10.67238712310791,-7.81688928604126,-3.5668892860412598,-5.779949188232422,-5.029949188232422,128
train,1,The sleepy lions beneath the boiler,The sleepy lion beneath the boilers,-3.5668892860412598,-7.81688928604126,-10.67238712310791,-5.172386646270752,-4.262784004211426,-5.387784004211426,128
train,0,The quiet shark outside the clocks,The quiet sharks outside the clock,-6.5306596755981445,-8.030659675598145,-8.695685386657715,-6.945685863494873,-6.496166229248047,-7.746166229248047,128
train,1,The quiet sharks outside the clock,The quiet shark outside the clocks,-6.945685863494873,-8.695685386657715,-8.030659675598145,-6.5306596755981445,-5.553515434265137,-7.303515434265137,128
train,0,The calm dog outside the houses,The calm dogs outside the house,-4.766452312469482,-8.39145278930664,-6.323182582855225,-3.1981825828552246,-4.401257038116455,-5.151257038116455,128
train,1,The calm dogs outside the house,The calm dog outside the houses,-3.1981825828552246,-6.323182582855225,-8.39145278930664,-4.766452312469482,-5.094903469085693,-5.469903469085693,128
