split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,13,1,The calm pup around the belts outside the piles behind the rushes,The calm pups around the belt outside the pile behind the rush,-16.385177612304688,-17.853927612304688,-16.454795837402344,-15.923545837402344,-16.156404495239258,-15.718904495239258,
train,0,13,1,The bright chick past the nests beneath the milestones around the thresholds,The bright chicks past the nest beneath the milestone around the threshold,-16.293203353881836,-16.668203353881836,-17.698116302490234,-15.541866302490234,-17.811838150024414,-15.843088150024414,
train,0,13,1,The fuzzy whale behind the plants past the logs beneath the columns,The fuzzy whales behind the plant past the log beneath the column,-8.003358840942383,-11.503358840942383,-9.879474639892578,-7.879474639892578,-10.128218650817871,-9.003218650817871,
train,0,13,1,The fuzzy turtle outside the drums behind the bolts past the screws,The fuzzy turtles outside the drum behind the bolt past the screw,-9.50619125366211,-11.38119125366211,-10.017653465270996,-8.267653465270996,-9.946633338928223,-9.696633338928223,
train,0,13,1,The quiet panda past the screws beneath the boilers around the tanks,The quiet pandas past the screw beneath the boiler around the tank,-6.573637008666992,-9.073637008666992,-8.292997360229492,-7.667996883392334,-8.160012245178223,-8.785012245178223,
train,0,13,1,The fuzzy horse beneath the boilers around the tanks outside the pipes,The fuzzy horses beneath the boiler around the tank outside the pipe,-5.401824474334717,-8.776824951171875,-7.3952131271362305,-6.5202131271362305,-8.008563995361328,-8.758563995361328,
train,0,13,1,The slender kitten behind the houses past the rocks beneath the chairs,The slender kittens behind the house past the rock beneath the chair,-5.608229637145996,-10.608229637145996,-9.043373107910156,-5.293372631072998,-9.27425479888916,-6.52425479888916,
train,0,13,1,The calm horse around the belts outside the piles behind the rushes,The calm horses around the belt outside the pile behind the rush,-14.841352462768555,-15.403852462768555,-14.697467803955078,-12.322467803955078,-14.458465576171875,-12.645965576171875,
train,0,13,1,The sleepy rat around the towers outside the cabins behind the signs,The sleepy rats around the tower outside the cabin behind the sign,-8.023509979248047,-11.211009979248047,-8.790319442749023,-4.602819442749023,-9.347660064697266,-7.035160541534424,
train,0,13,1,The calm kitten behind the cabins past the signs beneath the nests,The calm kittens behind the cabin past the sign beneath the nest,-17.949228286743164,-18.199228286743164,-17.966476440429688,-15.778976440429688,-17.231761932373047,-15.606761932373047,
train,0,13,1,The slender whale past the logs beneath the columns around the towers,The slender whales past the log beneath the column around the tower,-15.73423957824707,-16.17173957824707,-15.058930397033691,-12.996430397033691,-16.019916534423828,-14.269916534423828,
train,0,13,1,The bright turtle beneath the barrels around the statues outside the stools,The bright turtles beneath the barrel around the statue outside the stool,-4.949117660522461,-8.074117660522461,-7.642520427703857,-5.017520427703857,-8.046281814575195,-7.4212822914123535,
train,0,13,1,The bright dog around the tables outside the houses behind the rocks,The bright dogs around the table outside the house behind the rock,-15.130228996276855,-16.63022804260254,-16.077482223510742,-14.389982223510742,-16.57099151611328,-14.945991516113281,
train,0,13,1,The small dolphin beneath the boilers around the tanks outside the pipes,The small dolphins beneath the boiler around the tank outside the pipe,-14.853339195251465,-17.22834014892578,-15.756818771362305,-15.131818771362305,-16.64775848388672,-16.58525848388672,
train,0,13,1,The sleepy dolphin beneath the boilers around the tanks outside the pipes,The sleepy dolphins beneath the boiler around the tank outside the pipe,-4.693195343017578,-8.443195343017578,-6.939452171325684,-5.564452171325684,-7.278735637664795,-7.528735637664795,
train,0,13,1,The slender dolphin outside the drums behind the bolts past the screws,The slender dolphins outside the drum behind the bolt past the screw,-7.788167953491211,-9.725667953491211,-9.306174278259277,-7.056174278259277,-9.149494171142578,-8.399494171142578,
train,0,13,1,The nervous lion behind the rocks past the chairs beneath the carts,The nervous lions behind the rock past the chair beneath the cart,-18.56961441040039,-19.31961441040039,-18.371490478515625,-17.215240478515625,-18.236989974975586,-17.330739974975586,
train,0,13,1,The calm frog beneath the boxes around the walls outside the tables,The calm frogs beneath the box around the wall outside the table,-12.725187301635742,-14.287687301635742,-15.057120323181152,-13.557120323181152,-15.569709777832031,-14.194709777832031,
train,0,13,1,The quiet dolphin past the screws beneath the boilers around the tanks,The quiet dolphins past the screw beneath the boiler around the tank,-5.848243236541748,-8.348243713378906,-7.938532829284668,-6.688532829284668,-7.791942596435547,-7.916942596435547,
train,0,13,1,The timid pup past the screws beneath the boilers around the tanks,The timid pups past the screw beneath the boiler around the tank,-13.441676139831543,-15.254176139831543,-13.443799018859863,-12.193799018859863,-13.419087409973145,-13.169087409973145,
train,0,13,1,The quiet rat behind the rushes past the vines beneath the trenches,The quiet rats behind the rush past the vine beneath the trench,-8.657933235168457,-11.220433235168457,-9.10456657409668,-8.41706657409668,-9.10142707824707,-9.47642707824707,
train,0,13,1,The sleepy whale behind the pans past the cars beneath the boxes,The sleepy whales behind the pan past the car beneath the box,-18.20854377746582,-19.08354377746582,-18.342435836791992,-17.279935836791992,-18.28388786315918,-17.22138786315918,
train,0,13,1,The bright panda around the carts outside the benches behind the windows,The bright pandas around the cart outside the bench behind the window,-17.151718139648438,-17.964218139648438,-18.907203674316406,-15.625953674316406,-19.791170120239258,-17.134920120239258,
