split,inverse,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,n_nodes
train,0,The sleepy lion beneath the boilers around the tanks outside the pipes,The sleepy lions beneath the boiler around the tank outside the pipe,-5.165151596069336,-8.915151596069336,-6.69793701171875,-5.44793701171875,-5.688665866851807,-7.438665866851807,128
train,1,The sleepy lions beneath the boiler around the tank outside the pipe,The sleepy lion beneath the boilers around the tanks outside the pipes,-5.44793701171875,-6.69793701171875,-8.915151596069336,-5.165151596069336,-5.661843299865723,-6.286843299865723,128
train,0,The sleepy lion past the vines beneath the trenches around the dams,The sleepy lions past the vine beneath the trench around the dam,-8.638640403747559,-9.888640403747559,-9.638819694519043,-8.513819694519043,-8.641534805297852,-9.266534805297852,128
train,1,The sleepy lions past the vine beneath the trench around the dam,The sleepy lion past the vines beneath the trenches around the dams,-8.513819694519043,-9.638819694519043,-9.888640403747559,-8.638640403747559,-8.514281272888184,-9.514281272888184,128
train,0,The quiet horse around the thresholds outside the drums behind the bolts,The quiet horses around the threshold outside the drum behind the bolt,-8.270611763000488,-10.083111763000488,-7.919440746307373,-4.856940746307373,-6.100751876831055,-6.225751876831055,128
train,1,The quiet horses around the threshold outside the drum behind the bolt,The quiet horse around the thresholds outside the drums behind the bolts,-4.856940746307373,-7.919440746307373,-10.083111763000488,-8.270611763000488,-7.416685104370117,-9.479185104370117,128
train,0,The quiet rat behind the rushes past the vines beneath the trenches,The quiet rats behind the rush past the vine beneath the trench,-8.405718803405762,-11.030718803405762,-9.033197402954102,-8.408197402954102,-8.647943496704102,-10.210443496704102,128
train,1,The quiet rats behind the rush past the vine beneath the trench,The quiet rat behind the rushes past the vines beneath the trenches,-8.408197402954102,-9.033197402954102,-11.030718803405762,-8.405718803405762,-8.907181739807129,-8.532181739807129,128
train,0,The slender panda past the crates beneath the barrels around the statues,The slender pandas past the crate beneath the barrel around the statue,-7.161172866821289,-8.661172866821289,-9.662540435791016,-8.662540435791016,-8.89893913269043,-11.21143913269043,128
train,1,The slender pandas past the crate beneath the barrel around the statue,The slender panda past the crates beneath the barrels around the statues,-8.662540435791016,-9.662540435791016,-8.661172866821289,-7.161172866821289,-7.415046691894531,-7.665046691894531,128
train,0,The fuzzy panda outside the cabins behind the signs past the nests,The fuzzy pandas outside the cabin behind the sign past the nest,-13.965954780578613,-15.340954780578613,-14.933801651000977,-12.996301651000977,-13.354072570800781,-14.916572570800781,128
train,1,The fuzzy pandas outside the cabin behind the sign past the nest,The fuzzy panda outside the cabins behind the signs past the nests,-12.996301651000977,-14.933801651000977,-15.340954780578613,-13.965954780578613,-13.966089248657227,-15.091089248657227,128
train,0,The sleepy turtle around the carts outside the benches behind the windows,The sleepy turtles around the cart outside the bench behind the window,-6.397525310516357,-10.397525787353516,-9.219487190246582,-4.219487190246582,-6.6807966232299805,-5.4307966232299805,128
train,1,The sleepy turtles around the cart outside the bench behind the window,The sleepy turtle around the carts outside the benches behind the windows,-4.219487190246582,-9.219487190246582,-10.397525787353516,-6.397525310516357,-5.326379299163818,-7.201379299163818,128
train,0,The small rabbit around the stools outside the clocks behind the plants,The small rabbits around the stool outside the clock behind the plant,-8.37881088256836,-10.25381088256836,-8.698953628540039,-3.948953866958618,-7.020174026489258,-6.270174026489258,128
train,1,The small rabbits around the stool outside the clock behind the plant,The small rabbit around the stools outside the clocks behind the plants,-3.948953866958618,-8.698953628540039,-10.25381088256836,-8.37881088256836,-7.008612632751465,-8.758612632751465,128
train,0,The slender turtle around the towers outside the cabins behind the signs,The slender turtles around the tower outside the cabin behind the sign,-7.0231451988220215,-9.523144721984863,-8.52230453491211,-4.084805011749268,-6.741919994354248,-5.491919994354248,128
train,1,The slender turtles around the tower outside the cabin behind the sign,The slender turtle around the towers outside the cabins behind the signs,-4.084805011749268,-8.52230453491211,-9.523144721984863,-7.0231451988220215,-5.557325839996338,-8.05732536315918,128
train,0,The fuzzy frog behind the plants past the logs beneath the columns,The fuzzy frogs behind the plant past the log beneath the column,-6.138324737548828,-10.138324737548828,-8.14604663848877,-5.396046161651611,-7.010764122009277,-7.135764122009277,128
train,1,The fuzzy frogs behind the plant past the log beneath the column,The fuzzy frog behind the plants past the logs beneath the columns,-5.396046161651611,-8.14604663848877,-10.138324737548828,-6.138324737548828,-7.13513708114624,-7.38513708114624,128
train,0,The bright horse past the boxes beneath the walls around the tables,The bright horses past the box beneath the wall around the table,-9.136516571044922,-11.011516571044922,-10.397867202758789,-8.272867202758789,-9.015264511108398,-9.890264511108398,128
train,1,The bright horses past the box beneath the wall around the table,The bright horse past the boxes beneath the walls around the tables,-8.272867202758789,-10.397867202758789,-11.011516571044922,-9.136516571044922,-9.1376371383667,-10.0126371383667,128
train,0,The quiet cow outside the pipes behind the valves past the cables,The quiet cows outside the pipe behind the valve past the cable,-14.458130836486816,-15.958130836486816,-14.518949508666992,-13.081449508666992,-14.12252426147461,-13.93502426147461,128
train,1,The quiet cows outside the pipe behind the valve past the cable,The quiet cow outside the pipes behind the valves past the cables,-13.081449508666992,-14.518949508666992,-15.958130836486816,-14.458130836486816,-14.405056953430176,-14.905056953430176,128
train,0,The slender monitor around the carts outside the benches behind the windows,The slender monitors around the cart outside the bench behind the window,-3.6072468757629395,-7.2322468757629395,-7.612137317657471,-2.1121370792388916,-4.548576354980469,-3.2985763549804688,128
train,1,The slender monitors around the cart outside the bench behind the window,The slender monitor around the carts outside the benches behind the windows,-2.1121370792388916,-7.612137317657471,-7.2322468757629395,-3.6072468757629395,-3.4454259872436523,-4.070425987243652,128
train,0,The quiet rat beneath the columns around the towers outside the cabins,The quiet rats beneath the column around the tower outside the cabin,-4.3824238777160645,-7.6324238777160645,-7.592681884765625,-4.217681884765625,-5.625575542449951,-5.500575542449951,128
train,1,The quiet rats beneath the column around the tower outside the cabin,The quiet rat beneath the columns around the towers outside the cabins,-4.217681884765625,-7.592681884765625,-7.6324238777160645,-4.3824238777160645,-4.501871109008789,-5.501871109008789,128
train,0,The small kitten outside the stools behind the clocks past the plants,The small kittens outside the stool behind the clock past the plant,-17.26058006286621,-18.32308006286621,-20.080183029174805,-17.017683029174805,-19.32081413269043,-18.19581413269043,128
train,1,The small kittens outside the stool behind the clock past the plant,The small kitten outside the stools behind the clocks past the plants,-17.017683029174805,-20.080183029174805,-18.32308006286621,-17.26058006286621,-16.951427459716797,-18.451427459716797,128
train,0,The fuzzy horse past the vines beneath the trenches around the dams,The fuzzy horses past the vine beneath the trench around the dam,-8.885152816772461,-9.760152816772461,-9.14284896850586,-7.642848491668701,-8.638797760009766,-8.888797760009766,128
train,1,The fuzzy horses past the vine beneath the trench around the dam,The fuzzy horse past the vines beneath the trenches around the dams,-7.642848491668701,-9.14284896850586,-9.760152816772461,-8.885152816772461,-8.637636184692383,-9.262636184692383,128
train,0,The nervous chick past the screws beneath the boilers around the tanks,The nervous chicks past the screw beneath the boiler around the tank,-6.7802629470825195,-8.65526294708252,-8.048894882202148,-7.29889440536499,-7.418307304382324,-8.668307304382324,128
train,1,The nervous chicks past the screw beneath the boiler around the tank,The nervous chick past the screws beneath the boilers around the tanks,-7.29889440536499,-8.048894882202148,-8.65526294708252,-6.7802629470825195,-7.2800517082214355,-7.4050517082214355,128
train,0,The slender turtle beneath the boilers around the tanks outside the pipes,The slender turtles beneath the boiler around the tank outside the pipe,-3.9604246616363525,-7.835424423217773,-5.903020858764648,-3.6530206203460693,-4.490787029266357,-5.740787029266357,128
train,1,The slender turtles beneath the boiler around the tank outside the pipe,The slender turtle beneath the boilers around the tanks outside the pipes,-3.6530206203460693,-5.903020858764648,-7.835424423217773,-3.9604246616363525,-4.08466100692749,-5.33466100692749,128
train,0,The quiet cow around the dams outside the pots behind the pans,The quiet cows around the dam outside the pot behind the pan,-14.520804405212402,-15.520804405212402,-15.261185646057129,-13.636185646057129,-15.288249015808105,-15.100749015808105,128
train,1,The quiet cows around the dam outside the pot behind the pan,The quiet cow around the dams outside the pots behind the pans,-13.636185646057129,-15.261185646057129,-15.520804405212402,-14.520804405212402,-13.7884521484375,-14.4134521484375,128
train,0,The fuzzy kit around the carts outside the benches behind the windows,The fuzzy kits around the cart outside the bench behind the window,-3.970027208328247,-5.970026969909668,-6.171846866607666,-5.296846866607666,-5.529946327209473,-7.404946327209473,128
train,1,The fuzzy kits around the cart outside the bench behind the window,The fuzzy kit around the carts outside the benches behind the windows,-5.296846866607666,-6.171846866607666,-5.970026969909668,-3.970027208328247,-3.938326120376587,-3.938326120376587,128
train,0,The nervous doe beneath the chains around the belts outside the piles,The nervous does beneath the chain around the belt outside the pile,-15.040207862854004,-15.790207862854004,-17.60418128967285,-15.729182243347168,-17.36355209350586,-15.926051139831543,128
