split,inverse,eval_input,counterfactual_input,clean_logp_A,clean_logp_B,complement_ablation_logp_A,complement_ablation_logp_B,circuit_ablation_logp_A,circuit_ablation_logp_B,all_ablation_logp_A,all_ablation_logp_B,n_nodes
train,0,The timid cow,The timid cows,-13.850092887878418,-15.225092887878418,-11.962135314941406,-13.899635314941406,-14.240425109863281,-15.052925109863281,-12.033474922180176,-13.658474922180176,128
train,1,The timid cows,The timid cow,-12.154802322387695,-17.467302322387695,-10.549148559570312,-15.924148559570312,-11.757269859313965,-16.38226890563965,-10.15090560913086,-14.77590560913086,128
train,0,The small dog,The small dogs,-1.9614734649658203,-9.96147346496582,-2.5770187377929688,-10.077018737792969,-1.9207662343978882,-9.17076587677002,-2.4932336807250977,-9.368233680725098,128
train,1,The small dogs,The small dog,-2.982919931411743,-8.357919692993164,-2.8779008388519287,-8.877901077270508,-2.7277145385742188,-7.477714538574219,-2.7993686199188232,-8.049368858337402,128
train,0,The calm doe,The calm does,-5.372726917266846,-10.935226440429688,-5.064059734344482,-9.81406021118164,-6.926628112792969,-10.489128112792969,-6.246229648590088,-9.12122917175293,128
train,1,The calm does,The calm doe,-14.57888126373291,-17.641380310058594,-10.612146377563477,-13.924646377563477,-14.390373229980469,-17.45287322998047,-10.342456817626953,-13.779956817626953,128
train,0,The timid doe,The timid does,-7.120994567871094,-12.245994567871094,-8.11558723449707,-12.61558723449707,-7.32379674911499,-11.761297225952148,-8.536581993103027,-12.286581993103027,128
train,1,The timid does,The timid doe,-17.455711364746094,-20.205711364746094,-13.721189498901367,-16.596189498901367,-17.206613540649414,-20.519113540649414,-13.975237846374512,-17.037736892700195,128
train,0,The nervous bat,The nervous bats,-13.636314392089844,-14.198814392089844,-11.976963996887207,-13.101963996887207,-13.902909278869629,-14.215409278869629,-12.111848831176758,-13.049348831176758,128
train,1,The nervous bats,The nervous bat,-11.95150089263916,-13.76400089263916,-11.840982437133789,-14.028482437133789,-11.943347930908203,-13.568347930908203,-11.66085147857666,-13.66085147857666,128
train,0,The small doe,The small does,-11.401747703552246,-14.026747703552246,-10.522541999816895,-13.272541999816895,-11.775236129760742,-13.150236129760742,-10.645742416381836,-12.333242416381836,128
train,1,The small does,The small doe,-14.40359878540039,-16.77859878540039,-10.576425552368164,-13.701425552368164,-14.29862117767334,-16.798620223999023,-10.919471740722656,-14.169471740722656,128
train,0,The sleepy pup,The sleepy pups,-13.418964385986328,-16.731464385986328,-13.677545547485352,-16.30254554748535,-13.5933837890625,-16.3433837890625,-14.000774383544922,-15.938274383544922,128
train,1,The sleepy pups,The sleepy pup,-13.145707130432129,-19.020706176757812,-11.987907409667969,-18.48790740966797,-12.98828125,-17.98828125,-11.828831672668457,-17.45383071899414,128
train,0,The bright frog,The bright frogs,-14.489155769348145,-17.98915672302246,-14.021515846252441,-17.771516799926758,-14.60560131072998,-17.605600357055664,-14.270954132080078,-17.520954132080078,128
train,1,The bright frogs,The bright frog,-14.586658477783203,-17.649158477783203,-14.658475875854492,-17.720975875854492,-14.542125701904297,-16.854625701904297,-14.615687370300293,-16.99068832397461,128
train,0,The sleepy panda,The sleepy pandas,-10.689139366149902,-16.25164031982422,-11.162322998046875,-17.037322998046875,-10.449182510375977,-15.636682510375977,-11.193854331970215,-16.44385528564453,128
train,1,The sleepy pandas,The sleepy panda,-10.016736030578613,-13.204236030578613,-10.00155258178711,-13.62655258178711,-9.964920997619629,-12.714920997619629,-9.868611335754395,-13.118611335754395,128
train,0,The fuzzy horse,The fuzzy horses,-1.216976523399353,-9.341976165771484,-1.1618483066558838,-9.786848068237305,-1.3400682210922241,-8.090067863464355,-1.2565171718597412,-8.63151741027832,128
train,1,The fuzzy horses,The fuzzy horse,-1.6412614583969116,-5.516261577606201,-1.394508719444275,-5.6445088386535645,-1.7775006294250488,-4.652500629425049,-1.5105525255203247,-4.760552406311035,128
train,0,The fuzzy cock,The fuzzy cocks,-7.981267929077148,-15.168767929077148,-4.601698398590088,-11.66419792175293,-7.963366985321045,-14.400866508483887,-3.945120334625244,-9.882620811462402,128
train,1,The fuzzy cocks,The fuzzy cock,-2.4648728370666504,-3.5898728370666504,-1.6150251626968384,-3.990025043487549,-2.3900814056396484,-3.3900814056396484,-1.5139158964157104,-3.513916015625,128
train,0,The bright rat,The bright rats,-1.1224980354309082,-8.37249755859375,-1.183851957321167,-9.183852195739746,-1.078787088394165,-6.703786849975586,-1.2066699266433716,-7.581669807434082,128
train,1,The bright rats,The bright rat,-1.3472853899002075,-5.722285270690918,-1.25570809841156,-6.00570821762085,-1.3499974012374878,-5.349997520446777,-1.2235205173492432,-5.723520278930664,128
train,0,The calm cock,The calm cocks,-5.656255722045898,-13.656255722045898,-2.199204921722412,-10.38670539855957,-5.719508171081543,-12.907008171081543,-1.7460426092147827,-8.246042251586914,128
train,1,The calm cocks,The calm cock,-2.1858811378479004,-4.5608811378479,-1.3256251811981201,-5.450625419616699,-2.371835231781006,-4.246835231781006,-1.3853371143341064,-4.385336875915527,128
train,0,The sleepy dolphin,The sleepy dolphins,-1.13797128200531,-10.137970924377441,-1.1545504331588745,-10.467050552368164,-1.2176759243011475,-8.592676162719727,-1.1942452192306519,-9.069245338439941,128
train,1,The sleepy dolphins,The sleepy dolphin,-0.9624902606010437,-7.712490081787109,-0.6975921392440796,-8.447591781616211,-0.9648550748825073,-6.964855194091797,-0.781293511390686,-7.7812933921813965,128
train,0,The sleepy horse,The sleepy horses,-13.107348442077637,-13.982348442077637,-12.69294548034668,-13.88044548034668,-13.306818008422852,-13.931818008422852,-12.849194526672363,-13.786694526672363,128
train,1,The sleepy horses,The sleepy horse,-14.145647048950195,-15.520647048950195,-13.533397674560547,-15.720897674560547,-14.080306053161621,-15.080306053161621,-13.627063751220703,-15.502063751220703,128
train,0,The calm shark,The calm sharks,-12.095928192138672,-17.908428192138672,-12.174568176269531,-18.36206817626953,-12.219157218933105,-17.031658172607422,-12.259446144104004,-17.384445190429688,128
train,1,The calm sharks,The calm shark,-12.057260513305664,-16.494760513305664,-12.236413955688477,-17.236413955688477,-12.212369918823242,-15.899869918823242,-12.346911430358887,-16.659412384033203,128
train,0,The slender frog,The slender frogs,-10.802151679992676,-15.052151679992676,-11.543269157409668,-16.480770111083984,-11.088796615600586,-14.838796615600586,-11.880395889282227,-16.317895889282227,128
train,1,The slender frogs,The slender frog,-12.149054527282715,-16.71155548095703,-12.473024368286133,-17.223024368286133,-11.77739143371582,-15.58989143371582,-12.305492401123047,-16.242992401123047,128
train,0,The small shark,The small sharks,-12.230988502502441,-15.855988502502441,-11.906729698181152,-16.21923065185547,-12.508231163024902,-15.133231163024902,-12.059684753417969,-15.622184753417969,128
train,1,The small sharks,The small shark,-13.87306022644043,-17.12306022644043,-13.415607452392578,-16.540607452392578,-13.7598237991333,-16.572322845458984,-13.323892593383789,-16.13639259338379,128
train,0,The nervous dog,The nervous dogs,-1.1797560453414917,-8.804756164550781,-1.171856164932251,-9.171855926513672,-1.220831274986267,-7.345831394195557,-1.2028061151504517,-7.827805995941162,128
train,1,The nervous dogs,The nervous dog,-1.7859081029891968,-5.410908222198486,-1.613961935043335,-5.738962173461914,-1.792529582977295,-4.917529582977295,-1.6365983486175537,-5.261598587036133,128
train,0,The small monitor,The small monitors,-11.815044403076172,-13.752544403076172,-11.9637451171875,-14.4012451171875,-11.902178764343262,-14.089678764343262,-12.079561233520508,-14.829561233520508,128
train,1,The small monitors,The small monitor,-13.15159797668457,-16.02659797668457,-12.621434211730957,-15.058934211730957,-12.969059944152832,-15.344059944152832,-12.575181007385254,-14.575181007385254,128
train,0,The slender horse,The slender horses,-13.67646598815918,-17.64521598815918,-13.891599655151367,-17.891599655151367,-13.674448013305664,-17.424448013305664,-13.8637056350708,-17.488706588745117,128
train,1,The slender horses,The slender horse,-14.705253601074219,-18.01775360107422,-13.84515380859375,-17.40765380859375,-14.432463645935059,-16.932464599609375,-13.834232330322266,-16.896732330322266,128
train,0,The calm frog,The calm frogs,-8.985494613647461,-13.547994613647461,-8.978076934814453,-13.665576934814453,-9.290042877197266,-12.915042877197266,-9.155840873718262,-13.030840873718262,128
train,1,The calm frogs,The calm frog,-9.786898612976074,-14.474398612976074,-9.605937957763672,-14.980937957763672,-9.967320442199707,-13.092320442199707,-9.817726135253906,-13.942726135253906,128
train,0,The calm dolphin,The calm dolphins,-8.139618873596191,-14.202118873596191,-7.602730751037598,-13.602730751037598,-8.261512756347656,-13.261512756347656,-7.789778232574463,-12.914777755737305,128
train,1,The calm dolphins,The calm dolphin,-9.201774597167969,-15.951774597167969,-8.532057762145996,-15.719557762145996,-9.009024620056152,-14.884024620056152,-8.38859748840332,-14.76359748840332,128
train,0,The slender cow,The slender cows,-13.777129173278809,-16.620878219604492,-12.608257293701172,-14.733257293701172,-14.643357276916504,-16.98710823059082,-12.605145454406738,-14.417645454406738,128
train,1,The slender cows,The slender cow,-14.864862442016602,-17.1773624420166,-12.818947792053223,-15.318947792053223,-14.713171005249023,-16.463171005249023,-12.890350341796875,-14.827850341796875,128
train,0,The nervous dolphin,The nervous dolphins,-1.39054536819458,-9.015544891357422,-1.0943182706832886,-9.594318389892578,-1.5562031269073486,-7.0562028884887695,-1.1923696994781494,-8.06736946105957,128
train,1,The nervous dolphins,The nervous dolphin,-1.3730067014694214,-5.623006820678711,-1.0606889724731445,-5.9356889724731445,-1.3878090381622314,-5.137808799743652,-1.0468809604644775,-5.421880722045898,128
train,0,The sleepy lion,The sleepy lions,-16.460416793823242,-16.710416793823242,-17.428058624267578,-18.115558624267578,-16.606298446655273,-16.231298446655273,-17.63008689880371,-17.69258689880371,128
train,1,The sleepy lions,The sleepy lion,-16.11063575744629,-20.45438575744629,-17.315208435058594,-21.846458435058594,-16.100536346435547,-19.663036346435547,-17.172725677490234,-21.141475677490234,128
train,0,The fuzzy turtle,The fuzzy turtles,-8.701807022094727,-12.451807022094727,-9.581592559814453,-12.206592559814453,-8.905046463012695,-12.030046463012695,-9.729540824890137,-11.917040824890137,128
train,1,The fuzzy turtles,The fuzzy turtle,-8.97110652923584,-14.15860652923584,-9.626917839050293,-15.876917839050293,-9.059279441833496,-13.246779441833496,-9.605575561523438,-15.230575561523438,128
train,0,The slender chick,The slender chicks,-3.0383501052856445,-10.725850105285645,-1.0189951658248901,-10.26899528503418,-3.570209503173828,-9.320209503173828,-0.9734746217727661,-9.223474502563477,128
train,1,The slender chicks,The slender chick,-1.5986347198486328,-8.348634719848633,-1.0141017436981201,-7.764101982116699,-1.5737276077270508,-7.073727607727051,-1.0341812372207642,-6.409181118011475,128
train,0,The sleepy cock,The sleepy cocks,-18.888689041137695,-20.701189041137695,-17.196306228637695,-20.415056228637695,-17.887638092041016,-19.700138092041016,-15.443192481994629,-18.318191528320312,128
train,1,The sleepy cocks,The sleepy cock,-11.821924209594727,-15.978174209594727,-11.534544944763184,-16.784543991088867,-12.149768829345703,-15.837268829345703,-11.579957962036133,-16.329957962036133,128
train,0,The quiet kit,The quiet kits,-10.397168159484863,-10.772168159484863,-10.732190132141113,-10.357190132141113,-10.482999801635742,-10.732999801635742,-10.779866218566895,-10.279866218566895,128
train,1,The quiet kits,The quiet kit,-13.463111877441406,-16.588111877441406,-10.47402572631836,-14.41152572631836,-13.035526275634766,-16.160526275634766,-10.669977188110352,-14.482477188110352,128
train,0,The nervous kitten,The nervous kittens,-1.1157922744750977,-10.053292274475098,-0.9488810300827026,-9.948881149291992,-1.2419853210449219,-8.116985321044922,-1.0512440204620361,-8.301243782043457,128
train,1,The nervous kittens,The nervous kitten,-1.0448827743530273,-5.669882774353027,-1.1279938220977783,-6.252993583679199,-1.2133948802947998,-4.963394641876221,-1.144864797592163,-5.644864559173584,128
train,0,The slender kit,The slender kits,-12.907629013061523,-13.782629013061523,-12.340954780578613,-13.653454780578613,-12.900232315063477,-13.587732315063477,-12.26773452758789,-13.39273452758789,128
train,1,The slender kits,The slender kit,-16.767948150634766,-19.611698150634766,-11.853253364562988,-16.103252410888672,-15.860801696777344,-18.517051696777344,-12.265298843383789,-15.952798843383789,128
train,0,The quiet shark,The quiet sharks,-11.83459758758545,-15.08459758758545,-10.748495101928711,-14.560995101928711,-12.204741477966309,-14.392241477966309,-11.000082015991211,-13.875082015991211,128
train,1,The quiet sharks,The quiet shark,-10.19678020477295,-16.321779251098633,-9.545804977416992,-15.858304977416992,-10.359184265136719,-15.921684265136719,-9.621981620788574,-15.371981620788574,128
train,0,The timid pup,The timid pups,-11.092525482177734,-15.967525482177734,-12.0029296875,-16.3154296875,-11.079341888427734,-15.641841888427734,-12.100997924804688,-16.100997924804688,128
train,1,The timid pups,The timid pup,-13.050714492797852,-15.613214492797852,-13.460850715637207,-16.523351669311523,-12.598732948303223,-14.286232948303223,-12.96084976196289,-15.33584976196289,128
train,0,The timid rat,The timid rats,-7.971994876861572,-13.409494400024414,-8.907310485839844,-14.157310485839844,-8.385369300842285,-13.072869300842285,-9.191575050354004,-13.691575050354004,128
train,1,The timid rats,The timid rat,-11.228437423706055,-13.353437423706055,-11.632097244262695,-13.507097244262695,-11.307716369628906,-12.620216369628906,-11.496180534362793,-12.808680534362793,128
train,0,The small cow,The small cows,-1.2541241645812988,-10.75412368774414,-0.8557789325714111,-10.605778694152832,-1.3555049896240234,-9.105504989624023,-0.9145128726959229,-8.914512634277344,128
train,1,The small cows,The small cow,-0.8591787815093994,-5.48417854309082,-0.7345209121704102,-5.73452091217041,-0.9315499067306519,-4.556550025939941,-0.8493638038635254,-4.599363803863525,128
train,0,The timid rat,The timid rats,-11.409494400024414,-16.940744400024414,-11.969810485839844,-17.313560485839844,-11.885369300842285,-16.26036834716797,-12.254075050354004,-16.691574096679688,128
train,1,The timid rats,The timid rat,-13.103437423706055,-18.665937423706055,-13.819597244262695,-19.132097244262695,-13.182716369628906,-17.620216369628906,-13.808680534362793,-18.43368148803711,128
train,0,The small shark,The small sharks,-14.855988502502441,-15.668488502502441,-14.344229698181152,-15.781729698181152,-15.133231163024902,-15.383231163024902,-14.684684753417969,-15.684684753417969,128
train,1,The small sharks,The small shark,-15.31056022644043,-18.93556022644043,-15.415607452392578,-18.884357452392578,-15.0098237991333,-18.322322845458984,-15.323892593383789,-18.51139259338379,128
train,0,The quiet cow,The quiet cows,-15.961091041564941,-18.179841995239258,-15.170282363891602,-17.1702823638916,-16.485576629638672,-17.985576629638672,-15.437301635742188,-16.874801635742188,128
train,1,The quiet cows,The quiet cow,-15.358986854553223,-20.171485900878906,-14.661962509155273,-19.599462509155273,-15.237691879272461,-19.42519187927246,-14.465592384338379,-18.778093338012695,128
train,0,The bright doe,The bright does,-12.418702125549316,-14.231202125549316,-12.046595573425293,-14.171595573425293,-15.125767707824707,-15.250767707824707,-12.440265655517578,-13.565265655517578,128
train,1,The bright does,The bright doe,-12.954392433166504,-14.954392433166504,-11.470773696899414,-14.533273696899414,-12.817815780639648,-15.005315780639648,-11.626301765441895,-14.751301765441895,128
train,0,The nervous lion,The nervous lions,-11.068885803222656,-11.568885803222656,-11.023076057434082,-12.148076057434082,-11.333009719848633,-11.458009719848633,-11.244171142578125,-12.056671142578125,128
train,1,The nervous lions,The nervous lion,-12.019341468811035,-13.331841468811035,-13.137864112854004,-14.325364112854004,-11.832456588745117,-13.019956588745117,-12.847051620483398,-14.034551620483398,128
