split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,7,1,The fuzzy turtle past the crates,The fuzzy turtles past the crate,-1.8659323453903198,-6.240932464599609,-5.038276672363281,-3.913276433944702,-4.974590301513672,-3.9745900630950928,
train,1,7,1,The fuzzy turtles past the crate,The fuzzy turtle past the crates,-3.913276433944702,-5.038276672363281,-6.240932464599609,-1.8659323453903198,-6.152670860290527,-1.7776708602905273,
train,0,7,1,The small kit around the towers,The small kits around the tower,-11.474538803100586,-13.849538803100586,-15.448917388916016,-12.198917388916016,-15.215815544128418,-12.153315544128418,
train,1,7,1,The small kits around the tower,The small kit around the towers,-12.198917388916016,-15.448917388916016,-13.849538803100586,-11.474538803100586,-13.795636177062988,-11.483136177062988,
train,0,7,1,The slender bat behind the cabins,The slender bats behind the cabin,-0.546322226524353,-7.171322345733643,-5.437726974487305,-1.5627268552780151,-4.765249252319336,-1.765249252319336,
train,1,7,1,The slender bats behind the cabin,The slender bat behind the cabins,-1.5627268552780151,-5.437726974487305,-7.171322345733643,-0.546322226524353,-6.9350666999816895,-0.5600665807723999,
train,0,7,1,The fuzzy shark behind the clocks,The fuzzy sharks behind the clock,-15.773347854614258,-16.773347854614258,-17.75202751159668,-15.84577751159668,-17.75202751159668,-15.84577751159668,
train,1,7,1,The fuzzy sharks behind the clock,The fuzzy shark behind the clocks,-15.84577751159668,-17.75202751159668,-16.773347854614258,-15.773347854614258,-16.773347854614258,-15.773347854614258,
train,0,7,1,The sleepy dolphin past the vines,The sleepy dolphins past the vine,-2.7439932823181152,-7.618993282318115,-11.779253005981445,-11.279253005981445,-11.779233932495117,-11.404233932495117,
train,1,7,1,The sleepy dolphins past the vine,The sleepy dolphin past the vines,-11.279253005981445,-11.779253005981445,-7.618993282318115,-2.7439932823181152,-7.529852867126465,-2.654852867126465,
train,0,7,1,The nervous lion behind the rocks,The nervous lions behind the rock,-14.797561645507812,-15.422561645507812,-16.370561599731445,-15.745561599731445,-16.40571403503418,-15.84321403503418,
train,1,7,1,The nervous lions behind the rock,The nervous lion behind the rocks,-15.745561599731445,-16.370561599731445,-15.422561645507812,-14.797561645507812,-15.341495513916016,-14.716495513916016,
train,0,7,1,The calm dog outside the houses,The calm dogs outside the house,-0.8022787570953369,-5.677278518676758,-5.591558456420898,-1.0915584564208984,-4.946901798248291,-1.696901798248291,
train,1,7,1,The calm dogs outside the house,The calm dog outside the houses,-1.0915584564208984,-5.591558456420898,-5.677278518676758,-0.8022787570953369,-5.555751323699951,-0.8057513236999512,
train,0,7,1,The nervous panda behind the windows,The nervous pandas behind the window,-2.729358196258545,-6.479358196258545,-5.3765764236450195,-2.3765766620635986,-4.857783317565918,-4.607783317565918,
train,1,7,1,The nervous pandas behind the window,The nervous panda behind the windows,-2.3765766620635986,-5.3765764236450195,-6.479358196258545,-2.729358196258545,-6.173018455505371,-2.548018455505371,
train,0,7,1,The sleepy kit beneath the boilers,The sleepy kits beneath the boiler,-1.0477405786514282,-7.422740459442139,-3.938277244567871,-3.313277244567871,-3.666430950164795,-3.541430950164795,
train,1,7,1,The sleepy kits beneath the boiler,The sleepy kit beneath the boilers,-3.313277244567871,-3.938277244567871,-7.422740459442139,-1.0477405786514282,-7.374732971191406,-1.1247329711914062,
train,0,7,1,The small bat around the walls,The small bats around the wall,-2.0720043182373047,-5.572004318237305,-5.2100653648376465,-1.2100653648376465,-5.068432807922363,-1.1934328079223633,
train,1,7,1,The small bats around the wall,The small bat around the walls,-1.2100653648376465,-5.2100653648376465,-5.572004318237305,-2.0720043182373047,-5.5620503425598145,-2.0620503425598145,
train,0,7,1,The fuzzy pup around the tanks,The fuzzy pups around the tank,-13.45382308959961,-14.07882308959961,-15.370477676391602,-12.932977676391602,-15.37669563293457,-12.93919563293457,
train,1,7,1,The fuzzy pups around the tank,The fuzzy pup around the tanks,-12.932977676391602,-15.370477676391602,-14.07882308959961,-13.45382308959961,-14.032856941223145,-13.532856941223145,
train,0,7,1,The small doe beneath the boilers,The small does beneath the boiler,-11.791221618652344,-14.228721618652344,-15.129647254943848,-13.942147254943848,-13.219125747680664,-13.031625747680664,
train,1,7,1,The small does beneath the boiler,The small doe beneath the boilers,-13.942147254943848,-15.129647254943848,-14.228721618652344,-11.791221618652344,-14.18023681640625,-11.68023681640625,
train,0,7,1,The slender panda past the crates,The slender pandas past the crate,-0.784143328666687,-5.909143447875977,-5.216004848480225,-1.0910049676895142,-5.299223899841309,-1.0492241382598877,
train,1,7,1,The slender pandas past the crate,The slender panda past the crates,-1.0910049676895142,-5.216004848480225,-5.909143447875977,-0.784143328666687,-5.8667192459106445,-0.7417190670967102,
train,0,7,1,The sleepy panda outside the benches,The sleepy pandas outside the bench,-14.276143074035645,-16.52614402770996,-17.711034774780273,-14.211033821105957,-15.643632888793945,-13.081132888793945,
train,1,7,1,The sleepy pandas outside the bench,The sleepy panda outside the benches,-14.211033821105957,-17.711034774780273,-16.52614402770996,-14.276143074035645,-16.50177574157715,-14.251774787902832,
train,0,7,1,The bright rabbit beneath the trenches,The bright rabbits beneath the trench,-2.0883049964904785,-8.08830451965332,-4.078927993774414,-3.703927993774414,-4.303173065185547,-4.178173065185547,
train,1,7,1,The bright rabbits beneath the trench,The bright rabbit beneath the trenches,-3.703927993774414,-4.078927993774414,-8.08830451965332,-2.0883049964904785,-8.011236190795898,-2.1362359523773193,
train,0,7,1,The small chick past the rocks,The small chicks past the rock,-2.295196771621704,-8.920196533203125,-5.948004722595215,-2.448004722595215,-5.84625244140625,-2.471252202987671,
