hook,layer,tok,unit,attribution
mlp_act,27,5,793,0.10266082733869553
mlp_act,22,5,164,0.09618984162807465
mlp_act,22,5,571,0.05682605504989624
mlp_act,12,5,24,0.044602878391742706
mlp_act,22,5,790,0.03950285166501999
mlp_act,27,5,329,0.031928930431604385
mlp_act,27,5,797,0.029459770768880844
mlp_act,7,5,2480,0.028992366045713425
mlp_act,27,5,2257,0.02824326418340206
mlp_act,22,5,721,0.027008960023522377
mlp_act,2,5,1016,0.02347698248922825
mlp_act,27,5,137,0.021139277145266533
mlp_act,27,5,627,0.014396369457244873
mlp_act,17,5,3916,0.012935236096382141
mlp_act,22,5,5409,0.012470411136746407
mlp_act,27,5,744,0.012176466174423695
mlp_act,22,5,997,0.012007566168904305
mlp_act,27,5,471,0.011303916573524475
mlp_act,2,5,1412,0.010531115345656872
mlp_act,7,5,9,0.01035232376307249
mlp_act,12,5,7787,0.010052001103758812
mlp_act,17,5,2342,0.009188068099319935
mlp_act,22,5,1836,0.008718340657651424
mlp_act,22,5,1914,0.008547425270080566
mlp_act,7,5,5775,0.007983088493347168
mlp_act,22,5,1886,0.007917431183159351
mlp_act,7,5,129,0.00786037277430296
mlp_act,27,5,1826,0.007649436593055725
mlp_act,27,5,9128,0.0074971565045416355
mlp_act,27,5,9605,0.007369108032435179
mlp_act,22,5,2459,0.007333297748118639
mlp_act,17,5,8114,0.0068939379416406155
mlp_act,12,5,8824,0.006868688389658928
mlp_act,22,5,8579,0.006641735788434744
mlp_act,17,5,7981,0.006497597321867943
mlp_act,22,5,2,0.006293205078691244
mlp_act,12,5,4882,0.006227152422070503
mlp_act,12,5,6495,0.006074186880141497
mlp_act,22,5,95,0.006055828649550676
mlp_act,22,5,50,0.006011464633047581
mlp_act,27,5,701,0.005786726251244545
mlp_act,17,5,6224,0.005220554769039154
mlp_act,22,5,3009,0.005018104799091816
mlp_act,22,5,5490,0.004977869801223278
mlp_act,22,5,7182,0.004778428003191948
mlp_act,17,5,9446,0.0047609517350792885
mlp_act,7,5,4122,0.0046266526915133
mlp_act,12,5,748,0.004546985495835543
mlp_act,7,5,1381,0.003876771777868271
mlp_act,12,5,7159,0.0038763710763305426
mlp_act,12,5,7525,0.0037981767673045397
mlp_act,12,5,6849,0.003722978523001075
mlp_act,27,5,4369,0.003696637926623225
mlp_act,7,5,528,0.0036929617635905743
mlp_act,7,5,1889,0.0036582171451300383
mlp_act,2,5,766,0.0036028563044965267
mlp_act,7,5,2910,0.0035929125733673573
mlp_act,27,5,110,0.003478435566648841
mlp_act,22,5,6740,0.0034381139557808638
mlp_act,27,5,1080,0.0033795295748859644
mlp_act,12,5,8859,0.0033579738810658455
mlp_act,22,5,5778,0.0033532020170241594
mlp_act,27,5,538,0.003265111707150936
mlp_act,22,5,1781,0.003251415677368641
mlp_act,22,5,6196,0.003227129578590393
mlp_act,27,5,657,0.0032259917352348566
mlp_act,2,5,1801,0.0031928932294249535
mlp_act,7,5,6157,0.0031497159507125616
mlp_act,27,5,480,0.003149662632495165
mlp_act,22,5,8486,0.003146938979625702
mlp_act,17,5,27,0.0030554556287825108
mlp_act,7,5,7184,0.0030431177001446486
mlp_act,27,5,4151,0.003028769977390766
mlp_act,7,5,713,0.003026156686246395
mlp_act,27,5,1358,0.002959177130833268
mlp_act,27,5,2576,0.0028753343503922224
mlp_act,27,5,5441,0.0028618862852454185
mlp_act,27,5,9242,0.0028069347608834505
mlp_act,27,5,732,0.0027977561112493277
mlp_act,27,5,7664,0.002776034642010927
mlp_act,12,5,5675,0.002740224590525031
mlp_act,22,5,1678,0.00271886819973588
mlp_act,17,5,2667,0.0026783349458128214
mlp_act,22,5,412,0.002632874995470047
mlp_act,22,5,3876,0.0025677706580609083
mlp_act,22,5,1456,0.0025390449445694685
mlp_act,22,5,2033,0.002530899364501238
mlp_act,22,5,5840,0.002527971286326647
mlp_act,27,5,6187,0.002504358533769846
mlp_act,22,5,5344,0.0024560594465583563
mlp_act,22,5,2230,0.0024313353933393955
mlp_act,27,5,235,0.0024096218403428793
mlp_act,27,5,327,0.0023706736974418163
mlp_act,17,5,5679,0.002361677587032318
mlp_act,17,5,8564,0.0023613458033651114
mlp_act,27,5,4923,0.0023572484496980906
mlp_act,22,5,1673,0.0023088359739631414
mlp_act,22,5,8071,0.00228711380623281
mlp_act,27,5,8096,0.0022428100928664207
mlp_act,27,5,130,0.0021939617581665516
mlp_act,22,5,8384,0.0021812308114022017
mlp_act,7,5,2274,0.0021736619528383017
mlp_act,2,5,2263,0.002169807907193899
mlp_act,12,5,8481,0.0021650015842169523
mlp_act,17,5,5861,0.002103025559335947
mlp_act,22,5,9503,0.002095024799928069
mlp_act,7,5,1741,0.0020904047414660454
mlp_act,17,5,6916,0.002073375741019845
mlp_act,7,5,967,0.002069533569738269
mlp_act,17,5,8725,0.0020633807871490717
mlp_act,27,5,291,0.0020420169457793236
mlp_act,2,5,2562,0.002034397330135107
mlp_act,22,5,881,0.0020276776049286127
mlp_act,17,5,5934,0.0020146952010691166
mlp_act,22,5,406,0.0019701479468494654
mlp_act,7,5,2837,0.0019661160185933113
mlp_act,22,5,5502,0.001964797032997012
mlp_act,22,5,6966,0.0019591848831623793
mlp_act,12,5,6947,0.0019382969476282597
mlp_act,12,5,6524,0.0019047997193410993
mlp_act,22,5,7884,0.00188072316814214
mlp_act,17,5,1342,0.0018784668063744903
mlp_act,22,5,48,0.0018761253450065851
mlp_act,12,5,6592,0.0018635900923982263
mlp_act,22,5,488,0.0018513388931751251
mlp_act,27,5,6060,0.0018455646932125092
mlp_act,12,5,2545,0.0018305917037650943
mlp_act,22,5,3812,0.0018283160170540214
