split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,4,1,The timid cow,The timid cows,-13.527059555053711,-15.027059555053711,-17.47559356689453,-12.225594520568848,-17.47559356689453,-12.225594520568848,
train,1,4,1,The timid cows,The timid cow,-12.225594520568848,-17.47559356689453,-15.027059555053711,-13.527059555053711,-15.027059555053711,-13.527059555053711,
train,0,4,1,The small dog,The small dogs,-1.8047754764556885,-9.74227523803711,-8.282320022583008,-2.7823197841644287,-8.282320022583008,-2.7823197841644287,
train,1,4,1,The small dogs,The small dog,-2.7823197841644287,-8.282320022583008,-9.74227523803711,-1.8047754764556885,-9.74227523803711,-1.8047754764556885,
train,0,4,1,The calm doe,The calm does,-5.490717887878418,-10.990717887878418,-17.57659912109375,-14.576600074768066,-17.57659912109375,-14.576600074768066,
train,1,4,1,The calm does,The calm doe,-14.576600074768066,-17.57659912109375,-10.990717887878418,-5.490717887878418,-10.990717887878418,-5.490717887878418,
train,0,4,1,The timid doe,The timid does,-7.076684951782227,-12.326684951782227,-20.01752471923828,-17.33002471923828,-20.01752471923828,-17.33002471923828,
train,1,4,1,The timid does,The timid doe,-17.33002471923828,-20.01752471923828,-12.326684951782227,-7.076684951782227,-12.326684951782227,-7.076684951782227,
train,0,4,1,The nervous bat,The nervous bats,-13.668234825134277,-14.230734825134277,-13.727751731872559,-11.852751731872559,-13.727751731872559,-11.852751731872559,
train,1,4,1,The nervous bats,The nervous bat,-11.852751731872559,-13.727751731872559,-14.230734825134277,-13.668234825134277,-14.230734825134277,-13.668234825134277,
train,0,4,1,The small doe,The small does,-11.284526824951172,-13.972026824951172,-16.8909854888916,-14.453485488891602,-16.8909854888916,-14.453485488891602,
train,1,4,1,The small does,The small doe,-14.453485488891602,-16.8909854888916,-13.972026824951172,-11.284526824951172,-13.972026824951172,-11.284526824951172,
train,0,4,1,The sleepy pup,The sleepy pups,-13.671722412109375,-17.046722412109375,-18.897695541381836,-13.05394458770752,-18.897695541381836,-13.05394458770752,
train,1,4,1,The sleepy pups,The sleepy pup,-13.05394458770752,-18.897695541381836,-17.046722412109375,-13.671722412109375,-17.046722412109375,-13.671722412109375,
train,0,4,1,The bright frog,The bright frogs,-14.320319175720215,-17.75782012939453,-17.55556869506836,-14.430567741394043,-17.55556869506836,-14.430567741394043,
train,1,4,1,The bright frogs,The bright frog,-14.430567741394043,-17.55556869506836,-17.75782012939453,-14.320319175720215,-17.75782012939453,-14.320319175720215,
train,0,4,1,The sleepy panda,The sleepy pandas,-10.647295951843262,-16.272296905517578,-13.271574974060059,-10.084074974060059,-13.271574974060059,-10.084074974060059,
train,1,4,1,The sleepy pandas,The sleepy panda,-10.084074974060059,-13.271574974060059,-16.272296905517578,-10.647295951843262,-16.272296905517578,-10.647295951843262,
train,0,4,1,The fuzzy horse,The fuzzy horses,-0.8686596751213074,-9.118659973144531,-4.884433269500732,-1.134433388710022,-4.884433269500732,-1.134433388710022,
train,1,4,1,The fuzzy horses,The fuzzy horse,-1.134433388710022,-4.884433269500732,-9.118659973144531,-0.8686596751213074,-9.118659973144531,-0.8686596751213074,
train,0,4,1,The fuzzy cock,The fuzzy cocks,-7.8773512840271,-15.064851760864258,-3.767388105392456,-2.517388105392456,-3.767388105392456,-2.517388105392456,
train,1,4,1,The fuzzy cocks,The fuzzy cock,-2.517388105392456,-3.767388105392456,-15.064851760864258,-7.8773512840271,-15.064851760864258,-7.8773512840271,
train,0,4,1,The bright rat,The bright rats,-1.160765528678894,-8.285765647888184,-5.624677658081055,-1.2496776580810547,-5.624677658081055,-1.2496776580810547,
train,1,4,1,The bright rats,The bright rat,-1.2496776580810547,-5.624677658081055,-8.285765647888184,-1.160765528678894,-8.285765647888184,-1.160765528678894,
train,0,4,1,The calm cock,The calm cocks,-5.64558219909668,-13.64558219909668,-4.659684181213379,-2.159684181213379,-4.659684181213379,-2.159684181213379,
train,1,4,1,The calm cocks,The calm cock,-2.159684181213379,-4.659684181213379,-13.64558219909668,-5.64558219909668,-13.64558219909668,-5.64558219909668,
train,0,4,1,The sleepy dolphin,The sleepy dolphins,-1.085144281387329,-10.08514404296875,-7.619556903839111,-0.8695568442344666,-7.619556903839111,-0.8695568442344666,
train,1,4,1,The sleepy dolphins,The sleepy dolphin,-0.8695568442344666,-7.619556903839111,-10.08514404296875,-1.085144281387329,-10.08514404296875,-1.085144281387329,
train,0,4,1,The sleepy horse,The sleepy horses,-12.672243118286133,-13.484743118286133,-15.09349536895752,-13.59349536895752,-15.09349536895752,-13.59349536895752,
train,1,4,1,The sleepy horses,The sleepy horse,-13.59349536895752,-15.09349536895752,-13.484743118286133,-12.672243118286133,-13.484743118286133,-12.672243118286133,
train,0,4,1,The calm shark,The calm sharks,-12.261210441589355,-18.07370948791504,-16.402069091796875,-12.027070045471191,-16.402069091796875,-12.027070045471191,
train,1,4,1,The calm sharks,The calm shark,-12.027070045471191,-16.402069091796875,-18.07370948791504,-12.261210441589355,-18.07370948791504,-12.261210441589355,
train,0,4,1,The slender frog,The slender frogs,-10.888907432556152,-15.201407432556152,-16.711124420166016,-12.086125373840332,-16.711124420166016,-12.086125373840332,
train,1,4,1,The slender frogs,The slender frog,-12.086125373840332,-16.711124420166016,-15.201407432556152,-10.888907432556152,-15.201407432556152,-10.888907432556152,
train,0,4,1,The small shark,The small sharks,-12.244134902954102,-15.931634902954102,-16.966503143310547,-13.779004096984863,-16.966503143310547,-13.779004096984863,
train,1,4,1,The small sharks,The small shark,-13.779004096984863,-16.966503143310547,-15.931634902954102,-12.244134902954102,-15.931634902954102,-12.244134902954102,
train,0,4,1,The nervous dog,The nervous dogs,-0.8729667067527771,-8.622966766357422,-4.894102096557617,-1.2691020965576172,-4.894102096557617,-1.2691020965576172,
train,1,4,1,The nervous dogs,The nervous dog,-1.2691020965576172,-4.894102096557617,-8.622966766357422,-0.8729667067527771,-8.622966766357422,-0.8729667067527771,
train,0,4,1,The small monitor,The small monitors,-11.25160026550293,-13.18910026550293,-15.978815078735352,-13.103815078735352,-15.978815078735352,-13.103815078735352,
train,1,4,1,The small monitors,The small monitor,-13.103815078735352,-15.978815078735352,-13.18910026550293,-11.25160026550293,-13.18910026550293,-11.25160026550293,
train,0,4,1,The slender horse,The slender horses,-13.565306663513184,-17.565305709838867,-17.948902130126953,-14.698901176452637,-17.948902130126953,-14.698901176452637,
train,1,4,1,The slender horses,The slender horse,-14.698901176452637,-17.948902130126953,-17.565305709838867,-13.565306663513184,-17.565305709838867,-13.565306663513184,
train,0,4,1,The calm frog,The calm frogs,-8.93214225769043,-13.55714225769043,-14.307746887207031,-9.682746887207031,-14.307746887207031,-9.682746887207031,
train,1,4,1,The calm frogs,The calm frog,-9.682746887207031,-14.307746887207031,-13.55714225769043,-8.93214225769043,-13.55714225769043,-8.93214225769043,
train,0,4,1,The calm dolphin,The calm dolphins,-8.117082595825195,-14.117082595825195,-15.937724113464355,-9.187724113464355,-15.937724113464355,-9.187724113464355,
train,1,4,1,The calm dolphins,The calm dolphin,-9.187724113464355,-15.937724113464355,-14.117082595825195,-8.117082595825195,-14.117082595825195,-8.117082595825195,
train,0,4,1,The slender cow,The slender cows,-13.859138488769531,-16.73413848876953,-17.12495231628418,-14.74995231628418,-17.12495231628418,-14.74995231628418,
train,1,4,1,The slender cows,The slender cow,-14.74995231628418,-17.12495231628418,-16.73413848876953,-13.859138488769531,-16.73413848876953,-13.859138488769531,
train,0,4,1,The nervous dolphin,The nervous dolphins,-1.401625156402588,-8.90162467956543,-5.477133750915527,-1.2271337509155273,-5.477133750915527,-1.2271337509155273,
train,1,4,1,The nervous dolphins,The nervous dolphin,-1.2271337509155273,-5.477133750915527,-8.90162467956543,-1.401625156402588,-8.90162467956543,-1.401625156402588,
train,0,4,1,The sleepy lion,The sleepy lions,-16.44866943359375,-16.76116943359375,-20.5067081451416,-16.1629581451416,-20.5067081451416,-16.1629581451416,
