split,inverse,eval_input,counterfactual_input,clean_logp_A,clean_logp_B,complement_ablation_logp_A,complement_ablation_logp_B,circuit_ablation_logp_A,circuit_ablation_logp_B,all_ablation_logp_A,all_ablation_logp_B,n_nodes
train,0,The fuzzy turtle past the crates,The fuzzy turtles past the crate,-1.8328770399093628,-6.082877159118652,-1.1646755933761597,-7.414675712585449,-2.013340473175049,-5.138340473175049,-1.3467633724212646,-6.096763610839844,128
train,1,The fuzzy turtles past the crate,The fuzzy turtle past the crates,-3.944495677947998,-5.069495677947998,-1.6271097660064697,-5.752109527587891,-4.287222862243652,-4.412222862243652,-1.7652146816253662,-4.890214920043945,128
train,0,The small kit around the towers,The small kits around the tower,-11.562941551208496,-13.875441551208496,-11.517171859741211,-15.142171859741211,-11.915414810180664,-12.727914810180664,-11.751119613647461,-14.126119613647461,128
train,1,The small kits around the tower,The small kit around the towers,-12.090718269348145,-15.340718269348145,-11.898835182189941,-15.336335182189941,-12.189596176147461,-14.752096176147461,-11.987866401672363,-14.987866401672363,128
train,0,The slender bat behind the cabins,The slender bats behind the cabin,-0.5588443279266357,-7.058844566345215,-0.5085155963897705,-8.008515357971191,-0.611178994178772,-5.236178874969482,-0.5967739820480347,-6.096774101257324,128
train,1,The slender bats behind the cabin,The slender bat behind the cabins,-1.2963981628417969,-5.296398162841797,-1.0744035243988037,-5.324403762817383,-1.3349136114120483,-4.209913730621338,-1.1998684406280518,-4.199868202209473,128
train,0,The fuzzy shark behind the clocks,The fuzzy sharks behind the clock,-15.619620323181152,-16.68212127685547,-15.747522354125977,-17.310022354125977,-15.46511173248291,-16.215110778808594,-15.461938858032227,-16.649438858032227,128
train,1,The fuzzy sharks behind the clock,The fuzzy shark behind the clocks,-15.418354034423828,-17.355854034423828,-14.7130126953125,-17.4005126953125,-15.574213981628418,-16.8242130279541,-14.719008445739746,-16.84400749206543,128
train,0,The sleepy dolphin past the vines,The sleepy dolphins past the vine,-2.7155911922454834,-7.5905914306640625,-1.8115994930267334,-8.061599731445312,-2.9024105072021484,-6.277410507202148,-2.0516769886016846,-6.5516767501831055,128
train,1,The sleepy dolphins past the vine,The sleepy dolphin past the vines,-11.40001106262207,-11.90001106262207,-3.2772600650787354,-7.777259826660156,-11.529803276062012,-11.404803276062012,-3.411013126373291,-7.036013126373291,128
train,0,The nervous lion behind the rocks,The nervous lions behind the rock,-14.820094108581543,-15.445094108581543,-15.042210578918457,-15.792210578918457,-14.84449291229248,-15.21949291229248,-15.119909286499023,-15.494909286499023,128
train,1,The nervous lions behind the rock,The nervous lion behind the rocks,-14.933902740478516,-15.558902740478516,-15.583227157592773,-17.395727157592773,-14.982236862182617,-15.607236862182617,-15.63896656036377,-17.201465606689453,128
train,0,The calm dog outside the houses,The calm dogs outside the house,-0.7373576164245605,-5.4873576164245605,-0.9677032232284546,-6.592703342437744,-0.9640690088272095,-3.71406888961792,-1.1695914268493652,-4.544591426849365,128
train,1,The calm dogs outside the house,The calm dog outside the houses,-0.6105028390884399,-5.11050271987915,-0.6797536611557007,-5.55475378036499,-0.6966054439544678,-3.9466054439544678,-0.7675323486328125,-4.6425323486328125,128
train,0,The nervous panda behind the windows,The nervous pandas behind the window,-2.795042037963867,-6.545042037963867,-1.6302635669708252,-5.880263328552246,-2.891671657562256,-5.891671657562256,-1.781981110572815,-4.656980991363525,128
train,1,The nervous pandas behind the window,The nervous panda behind the windows,-2.2703092098236084,-5.395308971405029,-0.9311206936836243,-5.556120872497559,-2.543003559112549,-4.418003559112549,-1.1191481351852417,-4.619148254394531,128
train,0,The sleepy kit beneath the boilers,The sleepy kits beneath the boiler,-1.0520561933517456,-7.427056312561035,-1.2129509449005127,-7.587950706481934,-1.2172088623046875,-5.4672088623046875,-1.369910478591919,-5.74491024017334,128
