split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,13,1,The calm pup around the belts outside the piles behind the rushes,The calm pups around the belt outside the pile behind the rush,-15.845888137817383,-18.283388137817383,-17.418561935424805,-17.106061935424805,-17.654422760009766,-17.466922760009766,
train,0,13,1,The slender cow outside the piles behind the rushes past the vines,The slender cows outside the pile behind the rush past the vine,-19.213708877563477,-19.401208877563477,-17.284008026123047,-15.346508026123047,-16.856334686279297,-15.356334686279297,
train,0,13,1,The quiet panda past the screws beneath the boilers around the tanks,The quiet pandas past the screw beneath the boiler around the tank,-1.6678680181503296,-8.292867660522461,-4.583899021148682,-4.083899021148682,-4.604382514953613,-4.854382514953613,
train,0,13,1,The fuzzy lion outside the pots behind the pans past the cars,The fuzzy lions outside the pot behind the pan past the car,-1.440344214439392,-7.690344333648682,-2.5194430351257324,-1.6444430351257324,-2.557903289794922,-2.182903289794922,
train,0,13,1,The slender kitten behind the houses past the rocks beneath the chairs,The slender kittens behind the house past the rock beneath the chair,-1.9122347831726074,-6.912234783172607,-4.2768754959106445,-1.401875376701355,-4.256117820739746,-1.7561179399490356,
train,0,13,1,The sleepy rat around the towers outside the cabins behind the signs,The sleepy rats around the tower outside the cabin behind the sign,-2.908137798309326,-5.533137798309326,-5.517295837402344,-4.517295837402344,-5.503220081329346,-5.003220081329346,
train,0,13,1,The slender whale past the logs beneath the columns around the towers,The slender whales past the log beneath the column around the tower,-13.555676460266113,-15.243176460266113,-14.59853744506836,-12.09853744506836,-14.849440574645996,-12.536940574645996,
train,0,13,1,The small dolphin beneath the boilers around the tanks outside the pipes,The small dolphins beneath the boiler around the tank outside the pipe,-12.738959312438965,-13.801459312438965,-13.023046493530273,-12.023046493530273,-12.851556777954102,-12.476556777954102,
train,0,13,1,The sleepy dolphin beneath the boilers around the tanks outside the pipes,The sleepy dolphins beneath the boiler around the tank outside the pipe,-2.6446666717529297,-7.01966667175293,-3.876896381378174,-3.626896381378174,-3.6803343296051025,-4.555334091186523,
train,0,13,1,The nervous lion behind the rocks past the chairs beneath the carts,The nervous lions behind the rock past the chair beneath the cart,-19.180965423583984,-20.180965423583984,-23.560749053955078,-21.123249053955078,-23.244077682495117,-20.955015182495117,
train,0,13,1,The timid pup past the screws beneath the boilers around the tanks,The timid pups past the screw beneath the boiler around the tank,-15.71062183380127,-16.835620880126953,-15.88588809967041,-14.07338809967041,-15.427748680114746,-14.490248680114746,
train,0,13,1,The slender shark outside the pots behind the pans past the cars,The slender sharks outside the pot behind the pan past the car,-1.1676584482192993,-7.66765832901001,-2.861912250518799,-1.7369123697280884,-3.1204164028167725,-2.3704164028167725,
train,0,13,1,The timid rat outside the pipes behind the valves past the cables,The timid rats outside the pipe behind the valve past the cable,-3.044753074645996,-8.419753074645996,-5.00195837020874,-3.0019583702087402,-4.827038764953613,-4.077038764953613,
train,0,13,1,The fuzzy kit beneath the trenches around the dams outside the pots,The fuzzy kits beneath the trench around the dam outside the pot,-14.58804988861084,-15.90054988861084,-14.612062454223633,-12.924562454223633,-14.3836088180542,-13.1961088180542,
train,0,13,1,The sleepy lion outside the windows behind the crates past the barrels,The sleepy lions outside the window behind the crate past the barrel,-2.1369800567626953,-8.011980056762695,-3.8168396949768066,-2.6918396949768066,-3.696021556854248,-3.946021556854248,
train,0,13,1,The sleepy kitten outside the pots behind the pans past the cars,The sleepy kittens outside the pot behind the pan past the car,-2.347909450531006,-8.722908973693848,-4.468179225921631,-2.718179225921631,-4.610477447509766,-3.2354776859283447,
train,0,13,1,The calm panda past the rocks beneath the chairs around the carts,The calm pandas past the rock beneath the chair around the cart,-3.6488142013549805,-7.3988142013549805,-4.779955863952637,-3.5299558639526367,-5.173959255218506,-4.673959255218506,
train,0,13,1,The timid cow beneath the columns around the towers outside the cabins,The timid cows beneath the column around the tower outside the cabin,-1.6799230575561523,-7.179923057556152,-4.413565635681152,-1.538565754890442,-4.2859368324279785,-2.0359368324279785,
train,0,13,1,The small dolphin past the logs beneath the columns around the towers,The small dolphins past the log beneath the column around the tower,-4.572705268859863,-9.572705268859863,-7.26894998550415,-6.26894998550415,-7.91455602645874,-7.53955602645874,
train,0,13,1,The quiet pup around the thresholds outside the drums behind the bolts,The quiet pups around the threshold outside the drum behind the bolt,-4.678927421569824,-7.803927421569824,-6.467244625091553,-4.717244625091553,-6.948770999908447,-6.948770999908447,
train,0,13,1,The sleepy panda around the towers outside the cabins behind the signs,The sleepy pandas around the tower outside the cabin behind the sign,-2.5101943016052246,-4.885194301605225,-4.699366569519043,-3.074366569519043,-4.724149703979492,-3.724149465560913,
train,0,13,1,The fuzzy turtle outside the cabins behind the signs past the nests,The fuzzy turtles outside the cabin behind the sign past the nest,-13.21957015991211,-14.53207015991211,-15.958520889282227,-14.146020889282227,-15.720343589782715,-14.345343589782715,
train,0,13,1,The small cow outside the houses behind the rocks past the chairs,The small cows outside the house behind the rock past the chair,-1.0565471649169922,-5.681547164916992,-2.5397911071777344,-0.9147911071777344,-2.516615867614746,-1.391615867614746,
train,0,13,1,The calm dolphin beneath the trenches around the dams outside the pots,The calm dolphins beneath the trench around the dam outside the pot,-3.2306644916534424,-6.980664253234863,-4.659950256347656,-3.2849502563476562,-4.845549583435059,-4.595549583435059,
train,0,13,1,The timid panda outside the pipes behind the valves past the cables,The timid pandas outside the pipe behind the valve past the cable,-1.894599437713623,-7.019599437713623,-3.686938762664795,-1.936938762664795,-4.26531982421875,-3.39031982421875,
train,0,13,1,The timid dog around the thresholds outside the drums behind the bolts,The timid dogs around the threshold outside the drum behind the bolt,-5.215709686279297,-7.590709686279297,-6.634018898010254,-4.884018898010254,-6.788263320922852,-6.788263320922852,
train,0,13,1,The timid whale around the thresholds outside the drums behind the bolts,The timid whales around the threshold outside the drum behind the bolt,-6.415626049041748,-8.29062557220459,-6.282031059265137,-6.032031059265137,-7.483556747436523,-8.358556747436523,
train,0,13,1,The bright pup outside the cabins behind the signs past the nests,The bright pups outside the cabin behind the sign past the nest,-2.6253390312194824,-5.000339031219482,-5.241443157196045,-3.991443395614624,-5.291999816894531,-6.041999816894531,
train,0,13,1,The fuzzy rat past the rocks beneath the chairs around the carts,The fuzzy rats past the rock beneath the chair around the cart,-19.902475357055664,-20.277475357055664,-21.286861419677734,-19.255611419677734,-20.832008361816406,-18.425758361816406,
train,0,13,1,The nervous rabbit beneath the chairs around the carts outside the benches,The nervous rabbits beneath the chair around the cart outside the bench,-2.504241466522217,-6.004241466522217,-3.697821855545044,-3.072821855545044,-3.790300130844116,-3.415300130844116,
train,0,13,1,The nervous frog beneath the chains around the belts outside the piles,The nervous frogs beneath the chain around the belt outside the pile,-15.851031303405762,-16.726032257080078,-15.027799606323242,-13.027799606323242,-14.87358570098877,-12.99858570098877,
train,0,13,1,The slender turtle beneath the boilers around the tanks outside the pipes,The slender turtles beneath the boiler around the tank outside the pipe,-1.4154739379882812,-5.415473937988281,-2.717679023742676,-2.467679023742676,-2.9311952590942383,-2.8061952590942383,
train,0,13,1,The small lion around the walls outside the tables behind the houses,The small lions around the wall outside the table behind the house,-2.215541362762451,-3.965541362762451,-2.457141399383545,-1.0821412801742554,-2.571608543395996,-1.3216084241867065,
train,0,13,1,The small dolphin beneath the barrels around the statues outside the stools,The small dolphins beneath the barrel around the statue outside the stool,-1.6597867012023926,-3.9097867012023926,-3.0381712913513184,-2.5381712913513184,-3.3417460918426514,-3.5917460918426514,
train,0,13,1,The slender panda behind the bolts past the screws beneath the boilers,The slender pandas behind the bolt past the screw beneath the boiler,-15.478118896484375,-16.665618896484375,-15.648269653320312,-13.023269653320312,-14.634733200073242,-12.884733200073242,
train,0,13,1,The bright horse behind the crates past the barrels beneath the statues,The bright horses behind the crate past the barrel beneath the statue,-1.926997423171997,-8.051997184753418,-4.534012794494629,-3.409012794494629,-4.961324691772461,-4.586324691772461,
