split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,13,1,The calm pup around the belts outside the piles behind the rushes,The calm pups around the belt outside the pile behind the rush,-15.845888137817383,-18.283388137817383,-17.418561935424805,-17.106061935424805,-15.545519828796387,-15.858019828796387,
train,0,13,1,The slender cow outside the piles behind the rushes past the vines,The slender cows outside the pile behind the rush past the vine,-19.213708877563477,-19.401208877563477,-17.284008026123047,-15.346508026123047,-15.222237586975098,-14.159737586975098,
train,0,13,1,The quiet panda past the screws beneath the boilers around the tanks,The quiet pandas past the screw beneath the boiler around the tank,-1.6678680181503296,-8.292867660522461,-4.583899021148682,-4.083899021148682,-4.47097110748291,-5.59597110748291,
train,0,13,1,The fuzzy lion outside the pots behind the pans past the cars,The fuzzy lions outside the pot behind the pan past the car,-1.440344214439392,-7.690344333648682,-2.5194430351257324,-1.6444430351257324,-2.1506078243255615,-2.0256078243255615,
train,0,13,1,The slender kitten behind the houses past the rocks beneath the chairs,The slender kittens behind the house past the rock beneath the chair,-1.9122347831726074,-6.912234783172607,-4.2768754959106445,-1.401875376701355,-4.101950168609619,-1.6019502878189087,
train,0,13,1,The sleepy rat around the towers outside the cabins behind the signs,The sleepy rats around the tower outside the cabin behind the sign,-2.908137798309326,-5.533137798309326,-5.517295837402344,-4.517295837402344,-5.540172576904297,-4.415172576904297,
train,0,13,1,The slender whale past the logs beneath the columns around the towers,The slender whales past the log beneath the column around the tower,-13.555676460266113,-15.243176460266113,-14.59853744506836,-12.09853744506836,-13.904818534851074,-12.029818534851074,
train,0,13,1,The small dolphin beneath the boilers around the tanks outside the pipes,The small dolphins beneath the boiler around the tank outside the pipe,-12.738959312438965,-13.801459312438965,-13.023046493530273,-12.023046493530273,-12.135552406311035,-12.135552406311035,
train,0,13,1,The sleepy dolphin beneath the boilers around the tanks outside the pipes,The sleepy dolphins beneath the boiler around the tank outside the pipe,-2.6446666717529297,-7.01966667175293,-3.876896381378174,-3.626896381378174,-3.840913772583008,-4.715913772583008,
train,0,13,1,The nervous lion behind the rocks past the chairs beneath the carts,The nervous lions behind the rock past the chair beneath the cart,-19.180965423583984,-20.180965423583984,-23.560749053955078,-21.123249053955078,-20.798202514648438,-20.204452514648438,
train,0,13,1,The timid pup past the screws beneath the boilers around the tanks,The timid pups past the screw beneath the boiler around the tank,-15.71062183380127,-16.835620880126953,-15.88588809967041,-14.07338809967041,-14.472360610961914,-13.847360610961914,
train,0,13,1,The slender shark outside the pots behind the pans past the cars,The slender sharks outside the pot behind the pan past the car,-1.1676584482192993,-7.66765832901001,-2.861912250518799,-1.7369123697280884,-2.3283798694610596,-2.3283798694610596,
train,0,13,1,The timid rat outside the pipes behind the valves past the cables,The timid rats outside the pipe behind the valve past the cable,-3.044753074645996,-8.419753074645996,-5.00195837020874,-3.0019583702087402,-4.726146697998047,-3.976146936416626,
train,0,13,1,The fuzzy kit beneath the trenches around the dams outside the pots,The fuzzy kits beneath the trench around the dam outside the pot,-14.58804988861084,-15.90054988861084,-14.612062454223633,-12.924562454223633,-13.370573043823242,-13.433073043823242,
train,0,13,1,The sleepy lion outside the windows behind the crates past the barrels,The sleepy lions outside the window behind the crate past the barrel,-2.1369800567626953,-8.011980056762695,-3.8168396949768066,-2.6918396949768066,-3.422985076904297,-3.172985076904297,
train,0,13,1,The sleepy kitten outside the pots behind the pans past the cars,The sleepy kittens outside the pot behind the pan past the car,-2.347909450531006,-8.722908973693848,-4.468179225921631,-2.718179225921631,-3.7102560997009277,-2.5852560997009277,
train,0,13,1,The calm panda past the rocks beneath the chairs around the carts,The calm pandas past the rock beneath the chair around the cart,-3.6488142013549805,-7.3988142013549805,-4.779955863952637,-3.5299558639526367,-4.6173095703125,-5.2423095703125,
train,0,13,1,The timid cow beneath the columns around the towers outside the cabins,The timid cows beneath the column around the tower outside the cabin,-1.6799230575561523,-7.179923057556152,-4.413565635681152,-1.538565754890442,-4.1067399978637695,-2.1067399978637695,
train,0,13,1,The small dolphin past the logs beneath the columns around the towers,The small dolphins past the log beneath the column around the tower,-4.572705268859863,-9.572705268859863,-7.26894998550415,-6.26894998550415,-6.829255104064941,-7.204255104064941,
train,0,13,1,The quiet pup around the thresholds outside the drums behind the bolts,The quiet pups around the threshold outside the drum behind the bolt,-4.678927421569824,-7.803927421569824,-6.467244625091553,-4.717244625091553,-7.147268295288086,-6.147268295288086,
