split,inverse,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,n_nodes
train,0,The sleepy lion beneath the boilers around the tanks outside the pipes,The sleepy lions beneath the boiler around the tank outside the pipe,-5.167853355407715,-8.917853355407715,-6.6979570388793945,-5.5729570388793945,-5.6922712326049805,-7.4422712326049805,128
train,1,The sleepy lions beneath the boiler around the tank outside the pipe,The sleepy lion beneath the boilers around the tanks outside the pipes,-5.5729570388793945,-6.6979570388793945,-8.917853355407715,-5.167853355407715,-5.667797088623047,-6.292797088623047,128
train,0,The sleepy lion past the vines beneath the trenches around the dams,The sleepy lions past the vine beneath the trench around the dam,-8.63965892791748,-9.88965892791748,-9.577075958251953,-8.389575958251953,-8.888242721557617,-9.450742721557617,128
train,1,The sleepy lions past the vine beneath the trench around the dam,The sleepy lion past the vines beneath the trenches around the dams,-8.389575958251953,-9.577075958251953,-9.88965892791748,-8.63965892791748,-8.515575408935547,-9.515575408935547,128
train,0,The quiet horse around the thresholds outside the drums behind the bolts,The quiet horses around the threshold outside the drum behind the bolt,-8.283506393432617,-10.096006393432617,-8.083292007446289,-4.895792484283447,-6.195230960845947,-6.195230960845947,128
train,1,The quiet horses around the threshold outside the drum behind the bolt,The quiet horse around the thresholds outside the drums behind the bolts,-4.895792484283447,-8.083292007446289,-10.096006393432617,-8.283506393432617,-7.44314432144165,-9.568143844604492,128
train,0,The quiet rat behind the rushes past the vines beneath the trenches,The quiet rats behind the rush past the vine beneath the trench,-8.657933235168457,-11.220433235168457,-9.10456657409668,-8.41706657409668,-8.652629852294922,-10.215129852294922,128
train,1,The quiet rats behind the rush past the vine beneath the trench,The quiet rat behind the rushes past the vines beneath the trenches,-8.41706657409668,-9.10456657409668,-11.220433235168457,-8.657933235168457,-8.924290657043457,-8.549290657043457,128
train,0,The slender panda past the crates beneath the barrels around the statues,The slender pandas past the crate beneath the barrel around the statue,-7.290409564971924,-8.665410041809082,-9.540560722351074,-8.665560722351074,-8.902422904968262,-11.152422904968262,128
train,1,The slender pandas past the crate beneath the barrel around the statue,The slender panda past the crates beneath the barrels around the statues,-8.665560722351074,-9.540560722351074,-8.665410041809082,-7.290409564971924,-7.426596641540527,-7.676596641540527,128
train,0,The fuzzy panda outside the cabins behind the signs past the nests,The fuzzy pandas outside the cabin behind the sign past the nest,-13.980354309082031,-15.355354309082031,-15.044402122497559,-13.106902122497559,-13.295381546020508,-14.857881546020508,128
train,1,The fuzzy pandas outside the cabin behind the sign past the nest,The fuzzy panda outside the cabins behind the signs past the nests,-13.106902122497559,-15.044402122497559,-15.355354309082031,-13.980354309082031,-13.804410934448242,-15.054410934448242,128
train,0,The sleepy turtle around the carts outside the benches behind the windows,The sleepy turtles around the cart outside the bench behind the window,-6.280452251434326,-10.217952728271484,-9.190309524536133,-4.127809047698975,-6.696836471557617,-5.446836471557617,128
train,1,The sleepy turtles around the cart outside the bench behind the window,The sleepy turtle around the carts outside the benches behind the windows,-4.127809047698975,-9.190309524536133,-10.217952728271484,-6.280452251434326,-5.22929573059082,-7.22929573059082,128
train,0,The small rabbit around the stools outside the clocks behind the plants,The small rabbits around the stool outside the clock behind the plant,-8.380870819091797,-10.130870819091797,-8.822349548339844,-4.072349548339844,-6.899632453918457,-6.149632453918457,128
train,1,The small rabbits around the stool outside the clock behind the plant,The small rabbit around the stools outside the clocks behind the plants,-4.072349548339844,-8.822349548339844,-10.130870819091797,-8.380870819091797,-7.012306213378906,-8.762306213378906,128
train,0,The slender turtle around the towers outside the cabins behind the signs,The slender turtles around the tower outside the cabin behind the sign,-7.027589321136475,-9.652588844299316,-8.462303161621094,-3.837303638458252,-6.801988124847412,-5.551988124847412,128
train,1,The slender turtles around the tower outside the cabin behind the sign,The slender turtle around the towers outside the cabins behind the signs,-3.837303638458252,-8.462303161621094,-9.652588844299316,-7.027589321136475,-5.579208850860596,-8.079209327697754,128
train,0,The fuzzy frog behind the plants past the logs beneath the columns,The fuzzy frogs behind the plant past the log beneath the column,-6.265591621398926,-10.265591621398926,-8.271451950073242,-5.5214524269104,-7.135904312133789,-7.385904312133789,128
train,1,The fuzzy frogs behind the plant past the log beneath the column,The fuzzy frog behind the plants past the logs beneath the columns,-5.5214524269104,-8.271451950073242,-10.265591621398926,-6.265591621398926,-7.0151448249816895,-7.2651448249816895,128
train,0,The bright horse past the boxes beneath the walls around the tables,The bright horses past the box beneath the wall around the table,-9.143585205078125,-10.893585205078125,-10.528388023376465,-8.403388023376465,-8.902135848999023,-9.652135848999023,128
train,1,The bright horses past the box beneath the wall around the table,The bright horse past the boxes beneath the walls around the tables,-8.403388023376465,-10.528388023376465,-10.893585205078125,-9.143585205078125,-9.146222114562988,-9.896222114562988,128
train,0,The quiet cow outside the pipes behind the valves past the cables,The quiet cows outside the pipe behind the valve past the cable,-14.279425621032715,-15.779425621032715,-14.533504486083984,-13.033504486083984,-14.19022274017334,-13.94022274017334,128
train,1,The quiet cows outside the pipe behind the valve past the cable,The quiet cow outside the pipes behind the valves past the cables,-13.033504486083984,-14.533504486083984,-15.779425621032715,-14.279425621032715,-14.593338012695312,-15.093338012695312,128
train,0,The slender monitor around the carts outside the benches behind the windows,The slender monitors around the cart outside the bench behind the window,-3.745746612548828,-7.370746612548828,-7.724005222320557,-2.0990049839019775,-4.6046142578125,-3.3546142578125,128
train,1,The slender monitors around the cart outside the bench behind the window,The slender monitor around the carts outside the benches behind the windows,-2.0990049839019775,-7.724005222320557,-7.370746612548828,-3.745746612548828,-3.632312059402466,-4.132311820983887,128
train,0,The quiet rat beneath the columns around the towers outside the cabins,The quiet rats beneath the column around the tower outside the cabin,-4.4590349197387695,-7.8340349197387695,-7.91504430770874,-4.41504430770874,-5.687396049499512,-5.562396049499512,128
train,1,The quiet rats beneath the column around the tower outside the cabin,The quiet rat beneath the columns around the towers outside the cabins,-4.41504430770874,-7.91504430770874,-7.8340349197387695,-4.4590349197387695,-4.534897327423096,-5.659897327423096,128
train,0,The small kitten outside the stools behind the clocks past the plants,The small kittens outside the stool behind the clock past the plant,-17.26319694519043,-18.32569694519043,-20.142629623413086,-17.017629623413086,-19.289335250854492,-18.133085250854492,128
train,1,The small kittens outside the stool behind the clock past the plant,The small kitten outside the stools behind the clocks past the plants,-17.017629623413086,-20.142629623413086,-18.32569694519043,-17.26319694519043,-16.83355712890625,-18.39605712890625,128
train,0,The fuzzy horse past the vines beneath the trenches around the dams,The fuzzy horses past the vine beneath the trench around the dam,-8.76240062713623,-9.63740062713623,-9.143028259277344,-7.518028259277344,-8.515161514282227,-8.890161514282227,128
train,1,The fuzzy horses past the vine beneath the trench around the dam,The fuzzy horse past the vines beneath the trenches around the dams,-7.518028259277344,-9.143028259277344,-9.63740062713623,-8.76240062713623,-8.6393404006958,-9.2643404006958,128
train,0,The nervous chick past the screws beneath the boilers around the tanks,The nervous chicks past the screw beneath the boiler around the tank,-6.691681861877441,-8.566681861877441,-8.177653312683105,-7.4276533126831055,-7.427061080932617,-8.677061080932617,128
