split,inverse,eval_input,counterfactual_input,clean_logp_A,clean_logp_B,complement_ablation_logp_A,complement_ablation_logp_B,circuit_ablation_logp_A,circuit_ablation_logp_B,all_ablation_logp_A,all_ablation_logp_B,n_nodes
train,0,The timid cow,The timid cows,-13.729877471923828,-15.229877471923828,-11.978261947631836,-13.978261947631836,-14.168085098266602,-14.980585098266602,-12.033857345581055,-13.721357345581055,128
train,1,The timid cows,The timid cow,-12.227035522460938,-17.477035522460938,-10.455150604248047,-15.767650604248047,-11.74052906036377,-16.365528106689453,-10.263275146484375,-14.825775146484375,128
train,0,The small dog,The small dogs,-1.9777088165283203,-9.91520881652832,-2.554399013519287,-10.116899490356445,-1.8667396306991577,-9.241739273071289,-2.503918170928955,-9.378917694091797,128
train,1,The small dogs,The small dog,-2.8883001804351807,-8.388299942016602,-2.88386869430542,-8.883869171142578,-2.8098044395446777,-7.434804439544678,-2.772204875946045,-8.147205352783203,128
train,0,The calm doe,The calm does,-5.523785591125488,-11.023785591125488,-5.054037094116211,-9.866537094116211,-6.922966003417969,-10.422966003417969,-6.237028121948242,-9.112028121948242,128
train,1,The calm does,The calm doe,-14.578731536865234,-17.578731536865234,-10.610998153686523,-13.985998153686523,-14.389988899230957,-17.452489852905273,-10.334125518798828,-13.834125518798828,128
train,0,The timid doe,The timid does,-7.107763767242432,-12.357763290405273,-7.985933303833008,-12.673433303833008,-7.381826877593994,-11.756826400756836,-8.634211540222168,-12.259211540222168,128
train,1,The timid does,The timid doe,-17.332176208496094,-20.019676208496094,-13.686744689941406,-16.624244689941406,-17.20598793029785,-20.51848793029785,-14.09243106842041,-17.092432022094727,128
train,0,The nervous bat,The nervous bats,-13.658323287963867,-14.220823287963867,-11.930649757385254,-13.055649757385254,-13.924491882324219,-14.236991882324219,-12.110373497009277,-13.047873497009277,128
train,1,The nervous bats,The nervous bat,-11.88239574432373,-13.75739574432373,-11.804445266723633,-13.991945266723633,-11.824344635009766,-13.511844635009766,-11.653194427490234,-13.653194427490234,128
train,0,The small doe,The small does,-11.38166618347168,-14.06916618347168,-10.475019454956055,-13.287519454956055,-11.73385238647461,-13.23385238647461,-10.56539249420166,-12.31539249420166,128
train,1,The small does,The small doe,-14.46297836303711,-16.90047836303711,-10.608579635620117,-13.671079635620117,-14.356694221496582,-16.919193267822266,-10.871588706970215,-14.121588706970215,128
train,0,The sleepy pup,The sleepy pups,-13.440869331359863,-16.815868377685547,-13.729804992675781,-16.29230499267578,-13.56494140625,-16.25244140625,-14.046163558959961,-15.983663558959961,128
train,1,The sleepy pups,The sleepy pup,-13.182376861572266,-19.026126861572266,-11.913155555725098,-18.44440460205078,-13.114612579345703,-18.052112579345703,-11.813190460205078,-17.375690460205078,128
train,0,The bright frog,The bright frogs,-14.430619239807129,-17.868118286132812,-14.067854881286621,-17.755353927612305,-14.608231544494629,-17.545730590820312,-14.302474021911621,-17.489974975585938,128
train,1,The bright frogs,The bright frog,-14.52140998840332,-17.64640998840332,-14.576064109802246,-17.70106315612793,-14.439027786254883,-16.751527786254883,-14.615463256835938,-16.990463256835938,128
train,0,The sleepy panda,The sleepy pandas,-10.676419258117676,-16.30141830444336,-11.161550521850586,-17.099050521850586,-10.459858894348145,-15.647358894348145,-11.150368690490723,-16.46286964416504,128
train,1,The sleepy pandas,The sleepy panda,-10.113302230834961,-13.300802230834961,-10.026296615600586,-13.588796615600586,-9.947891235351562,-12.697891235351562,-9.951620101928711,-13.201620101928711,128
train,0,The fuzzy horse,The fuzzy horses,-1.197900414466858,-9.447900772094727,-1.233789086341858,-9.733789443969727,-1.3912763595581055,-8.141276359558105,-1.2654491662979126,-8.640449523925781,128
train,1,The fuzzy horses,The fuzzy horse,-1.7266007661819458,-5.476600646972656,-1.3559986352920532,-5.605998516082764,-1.8694267272949219,-4.619426727294922,-1.5279535055160522,-4.777953624725342,128
train,0,The fuzzy cock,The fuzzy cocks,-7.877387523651123,-15.064887046813965,-4.608754634857178,-11.608755111694336,-7.839507579803467,-14.277008056640625,-4.05951452255249,-10.059514045715332,128
train,1,The fuzzy cocks,The fuzzy cock,-2.5208325386047363,-3.7708325386047363,-1.5792615413665771,-3.954261541366577,-2.2833476066589355,-3.4083476066589355,-1.5374035835266113,-3.4124035835266113,128
train,0,The bright rat,The bright rats,-1.1519138813018799,-8.2769136428833,-1.182478904724121,-9.182478904724121,-1.0593812465667725,-6.684381484985352,-1.1989115476608276,-7.698911666870117,128
train,1,The bright rats,The bright rat,-1.3354580402374268,-5.710457801818848,-1.2645114660263062,-5.889511585235596,-1.317518711090088,-5.317518711090088,-1.260474443435669,-5.76047420501709,128
train,0,The calm cock,The calm cocks,-5.6470947265625,-13.6470947265625,-2.220022439956665,-10.345022201538086,-5.701148986816406,-13.013648986816406,-1.6329253911972046,-8.257925033569336,128
train,1,The calm cocks,The calm cock,-2.1797995567321777,-4.679799556732178,-1.3716826438903809,-5.371682643890381,-2.2945258617401123,-4.169526100158691,-1.3927170038223267,-4.392716884613037,128
train,0,The sleepy dolphin,The sleepy dolphins,-1.1445059776306152,-10.144506454467773,-1.150322675704956,-10.462822914123535,-1.1979329586029053,-8.697933197021484,-1.1788197755813599,-9.05381965637207,128
train,1,The sleepy dolphins,The sleepy dolphin,-0.97655189037323,-7.7265520095825195,-0.6829689145088196,-8.432969093322754,-0.9890528917312622,-6.989052772521973,-0.7739545106887817,-7.773954391479492,128
train,0,The sleepy horse,The sleepy horses,-13.231411933898926,-14.043911933898926,-12.631187438964844,-13.818687438964844,-13.28815746307373,-13.91315746307373,-12.809627532958984,-13.809627532958984,128
train,1,The sleepy horses,The sleepy horse,-14.169926643371582,-15.669926643371582,-13.584035873413086,-15.771535873413086,-13.975372314453125,-15.037872314453125,-13.677085876464844,-15.552085876464844,128
train,0,The calm shark,The calm sharks,-12.052102088928223,-17.864601135253906,-12.094502449035645,-18.46950340270996,-12.093045234680176,-16.90554428100586,-12.223214149475098,-17.41071319580078,128
