hook,layer,tok,unit,attribution
mlp_act,27,5,793,0.10309071093797684
mlp_act,22,5,164,0.09622149914503098
mlp_act,22,5,571,0.0567309707403183
mlp_act,12,5,24,0.044579315930604935
mlp_act,22,5,790,0.03929809853434563
mlp_act,27,5,329,0.031933363527059555
mlp_act,27,5,797,0.029423801228404045
mlp_act,7,5,2480,0.02893250249326229
mlp_act,27,5,2257,0.02861173264682293
mlp_act,22,5,721,0.026934687048196793
mlp_act,2,5,1016,0.023586073890328407
mlp_act,27,5,137,0.020988652482628822
mlp_act,27,5,627,0.014639392495155334
mlp_act,17,5,3916,0.012884868308901787
mlp_act,22,5,5409,0.012469063512980938
mlp_act,27,5,744,0.012202693149447441
mlp_act,22,5,997,0.011868705041706562
mlp_act,27,5,471,0.011482196860015392
mlp_act,2,5,1412,0.010479794815182686
mlp_act,7,5,9,0.010290122590959072
mlp_act,12,5,7787,0.010016841813921928
mlp_act,17,5,2342,0.009154465980827808
mlp_act,22,5,1836,0.008694990538060665
mlp_act,22,5,1914,0.00852581113576889
mlp_act,7,5,5775,0.007945834659039974
mlp_act,22,5,1886,0.007902469485998154
mlp_act,7,5,129,0.007824614644050598
mlp_act,27,5,1826,0.007682447321712971
mlp_act,27,5,9128,0.007499023340642452
mlp_act,22,5,2459,0.007400772999972105
mlp_act,27,5,9605,0.007340651471167803
mlp_act,17,5,8114,0.006911265663802624
mlp_act,12,5,8824,0.00687524676322937
mlp_act,22,5,8579,0.006616560276597738
mlp_act,17,5,7981,0.0064815375953912735
mlp_act,22,5,2,0.006382772233337164
mlp_act,12,5,4882,0.0062586101703345776
mlp_act,12,5,6495,0.006146591156721115
mlp_act,22,5,50,0.006074430886656046
mlp_act,22,5,95,0.005986602045595646
mlp_act,27,5,701,0.005809196271002293
mlp_act,17,5,6224,0.005206086672842503
mlp_act,22,5,3009,0.005027716513723135
mlp_act,22,5,5490,0.005002337507903576
mlp_act,22,5,7182,0.004774784203618765
mlp_act,17,5,9446,0.004747804719954729
mlp_act,7,5,4122,0.004605489782989025
mlp_act,12,5,748,0.004535970743745565
mlp_act,12,5,7159,0.0038950687739998102
mlp_act,12,5,7525,0.003815900534391403
mlp_act,7,5,1381,0.0037867939099669456
mlp_act,12,5,6849,0.003736540675163269
mlp_act,7,5,528,0.0036939524579793215
mlp_act,27,5,4369,0.003660347079858184
mlp_act,7,5,1889,0.003637962508946657
mlp_act,2,5,766,0.0035866140387952328
mlp_act,7,5,2910,0.0035744078923016787
mlp_act,27,5,110,0.003450172720476985
mlp_act,22,5,6740,0.0033790869638323784
mlp_act,27,5,1080,0.0033757835626602173
mlp_act,22,5,5778,0.003356416244059801
mlp_act,12,5,8859,0.0033336582127958536
mlp_act,22,5,6196,0.003296194365248084
mlp_act,22,5,1781,0.0032533123157918453
mlp_act,27,5,538,0.00324164773337543
mlp_act,27,5,657,0.0032359131146222353
mlp_act,2,5,1801,0.003201093291863799
mlp_act,7,5,6157,0.003173176199197769
mlp_act,27,5,480,0.0031404653564095497
mlp_act,22,5,8486,0.0031118590850383043
mlp_act,27,5,4151,0.003075519111007452
mlp_act,17,5,27,0.0030272260773926973
mlp_act,27,5,1358,0.0029719206504523754
mlp_act,7,5,7184,0.0029545482248067856
mlp_act,27,5,2576,0.0028507921379059553
mlp_act,27,5,5441,0.002833742182701826
mlp_act,27,5,732,0.0028080428019165993
mlp_act,7,5,713,0.002788124606013298
mlp_act,27,5,7664,0.0027774088084697723
mlp_act,12,5,5675,0.0027670746203511953
mlp_act,22,5,1678,0.0027108609210699797
mlp_act,17,5,2667,0.002674622694030404
mlp_act,27,5,9242,0.002650624141097069
mlp_act,22,5,412,0.0026264386251568794
mlp_act,22,5,2033,0.0025612786412239075
mlp_act,22,5,3876,0.0025600355584174395
mlp_act,22,5,1456,0.002554157981649041
mlp_act,27,5,6187,0.0025245349388569593
mlp_act,22,5,5840,0.0025227838195860386
mlp_act,22,5,5344,0.0024646087549626827
mlp_act,22,5,2230,0.0024152430705726147
mlp_act,27,5,235,0.0023974506184458733
mlp_act,17,5,5679,0.002379423938691616
mlp_act,27,5,4923,0.0023697668220847845
mlp_act,17,5,8564,0.00235553621314466
mlp_act,27,5,327,0.0023446520790457726
mlp_act,22,5,1673,0.0022939383052289486
mlp_act,22,5,8071,0.002285465830937028
mlp_act,27,5,8096,0.002252105390653014
mlp_act,2,5,2263,0.0022003683261573315
mlp_act,27,5,130,0.002180748851969838
mlp_act,7,5,2274,0.0021807230077683926
mlp_act,12,5,8481,0.0021532485261559486
mlp_act,22,5,8384,0.002151316963136196
mlp_act,17,5,5861,0.002086937427520752
mlp_act,22,5,9503,0.002086576074361801
mlp_act,17,5,5934,0.002076711505651474
mlp_act,17,5,8725,0.0020568587351590395
mlp_act,2,5,2562,0.002052627969533205
mlp_act,17,5,6916,0.0020391594152897596
mlp_act,22,5,881,0.0020302599295973778
mlp_act,7,5,967,0.0020197664853185415
mlp_act,27,5,291,0.002015375532209873
mlp_act,7,5,1741,0.0019847301300615072
mlp_act,22,5,5502,0.0019721488934010267
mlp_act,12,5,6947,0.001962176291272044
mlp_act,22,5,406,0.0019515365129336715
mlp_act,22,5,6966,0.001949547091498971
mlp_act,17,5,1342,0.0019050464034080505
mlp_act,12,5,6524,0.0018974223639816046
mlp_act,22,5,7884,0.001896690926514566
mlp_act,7,5,2837,0.0018836981616914272
mlp_act,27,5,6060,0.0018682990921661258
mlp_act,22,5,48,0.0018383542774245143
mlp_act,12,5,6592,0.001837598392739892
mlp_act,22,5,3812,0.0018315126653760672
mlp_act,12,5,2545,0.0018294684123247862
mlp_act,22,5,603,0.0018260213546454906
