split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,7,1,The fuzzy turtle past the crates,The fuzzy turtles past the crate,-1.8678218126296997,-6.11782169342041,-5.1272454261779785,-4.0022454261779785,-4.356672286987305,-6.981672286987305,
train,0,7,1,The small kit around the towers,The small kits around the tower,-11.567154884338379,-13.879654884338379,-15.422598838806152,-12.172598838806152,-15.42088794708252,-12.04588794708252,
train,0,7,1,The slender bat behind the cabins,The slender bats behind the cabin,-0.5608202219009399,-7.06082010269165,-5.513236045837402,-1.513236165046692,-3.4983842372894287,-2.4983842372894287,
train,0,7,1,The fuzzy shark behind the clocks,The fuzzy sharks behind the clock,-15.7498779296875,-16.8123779296875,-17.73228645324707,-15.794785499572754,-16.43341064453125,-14.870911598205566,
train,0,7,1,The sleepy dolphin past the vines,The sleepy dolphins past the vine,-2.725640296936035,-7.600640296936035,-11.901102066040039,-11.401102066040039,-9.647327423095703,-9.647327423095703,
train,0,7,1,The nervous lion behind the rocks,The nervous lions behind the rock,-14.853643417358398,-15.478643417358398,-16.458768844604492,-15.833769798278809,-15.73162841796875,-15.04412841796875,
train,0,7,1,The calm dog outside the houses,The calm dogs outside the house,-0.8344464302062988,-5.584446430206299,-5.590714454650879,-1.090714454650879,-4.471503257751465,-0.9715031385421753,
train,0,7,1,The nervous panda behind the windows,The nervous pandas behind the window,-2.7958059310913086,-6.545805931091309,-5.505606174468994,-2.380606174468994,-5.272533893585205,-1.897533893585205,
train,0,7,1,The sleepy kit beneath the boilers,The sleepy kits beneath the boiler,-1.0861780643463135,-7.461177825927734,-3.9958689212799072,-3.3708689212799072,-4.54394006729126,-6.04394006729126,
train,0,7,1,The small bat around the walls,The small bats around the wall,-1.9762784242630005,-5.601278305053711,-5.205623626708984,-1.2056238651275635,-5.2964630126953125,-1.1714630126953125,
train,0,7,1,The fuzzy pup around the tanks,The fuzzy pups around the tank,-13.527050971984863,-14.089550971984863,-15.384672164916992,-12.884672164916992,-15.607752799987793,-13.045252799987793,
train,0,7,1,The small doe beneath the boilers,The small does beneath the boiler,-11.845282554626465,-14.220282554626465,-15.158096313476562,-13.908096313476562,-13.85012149810791,-13.66262149810791,
train,0,7,1,The slender panda past the crates,The slender pandas past the crate,-0.7734951376914978,-5.773495197296143,-5.207530498504639,-1.0825306177139282,-5.029932022094727,-5.904932022094727,
train,0,7,1,The sleepy panda outside the benches,The sleepy pandas outside the bench,-14.21838665008545,-16.468387603759766,-17.59145736694336,-14.153956413269043,-15.204191207885742,-13.079191207885742,
train,0,7,1,The bright rabbit beneath the trenches,The bright rabbits beneath the trench,-2.1420302391052246,-8.142030715942383,-4.068277835845947,-3.6932778358459473,-4.174272537231445,-5.674272537231445,
train,0,7,1,The small chick past the rocks,The small chicks past the rock,-2.263442039489746,-8.888442039489746,-5.939359664916992,-2.439359664916992,-6.037808895111084,-5.537808895111084,
train,0,7,1,The slender cock around the walls,The slender cocks around the wall,-10.745611190795898,-11.183111190795898,-12.431106567382812,-9.868606567382812,-12.304292678833008,-9.679292678833008,
train,0,7,1,The nervous shark behind the windows,The nervous sharks behind the window,-11.869532585144043,-15.682032585144043,-14.003862380981445,-11.253862380981445,-14.080453872680664,-10.955453872680664,
train,0,7,1,The small pup past the vines,The small pups past the vine,-12.897540092468262,-13.647540092468262,-18.886577606201172,-16.199077606201172,-16.055980682373047,-14.86847972869873,
train,0,7,1,The calm shark outside the piles,The calm sharks outside the pile,-4.056588172912598,-9.056588172912598,-5.968430042266846,-3.5934300422668457,-5.24683952331543,-4.12183952331543,
train,0,7,1,The fuzzy kit beneath the statues,The fuzzy kits beneath the statue,-0.575252115726471,-4.450252056121826,-4.266108512878418,-1.766108512878418,-3.382673978805542,-2.257673978805542,
train,0,7,1,The sleepy panda outside the stools,The sleepy pandas outside the stool,-1.1415399312973022,-5.016540050506592,-5.606134414672852,-1.481134295463562,-4.346221923828125,-2.096221923828125,
train,0,7,1,The bright pup outside the cabins,The bright pups outside the cabin,-0.4190140962600708,-6.294013977050781,-6.037178039550781,-1.1621779203414917,-4.726845741271973,-1.4768455028533936,
train,0,7,1,The slender pup beneath the carts,The slender pups beneath the cart,-10.398170471191406,-12.273170471191406,-16.659770965576172,-15.534770965576172,-16.414121627807617,-17.226621627807617,
train,0,7,1,The calm cow around the walls,The calm cows around the wall,-3.5243451595306396,-6.399345397949219,-5.637348175048828,-2.262348175048828,-5.635258674621582,-2.260258674621582,
train,0,7,1,The quiet bat beneath the chairs,The quiet bats beneath the chair,-9.33648681640625,-13.64898681640625,-13.008397102355957,-10.570897102355957,-11.985970497131348,-10.485970497131348,
train,0,7,1,The nervous bat around the thresholds,The nervous bats around the threshold,-14.378347396850586,-16.440847396850586,-14.640009880065918,-14.452509880065918,-14.73969841003418,-14.42719841003418,
train,0,7,1,The small bat beneath the barrels,The small bats beneath the barrel,-0.4956853985786438,-8.120685577392578,-6.443438529968262,-1.5684382915496826,-5.6374311447143555,-3.0124311447143555,
train,0,7,1,The timid cock outside the tables,The timid cocks outside the table,-2.0184426307678223,-4.143442630767822,-5.706289291381836,-2.331289291381836,-5.045006275177002,-2.795006513595581,
train,0,7,1,The bright lion around the tables,The bright lions around the table,-12.202990531921387,-14.702990531921387,-15.81550121307373,-12.19050121307373,-15.862748146057129,-12.362748146057129,
train,0,7,1,The sleepy monitor around the belts,The sleepy monitors around the belt,-2.850813150405884,-4.475812911987305,-5.577491760253906,-3.2024919986724854,-5.5791707038879395,-3.0791707038879395,
train,0,7,1,The nervous bat behind the windows,The nervous bats behind the window,-2.972712516784668,-5.722712516784668,-5.139888763427734,-2.5148887634277344,-4.696244239807129,-1.946244478225708,
train,0,7,1,The fuzzy lion behind the valves,The fuzzy lions behind the valve,-0.9653481245040894,-7.965348243713379,-3.8851819038391113,-1.8851820230484009,-2.9828100204467773,-2.7328100204467773,
train,0,7,1,The quiet cow around the dams,The quiet cows around the dam,-14.263092041015625,-16.013092041015625,-16.266094207763672,-14.453595161437988,-16.40669059753418,-14.59419059753418,
train,0,7,1,The sleepy panda around the towers,The sleepy pandas around the tower,-2.111534595489502,-7.236534595489502,-6.416363716125488,-1.1663634777069092,-6.480299472808838,-1.105299472808838,
train,0,7,1,The nervous rat around the thresholds,The nervous rats around the threshold,-4.750540256500244,-9.875539779663086,-6.115023612976074,-3.740023374557495,-6.088741779327393,-3.3387417793273926,
train,0,7,1,The sleepy cock behind the cabins,The sleepy cocks behind the cabin,-1.79851496219635,-6.9235148429870605,-5.707738876342773,-3.9577388763427734,-4.844335556030273,-4.469335556030273,
train,0,7,1,The slender dog around the towers,The slender dogs around the tower,-1.950183629989624,-6.700183868408203,-6.951304912567139,-1.4513047933578491,-6.8806962966918945,-1.5056962966918945,
train,0,7,1,The small pup around the towers,The small pups around the tower,-16.173608779907227,-16.861108779907227,-16.90796661376953,-14.595466613769531,-16.918954849243164,-14.606454849243164,
train,0,7,1,The fuzzy lion outside the cabins,The fuzzy lions outside the cabin,-13.238926887512207,-15.676426887512207,-16.260997772216797,-12.885997772216797,-15.3515043258667,-12.9140043258667,
train,0,7,1,The fuzzy rat past the rocks,The fuzzy rats past the rock,-16.167633056640625,-17.667633056640625,-19.956933975219727,-17.519433975219727,-18.184326171875,-16.059326171875,
train,0,7,1,The small cock around the columns,The small cocks around the column,-1.622774362564087,-4.372774124145508,-3.144327402114868,-1.7693274021148682,-3.067838191986084,-1.5678380727767944,
train,0,7,1,The bright turtle past the nests,The bright turtles past the nest,-12.78472900390625,-13.72222900390625,-13.919598579406738,-11.107098579406738,-12.351480484008789,-10.601480484008789,
train,0,7,1,The slender rat around the walls,The slender rats around the wall,-12.529695510864258,-14.404695510864258,-15.374114990234375,-11.249114990234375,-15.36198902130127,-11.29948902130127,
train,0,7,1,The slender dog behind the cars,The slender dogs behind the car,-0.8571585416793823,-7.107158660888672,-6.240960597991943,-2.1159603595733643,-5.107442378997803,-2.107442617416382,
train,0,7,1,The timid shark behind the rushes,The timid sharks behind the rush,-13.80649471282959,-15.61899471282959,-20.104183197021484,-19.416683197021484,-17.58729362487793,-17.08729362487793,
train,0,7,1,The calm shark behind the bolts,The calm sharks behind the bolt,-2.5048508644104004,-6.8798508644104,-6.095931529998779,-5.470931529998779,-5.412455081939697,-6.162455081939697,
train,0,7,1,The nervous rabbit around the dams,The nervous rabbits around the dam,-4.747290134429932,-5.247290134429932,-5.074294090270996,-1.1992943286895752,-5.17572021484375,-1.0507200956344604,
train,0,7,1,The sleepy whale outside the pots,The sleepy whales outside the pot,-2.354530096054077,-6.229530334472656,-4.241538047790527,-3.7415380477905273,-3.9080910682678223,-1.5330909490585327,
train,0,7,1,The nervous cock outside the pipes,The nervous cocks outside the pipe,-2.0817818641662598,-6.33178186416626,-4.056454181671143,-3.3064541816711426,-3.8452987670898438,-3.5952987670898438,
train,0,7,1,The quiet dog past the barrels,The quiet dogs past the barrel,-13.053337097167969,-16.49083709716797,-16.497770309448242,-12.935270309448242,-14.162199974060059,-12.912199974060059,
train,0,7,1,The timid rat around the benches,The timid rats around the bench,-11.15061092376709,-16.213109970092773,-13.60837173461914,-11.92087173461914,-13.425533294677734,-11.738033294677734,
train,0,7,1,The calm panda past the rocks,The calm pandas past the rock,-2.071812391281128,-8.196812629699707,-5.664918899536133,-2.539919137954712,-5.313380241394043,-3.688380241394043,
train,0,7,1,The sleepy bat beneath the boilers,The sleepy bats beneath the boiler,-1.230720043182373,-8.480720520019531,-4.650818347930908,-2.525818347930908,-4.619844436645508,-4.869844436645508,
train,0,7,1,The calm dog around the stools,The calm dogs around the stool,-1.2779350280761719,-5.902935028076172,-5.150404930114746,-1.400404930114746,-4.904139041900635,-1.4041390419006348,
train,0,7,1,The slender kitten behind the houses,The slender kittens behind the house,-1.2230405807495117,-7.348040580749512,-7.452516555786133,-1.577516794204712,-6.508848667144775,-1.133848786354065,
train,0,7,1,The timid whale around the thresholds,The timid whales around the threshold,-5.595365047454834,-10.470365524291992,-6.723219394683838,-4.723219394683838,-6.603882312774658,-4.728882312774658,
train,0,7,1,The quiet chick around the dams,The quiet chicks around the dam,-2.9367570877075195,-4.5617570877075195,-5.227312088012695,-0.9773118495941162,-5.157649040222168,-0.9076491594314575,
train,0,7,1,The slender chick beneath the carts,The slender chicks beneath the cart,-14.943713188171387,-15.756213188171387,-23.102087020874023,-18.414587020874023,-22.016178131103516,-21.375553131103516,
train,0,7,1,The quiet rabbit behind the windows,The quiet rabbits behind the window,-2.9181716442108154,-7.1681718826293945,-6.807146072387695,-2.3071463108062744,-6.692962169647217,-2.692962169647217,
train,0,7,1,The bright turtle outside the piles,The bright turtles outside the pile,-4.179913520812988,-8.679913520812988,-7.802185535430908,-3.9271857738494873,-5.554304122924805,-4.679304122924805,
train,0,7,1,The slender panda beneath the boxes,The slender pandas beneath the box,-0.20478986203670502,-6.579789638519287,-5.281594276428223,-0.4065941870212555,-4.537679195404053,-0.4126790761947632,
train,0,7,1,The small shark outside the stools,The small sharks outside the stool,-7.418978691101074,-11.981478691101074,-11.512229919433594,-8.324729919433594,-11.358010292053223,-8.608010292053223,
train,0,7,1,The nervous shark around the thresholds,The nervous sharks around the threshold,-14.118504524230957,-15.431004524230957,-17.69932746887207,-12.82432746887207,-17.735774993896484,-12.6732759475708,
train,0,7,1,The bright shark outside the cabins,The bright sharks outside the cabin,-0.6084375977516174,-6.483437538146973,-5.587954521179199,-1.2129546403884888,-3.293924331665039,-1.793924331665039,
train,0,7,1,The timid chick around the thresholds,The timid chicks around the threshold,-3.1720199584960938,-9.297019958496094,-7.52831506729126,-2.1533150672912598,-7.552244186401367,-2.0522444248199463,
