split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,7,1,The fuzzy turtle past the crates,The fuzzy turtles past the crate,-1.8678218126296997,-6.11782169342041,-5.1272454261779785,-4.0022454261779785,-5.767455577850342,-6.267455577850342,
train,0,7,1,The small kit around the towers,The small kits around the tower,-11.567154884338379,-13.879654884338379,-15.422598838806152,-12.172598838806152,-15.636882781982422,-13.199382781982422,
train,0,7,1,The slender bat behind the cabins,The slender bats behind the cabin,-0.5608202219009399,-7.06082010269165,-5.513236045837402,-1.513236165046692,-4.309733867645264,-1.9347339868545532,
train,0,7,1,The fuzzy shark behind the clocks,The fuzzy sharks behind the clock,-15.7498779296875,-16.8123779296875,-17.73228645324707,-15.794785499572754,-16.66530990600586,-15.29030990600586,
train,0,7,1,The sleepy dolphin past the vines,The sleepy dolphins past the vine,-2.725640296936035,-7.600640296936035,-11.901102066040039,-11.401102066040039,-9.936884880065918,-9.436884880065918,
train,0,7,1,The nervous lion behind the rocks,The nervous lions behind the rock,-14.853643417358398,-15.478643417358398,-16.458768844604492,-15.833769798278809,-15.930238723754883,-14.492738723754883,
train,0,7,1,The calm dog outside the houses,The calm dogs outside the house,-0.8344464302062988,-5.584446430206299,-5.590714454650879,-1.090714454650879,-5.4327192306518555,-1.682719349861145,
train,0,7,1,The nervous panda behind the windows,The nervous pandas behind the window,-2.7958059310913086,-6.545805931091309,-5.505606174468994,-2.380606174468994,-5.699298858642578,-3.449298858642578,
train,0,7,1,The sleepy kit beneath the boilers,The sleepy kits beneath the boiler,-1.0861780643463135,-7.461177825927734,-3.9958689212799072,-3.3708689212799072,-4.246495246887207,-5.371495246887207,
train,0,7,1,The small bat around the walls,The small bats around the wall,-1.9762784242630005,-5.601278305053711,-5.205623626708984,-1.2056238651275635,-4.287406921386719,-1.7874066829681396,
train,0,7,1,The fuzzy pup around the tanks,The fuzzy pups around the tank,-13.527050971984863,-14.089550971984863,-15.384672164916992,-12.884672164916992,-15.359628677368164,-13.109628677368164,
train,0,7,1,The small doe beneath the boilers,The small does beneath the boiler,-11.845282554626465,-14.220282554626465,-15.158096313476562,-13.908096313476562,-14.808873176574707,-14.058873176574707,
train,0,7,1,The slender panda past the crates,The slender pandas past the crate,-0.7734951376914978,-5.773495197296143,-5.207530498504639,-1.0825306177139282,-5.845221042633057,-4.720221042633057,
train,0,7,1,The sleepy panda outside the benches,The sleepy pandas outside the bench,-14.21838665008545,-16.468387603759766,-17.59145736694336,-14.153956413269043,-16.079652786254883,-13.392152786254883,
train,0,7,1,The bright rabbit beneath the trenches,The bright rabbits beneath the trench,-2.1420302391052246,-8.142030715942383,-4.068277835845947,-3.6932778358459473,-3.986177444458008,-5.111177444458008,
train,0,7,1,The small chick past the rocks,The small chicks past the rock,-2.263442039489746,-8.888442039489746,-5.939359664916992,-2.439359664916992,-7.056003570556641,-5.556003570556641,
train,0,7,1,The slender cock around the walls,The slender cocks around the wall,-10.745611190795898,-11.183111190795898,-12.431106567382812,-9.868606567382812,-12.68435001373291,-10.49685001373291,
train,0,7,1,The nervous shark behind the windows,The nervous sharks behind the window,-11.869532585144043,-15.682032585144043,-14.003862380981445,-11.253862380981445,-14.26295280456543,-11.76295280456543,
train,0,7,1,The small pup past the vines,The small pups past the vine,-12.897540092468262,-13.647540092468262,-18.886577606201172,-16.199077606201172,-16.802719116210938,-15.302718162536621,
train,0,7,1,The calm shark outside the piles,The calm sharks outside the pile,-4.056588172912598,-9.056588172912598,-5.968430042266846,-3.5934300422668457,-6.4122700691223145,-5.2872700691223145,
train,0,7,1,The fuzzy kit beneath the statues,The fuzzy kits beneath the statue,-0.575252115726471,-4.450252056121826,-4.266108512878418,-1.766108512878418,-3.918489694595337,-2.418489694595337,
train,0,7,1,The sleepy panda outside the stools,The sleepy pandas outside the stool,-1.1415399312973022,-5.016540050506592,-5.606134414672852,-1.481134295463562,-4.331618309020996,-1.956618070602417,
train,0,7,1,The bright pup outside the cabins,The bright pups outside the cabin,-0.4190140962600708,-6.294013977050781,-6.037178039550781,-1.1621779203414917,-4.664863109588623,-1.539863109588623,
train,0,7,1,The slender pup beneath the carts,The slender pups beneath the cart,-10.398170471191406,-12.273170471191406,-16.659770965576172,-15.534770965576172,-15.574361801147461,-16.41811180114746,
train,0,7,1,The calm cow around the walls,The calm cows around the wall,-3.5243451595306396,-6.399345397949219,-5.637348175048828,-2.262348175048828,-5.854689598083496,-2.979689836502075,
train,0,7,1,The quiet bat beneath the chairs,The quiet bats beneath the chair,-9.33648681640625,-13.64898681640625,-13.008397102355957,-10.570897102355957,-12.289774894714355,-10.664774894714355,
train,0,7,1,The nervous bat around the thresholds,The nervous bats around the threshold,-14.378347396850586,-16.440847396850586,-14.640009880065918,-14.452509880065918,-14.750782012939453,-14.500782012939453,
train,0,7,1,The small bat beneath the barrels,The small bats beneath the barrel,-0.4956853985786438,-8.120685577392578,-6.443438529968262,-1.5684382915496826,-5.0911102294921875,-3.0911102294921875,
