split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,4,1,The sleepy bat,The sleepy bats,-7.379903793334961,-15.504903793334961,-9.693381309509277,-2.9433810710906982,-8.804362297058105,-2.9293622970581055,
train,0,4,1,The fuzzy frog,The fuzzy frogs,-17.567100524902344,-20.379600524902344,-16.858619689941406,-12.764869689941406,-16.650854110717773,-12.83835506439209,
train,0,4,1,The bright shark,The bright sharks,-15.751114845275879,-18.376115798950195,-15.708612442016602,-13.146112442016602,-15.36489486694336,-12.80239486694336,
train,0,4,1,The small bat,The small bats,-12.204050064086914,-18.766550064086914,-14.022706031799316,-8.335206031799316,-13.976729393005371,-9.226729393005371,
train,0,4,1,The bright chick,The bright chicks,-18.758718490600586,-20.633718490600586,-17.64642333984375,-15.74017333984375,-18.087459564208984,-16.399959564208984,
train,0,4,1,The nervous panda,The nervous pandas,-17.628446578979492,-18.628446578979492,-16.56942367553711,-14.44442367553711,-15.459239959716797,-13.271739959716797,
train,0,4,1,The slender turtle,The slender turtles,-18.50117301940918,-22.31367301940918,-19.00232696533203,-16.00232696533203,-18.16538429260254,-15.009134292602539,
train,0,4,1,The quiet turtle,The quiet turtles,-9.128422737121582,-16.9409236907959,-10.818948745727539,-5.443948745727539,-9.719791412353516,-4.719791889190674,
train,0,4,1,The sleepy doe,The sleepy does,-16.84368896484375,-18.21868896484375,-19.96379852294922,-17.90129852294922,-19.290664672851562,-16.853164672851562,
train,0,4,1,The timid horse,The timid horses,-5.67790412902832,-13.11540412902832,-9.214789390563965,-2.839789390563965,-9.177398681640625,-3.677398443222046,
train,0,4,1,The nervous rat,The nervous rats,-8.630955696105957,-15.943455696105957,-11.769610404968262,-6.51961088180542,-11.155627250671387,-5.593127250671387,
train,0,4,1,The fuzzy shark,The fuzzy sharks,-9.375650405883789,-16.06315040588379,-11.00620174407959,-6.63120174407959,-10.522329330444336,-5.772329330444336,
