split,inverse,eval_input,counterfactual_input,clean_logp_A,clean_logp_B,complement_ablation_logp_A,complement_ablation_logp_B,circuit_ablation_logp_A,circuit_ablation_logp_B,all_ablation_logp_A,all_ablation_logp_B,n_nodes
train,0,The nervous chick past the screws,The nervous chicks past the screw,-12.051470756530762,-13.801470756530762,-11.446017265319824,-14.696017265319824,-11.817070960998535,-12.692070960998535,-11.199044227600098,-13.449044227600098,128
train,1,The nervous chicks past the screw,The nervous chick past the screws,-14.13952922821045,-14.57702922821045,-12.398598670959473,-14.898598670959473,-13.829985618591309,-13.704985618591309,-12.407923698425293,-14.032923698425293,128
train,0,The sleepy rabbit beneath the milestones,The sleepy rabbits beneath the milestone,-16.497495651245117,-19.997495651245117,-16.32113265991211,-19.75863265991211,-16.725736618041992,-19.225736618041992,-16.261680603027344,-18.761680603027344,128
train,1,The sleepy rabbits beneath the milestone,The sleepy rabbit beneath the milestones,-14.892837524414062,-19.017837524414062,-15.210636138916016,-19.085636138916016,-15.245433807373047,-18.620433807373047,-15.585517883300781,-18.71051788330078,128
train,0,The sleepy bat beneath the boilers,The sleepy bats beneath the boiler,-10.003543853759766,-15.691043853759766,-11.627092361450195,-16.377092361450195,-10.37572193145752,-12.25072193145752,-12.376873016357422,-15.251873016357422,128
train,1,The sleepy bats beneath the boiler,The sleepy bat beneath the boilers,-9.752561569213867,-14.002561569213867,-11.126802444458008,-16.876802444458008,-11.001617431640625,-14.251617431640625,-12.376761436462402,-16.75176239013672,128
train,0,The sleepy lion beneath the boilers,The sleepy lions beneath the boiler,-9.140860557556152,-14.703360557556152,-11.627126693725586,-15.627126693725586,-9.62791919708252,-11.12791919708252,-12.876089096069336,-15.126089096069336,128
train,1,The sleepy lions beneath the boiler,The sleepy lion beneath the boilers,-10.502275466918945,-14.627275466918945,-11.001649856567383,-16.689149856567383,-11.876429557800293,-15.063929557800293,-12.37678337097168,-16.62678337097168,128
train,0,The quiet shark outside the clocks,The quiet sharks outside the clock,-11.042479515075684,-12.542479515075684,-10.05167293548584,-13.67667293548584,-10.807578086853027,-11.307578086853027,-10.079704284667969,-11.579704284667969,128
train,1,The quiet sharks outside the clock,The quiet shark outside the clocks,-8.120140075683594,-9.870140075683594,-9.537775039672852,-13.912775039672852,-9.876413345336914,-10.001413345336914,-10.287628173828125,-13.412628173828125,128
train,0,The calm dog outside the houses,The calm dogs outside the house,-9.856705665588379,-13.481705665588379,-9.784090042114258,-14.846590042114258,-9.746044158935547,-11.746044158935547,-9.543609619140625,-12.918609619140625,128
train,1,The calm dogs outside the house,The calm dog outside the houses,-8.900368690490723,-11.900368690490723,-7.415261268615723,-12.040261268615723,-9.276511192321777,-11.026511192321777,-7.811916828155518,-11.186917304992676,128
train,0,The slender pup behind the bolts,The slender pups behind the bolt,-18.135040283203125,-19.822540283203125,-18.196786880493164,-20.634286880493164,-18.074623107910156,-18.887123107910156,-18.07402801513672,-19.44902801513672,128
train,1,The slender pups behind the bolt,The slender pup behind the bolts,-18.943021774291992,-22.943021774291992,-17.87984848022461,-22.44234848022461,-19.068828582763672,-22.131328582763672,-18.254878997802734,-21.879878997802734,128
train,0,The small frog around the tanks,The small frogs around the tank,-11.635506629943848,-14.385506629943848,-10.644530296325684,-14.394530296325684,-11.136828422546387,-12.886828422546387,-10.76894760131836,-12.76894760131836,128
train,1,The small frogs around the tank,The small frog around the tanks,-6.418344497680664,-12.168344497680664,-7.906888484954834,-13.906888008117676,-7.651838302612305,-11.526838302612305,-9.153118133544922,-13.278118133544922,128
train,0,The fuzzy panda outside the pots,The fuzzy pandas outside the pot,-7.778658866882324,-11.278658866882324,-10.013162612915039,-14.638162612915039,-8.39377212524414,-10.51877212524414,-9.763901710510254,-12.763901710510254,128
train,1,The fuzzy pandas outside the pot,The fuzzy panda outside the pots,-5.9548163414001465,-7.9548163414001465,-8.136292457580566,-10.886292457580566,-6.930869102478027,-7.305869102478027,-9.634546279907227,-10.384546279907227,128
train,0,The small panda behind the bolts,The small pandas behind the bolt,-10.641593933105469,-15.079093933105469,-10.1542329788208,-14.9042329788208,-10.644354820251465,-13.144354820251465,-10.033085823059082,-13.033085823059082,128
train,1,The small pandas behind the bolt,The small panda behind the bolts,-10.513590812683105,-13.388590812683105,-9.760478973388672,-14.385478973388672,-10.640942573547363,-12.515942573547363,-10.138677597045898,-13.263677597045898,128
train,0,The quiet turtle around the dams,The quiet turtles around the dam,-10.183650016784668,-12.308650016784668,-11.648075103759766,-14.648075103759766,-10.197113990783691,-11.072113990783691,-11.89732551574707,-13.52232551574707,128
train,1,The quiet turtles around the dam,The quiet turtle around the dams,-6.17830753326416,-11.74080753326416,-8.215444564819336,-13.590444564819336,-7.136351108551025,-11.386351585388184,-9.071773529052734,-12.946773529052734,128
train,0,The nervous dog around the benches,The nervous dogs around the bench,-9.794938087463379,-12.044938087463379,-10.907532691955566,-14.782532691955566,-10.651650428771973,-11.776650428771973,-11.031800270080566,-13.531800270080566,128
train,1,The nervous dogs around the bench,The nervous dog around the benches,-8.398552894592285,-12.648552894592285,-9.15770435333252,-13.78270435333252,-9.774245262145996,-12.274245262145996,-10.159088134765625,-13.159088134765625,128
train,0,The sleepy kitten beneath the logs,The sleepy kittens beneath the log,-7.264130592346191,-13.514130592346191,-8.4144287109375,-14.5394287109375,-7.81570291519165,-11.940703392028809,-8.661921501159668,-12.974421501159668,128
train,1,The sleepy kittens beneath the log,The sleepy kitten beneath the logs,-7.357961177825928,-11.107961654663086,-9.22739315032959,-14.28989315032959,-8.053685188293457,-10.303685188293457,-10.091265678405762,-13.591265678405762,128
train,0,The quiet monitor beneath the chains,The quiet monitors beneath the chain,-8.913315773010254,-13.475815773010254,-10.275154113769531,-14.900154113769531,-9.267816543579102,-11.767816543579102,-10.765602111816406,-13.640602111816406,128
train,1,The quiet monitors beneath the chain,The quiet monitor beneath the chains,-10.761003494262695,-11.011003494262695,-10.638347625732422,-15.263347625732422,-11.758752822875977,-10.758752822875977,-11.514822006225586,-14.514822006225586,128
train,0,The small panda past the vines,The small pandas past the vine,-17.486717224121094,-19.736717224121094,-18.394968032836914,-20.832468032836914,-18.294599533081055,-19.232099533081055,-18.841426849365234,-20.591426849365234,128
train,1,The small pandas past the vine,The small panda past the vines,-18.67185401916504,-19.60935401916504,-18.412519454956055,-20.100019454956055,-18.859912872314453,-19.484912872314453,-18.860746383666992,-20.048246383666992,128
train,0,The timid kitten outside the towers,The timid kittens outside the tower,-10.697026252746582,-15.884526252746582,-9.781869888305664,-16.031869888305664,-10.8312406539917,-13.7062406539917,-9.914292335510254,-14.226792335510254,128
train,1,The timid kittens outside the tower,The timid kitten outside the towers,-8.476325035095215,-13.788825035095215,-8.477001190185547,-13.852001190185547,-9.18130111694336,-13.05630111694336,-8.85287857055664,-12.85287857055664,128
train,0,The sleepy frog behind the valves,The sleepy frogs behind the valve,-10.20724105834961,-14.64474105834961,-9.94550609588623,-15.38300609588623,-10.341915130615234,-12.341915130615234,-9.963403701782227,-13.213403701782227,128
train,1,The sleepy frogs behind the valve,The sleepy frog behind the valves,-8.352587699890137,-12.665087699890137,-9.709015846252441,-14.396515846252441,-8.977137565612793,-11.977137565612793,-9.95964527130127,-13.70964527130127,128
train,0,The sleepy monitor around the belts,The sleepy monitors around the belt,-12.133927345275879,-13.383927345275879,-10.531641006469727,-14.281641006469727,-11.638757705688477,-11.888757705688477,-10.294818878173828,-12.419818878173828,128
train,1,The sleepy monitors around the belt,The sleepy monitor around the belts,-8.889863967895508,-13.952363967895508,-8.83016300201416,-14.45516300201416,-9.389758110046387,-13.014758110046387,-9.563382148742676,-13.813382148742676,128
train,0,The timid pup around the benches,The timid pups around the bench,-18.001541137695312,-20.751541137695312,-19.114030838012695,-22.270280838012695,-19.10824966430664,-20.54574966430664,-19.307790756225586,-21.432790756225586,128
train,1,The timid pups around the bench,The timid pup around the benches,-15.934271812438965,-19.62177085876465,-17.438705444335938,-21.126205444335938,-16.989946365356445,-19.677446365356445,-18.174875259399414,-20.987375259399414,128
train,0,The quiet monitor outside the towers,The quiet monitors outside the tower,-9.992270469665527,-14.992270469665527,-9.175357818603516,-14.737857818603516,-10.022174835205078,-13.022174835205078,-9.19518756866455,-13.07018756866455,128
train,1,The quiet monitors outside the tower,The quiet monitor outside the towers,-8.350569725036621,-13.225569725036621,-7.769604682922363,-13.144604682922363,-8.815800666809082,-11.940800666809082,-8.28783893585205,-12.03783893585205,128
train,0,The calm cow around the walls,The calm cows around the wall,-11.320399284362793,-13.820399284362793,-9.950504302978516,-13.825504302978516,-10.858675003051758,-11.858675003051758,-9.474175453186035,-11.724175453186035,128
train,1,The calm cows around the wall,The calm cow around the walls,-8.558835983276367,-11.683835983276367,-8.722639083862305,-12.597639083862305,-8.856080055236816,-10.981080055236816,-8.998656272888184,-11.623656272888184,128
train,0,The fuzzy lion behind the valves,The fuzzy lions behind the valve,-9.081372261047363,-13.768872261047363,-9.346116065979004,-14.721116065979004,-9.441413879394531,-11.941413879394531,-9.585354804992676,-12.585354804992676,128
train,1,The fuzzy lions behind the valve,The fuzzy lion behind the valves,-9.478897094726562,-12.603897094726562,-9.683582305908203,-13.808582305908203,-9.594215393066406,-11.594215393066406,-9.81410026550293,-12.93910026550293,128
train,0,The small frog behind the crates,The small frogs behind the crate,-7.484592437744141,-13.35959243774414,-8.643940925598145,-14.331440925598145,-7.52836799621582,-11.27836799621582,-8.987314224243164,-13.112314224243164,128
train,1,The small frogs behind the crate,The small frog behind the crates,-7.004706859588623,-12.004706382751465,-8.709390640258789,-13.084390640258789,-7.8519978523254395,-11.476997375488281,-9.334881782531738,-12.334881782531738,128
train,0,The calm whale outside the benches,The calm whales outside the bench,-8.3162202835083,-12.0662202835083,-9.175185203552246,-14.300185203552246,-8.684822082519531,-10.434822082519531,-9.299667358398438,-12.424667358398438,128
train,1,The calm whales outside the bench,The calm whale outside the benches,-7.519901275634766,-10.269901275634766,-8.435441970825195,-12.435441970825195,-8.268533706665039,-9.768533706665039,-9.069357872009277,-11.694357872009277,128
train,0,The slender monitor around the carts,The slender monitors around the cart,-9.438323974609375,-12.563323974609375,-9.194694519042969,-13.944694519042969,-9.313584327697754,-10.938584327697754,-9.076979637145996,-11.951979637145996,128
train,1,The slender monitors around the cart,The slender monitor around the carts,-6.787969589233398,-13.475469589233398,-8.704277992248535,-15.704277992248535,-6.913951396942139,-11.53895092010498,-9.430209159851074,-14.555209159851074,128
train,0,The nervous rat outside the clocks,The nervous rats outside the clock,-11.77917766571045,-13.52917766571045,-10.806437492370605,-13.931437492370605,-11.78234577178955,-12.03234577178955,-10.827319145202637,-12.202319145202637,128
train,1,The nervous rats outside the clock,The nervous rat outside the clocks,-8.801582336425781,-12.176582336425781,-9.280831336975098,-14.780831336975098,-9.550968170166016,-11.425968170166016,-10.281189918518066,-14.281189918518066,128
train,0,The quiet shark past the plants,The quiet sharks past the plant,-18.79628562927246,-20.10878562927246,-19.156972885131836,-21.438222885131836,-19.108741760253906,-19.733741760253906,-19.434345245361328,-20.559345245361328,128
train,1,The quiet sharks past the plant,The quiet shark past the plants,-19.143903732299805,-20.143903732299805,-19.66714859008789,-21.79214859008789,-19.322343826293945,-19.947343826293945,-19.97782325744629,-21.29032325744629,128
train,0,The bright kitten past the signs,The bright kittens past the sign,-10.716832160949707,-12.404332160949707,-10.755253791809082,-14.442753791809082,-10.909566879272461,-11.909566879272461,-10.989151954650879,-13.364151954650879,128
train,1,The bright kittens past the sign,The bright kitten past the signs,-10.194379806518555,-11.569379806518555,-10.337326049804688,-13.212326049804688,-11.047245025634766,-11.297245025634766,-10.83355712890625,-12.70855712890625,128
train,0,The quiet dog around the dams,The quiet dogs around the dam,-11.26548957824707,-13.39048957824707,-12.757923126220703,-15.507923126220703,-11.269454956054688,-12.394454956054688,-12.757672309875488,-14.632672309875488,128
train,1,The quiet dogs around the dam,The quiet dog around the dams,-8.655561447143555,-12.905561447143555,-9.538907051086426,-14.038907051086426,-9.035719871520996,-11.910719871520996,-10.039628028869629,-13.164628028869629,128
train,0,The small frog outside the windows,The small frogs outside the window,-12.171136856079102,-14.233636856079102,-14.797325134277344,-16.047325134277344,-12.375794410705566,-14.375794410705566,-15.017395973205566,-16.142396926879883,128
