hook,layer,tok,unit,attribution
mlp_act,22,5,1172,0.3695570230484009
mlp_act,17,5,2198,0.139643594622612
mlp_act,17,5,1698,0.11349887400865555
mlp_act,22,8,1172,0.074961356818676
mlp_act,22,8,5103,0.0577826164662838
mlp_act,12,5,3782,0.04611882567405701
mlp_act,7,6,3676,0.03353350982069969
mlp_act,22,6,1172,0.03241666406393051
mlp_act,17,8,3154,0.028743335977196693
mlp_act,27,8,1340,0.026258861646056175
mlp_act,2,5,2668,0.024913910776376724
mlp_act,27,8,3309,0.02484099753201008
mlp_act,12,8,3936,0.023426441475749016
mlp_act,22,8,4290,0.022901484742760658
mlp_act,27,8,4987,0.021578319370746613
mlp_act,22,8,3350,0.020802289247512817
mlp_act,2,6,2668,0.0176733136177063
mlp_act,12,8,1753,0.01692771166563034
mlp_act,17,6,3945,0.016771288588643074
mlp_act,27,8,1154,0.01651286520063877
mlp_act,17,8,610,0.01647573709487915
mlp_act,17,5,1258,0.015559423714876175
mlp_act,17,8,5914,0.015395219437777996
mlp_act,27,8,368,0.014190803281962872
mlp_act,7,6,494,0.013470756821334362
mlp_act,7,6,5826,0.012169605121016502
mlp_act,7,5,5826,0.01199557725340128
mlp_act,12,8,4829,0.011931751854717731
mlp_act,7,8,2724,0.011518972925841808
mlp_act,7,5,4590,0.011408518068492413
mlp_act,22,8,5911,0.011162610724568367
mlp_act,17,6,3893,0.01095004752278328
mlp_act,27,8,3387,0.010864190757274628
mlp_act,17,8,3945,0.01018927339464426
mlp_act,17,8,1755,0.009853726252913475
mlp_act,7,6,3907,0.009695138782262802
mlp_act,17,8,2707,0.009610666893422604
mlp_act,7,8,4723,0.009495354257524014
mlp_act,7,8,4590,0.009460052475333214
mlp_act,12,8,1059,0.009434533305466175
mlp_act,7,8,4059,0.009265207685530186
mlp_act,12,6,3782,0.009250734001398087
mlp_act,12,5,4829,0.008740251883864403
mlp_act,22,5,3704,0.008622247725725174
mlp_act,27,8,477,0.008570815436542034
mlp_act,27,8,4485,0.008447443135082722
mlp_act,22,5,3623,0.008404399268329144
mlp_act,17,5,4624,0.00822805892676115
mlp_act,12,8,1894,0.008096868172287941
mlp_act,12,6,2638,0.0076158070005476475
mlp_act,27,8,2350,0.007584571838378906
mlp_act,17,8,740,0.007552158087491989
mlp_act,17,8,820,0.0074550071731209755
mlp_act,17,8,3893,0.007388543337583542
mlp_act,17,8,625,0.007296986412256956
mlp_act,7,7,3676,0.007202462758868933
mlp_act,22,5,5155,0.0071932789869606495
mlp_act,17,6,2198,0.007157077081501484
mlp_act,2,8,5005,0.007155575789511204
mlp_act,12,8,3157,0.007150840479880571
mlp_act,17,8,3371,0.007016848307102919
mlp_act,17,5,5946,0.006993168033659458
mlp_act,12,8,2867,0.006826511584222317
mlp_act,27,8,3782,0.0066912733018398285
mlp_act,17,8,5646,0.00660361535847187
mlp_act,27,8,654,0.0065985689871013165
mlp_act,17,8,6115,0.006307527422904968
mlp_act,27,8,1678,0.006262371316552162
mlp_act,12,5,1273,0.006166988983750343
mlp_act,12,8,2135,0.006141954567283392
mlp_act,2,8,3614,0.006098475772887468
mlp_act,27,8,3746,0.005888083018362522
mlp_act,7,8,1513,0.005853711161762476
mlp_act,17,8,6029,0.005803022067993879
mlp_act,17,8,5167,0.00579061871394515
mlp_act,7,8,1617,0.005783338565379381
mlp_act,2,5,216,0.0057406555861234665
mlp_act,7,8,5826,0.005723842419683933
mlp_act,12,8,47,0.005692047532647848
mlp_act,17,8,1417,0.005686749238520861
mlp_act,2,8,104,0.005510228686034679
mlp_act,17,5,2432,0.00548924133181572
mlp_act,12,5,3630,0.005241475999355316
mlp_act,22,5,3764,0.005185455549508333
mlp_act,12,8,1775,0.005171974655240774
mlp_act,7,6,221,0.005168377421796322
mlp_act,17,8,2134,0.005166376940906048
mlp_act,7,6,901,0.005133735481649637
mlp_act,2,8,2668,0.0051185921765863895
mlp_act,2,5,3614,0.005080495495349169
mlp_act,12,8,2689,0.005073828157037497
mlp_act,17,7,3945,0.005048435181379318
mlp_act,22,5,923,0.005008796229958534
mlp_act,12,6,5133,0.005003170110285282
mlp_act,12,5,4364,0.004904760047793388
