hook,layer,tok,unit,attribution
mlp_act,22,5,1172,0.35343727469444275
mlp_act,17,5,2198,0.12104740738868713
mlp_act,17,5,1698,0.10177330672740936
mlp_act,22,14,1172,0.09887838363647461
mlp_act,12,5,3782,0.04576775059103966
mlp_act,2,5,2668,0.02536805160343647
mlp_act,27,14,4987,0.024908220395445824
mlp_act,22,14,5103,0.024858908727765083
mlp_act,27,14,1340,0.020798610523343086
mlp_act,22,6,1172,0.020058197900652885
mlp_act,2,6,2668,0.018028786405920982
mlp_act,7,6,3676,0.017628876492381096
mlp_act,22,14,3350,0.017248956486582756
mlp_act,17,14,3154,0.016165345907211304
mlp_act,22,11,1172,0.016050783917307854
mlp_act,27,14,2350,0.014084451831877232
mlp_act,17,14,5914,0.013487236574292183
mlp_act,22,8,1172,0.012301492504775524
mlp_act,22,8,5103,0.011988320387899876
mlp_act,27,14,4485,0.01155334897339344
mlp_act,17,5,1258,0.011332971975207329
mlp_act,7,5,4590,0.011312340386211872
mlp_act,17,14,610,0.011244425550103188
mlp_act,27,14,1154,0.011100775562226772
mlp_act,7,5,5826,0.010978532023727894
mlp_act,12,14,3936,0.010570649988949299
mlp_act,27,14,3387,0.010330960154533386
mlp_act,27,14,3309,0.010214454494416714
mlp_act,22,14,4290,0.010143199004232883
mlp_act,12,14,2867,0.010101279243826866
mlp_act,27,14,3782,0.009744947776198387
mlp_act,7,6,3907,0.00973556749522686
mlp_act,22,5,3704,0.00950127188116312
mlp_act,27,14,1227,0.009141181595623493
mlp_act,22,14,2301,0.009039081633090973
mlp_act,17,14,895,0.00902816466987133
mlp_act,27,14,368,0.008942916989326477
mlp_act,22,5,5155,0.008906770497560501
mlp_act,7,14,4723,0.008737112395465374
mlp_act,22,14,5911,0.008720998652279377
mlp_act,17,14,464,0.008438963443040848
mlp_act,17,14,3945,0.008196434006094933
mlp_act,7,6,494,0.00812180619686842
mlp_act,17,5,4624,0.007512005511671305
mlp_act,22,14,3013,0.007404972333461046
mlp_act,7,6,5826,0.007250701542943716
mlp_act,22,5,3623,0.007082052528858185
mlp_act,12,5,4829,0.006946019362658262
mlp_act,12,5,1273,0.006865425035357475
mlp_act,17,14,1921,0.006746914237737656
mlp_act,12,6,3782,0.00671405578032136
mlp_act,17,14,487,0.006396560464054346
mlp_act,17,6,3945,0.006266717333346605
mlp_act,2,5,3614,0.006256688851863146
mlp_act,22,5,3764,0.006195140536874533
mlp_act,17,14,820,0.0061826324090361595
mlp_act,12,14,4829,0.0061321682296693325
mlp_act,17,14,359,0.005807077046483755
mlp_act,22,14,2425,0.005635933950543404
mlp_act,17,5,5946,0.00562256807461381
mlp_act,12,14,1753,0.0056204283609986305
mlp_act,22,11,5103,0.005615535192191601
mlp_act,2,5,216,0.005538931582123041
mlp_act,27,14,1678,0.005500998813658953
mlp_act,27,14,3906,0.005425051786005497
mlp_act,7,5,2866,0.005325598642230034
mlp_act,17,5,2432,0.0052048624493181705
mlp_act,12,14,1894,0.005153329111635685
mlp_act,7,7,3907,0.005142916459590197
mlp_act,12,14,1059,0.005137352272868156
mlp_act,17,14,625,0.0051208497025072575
mlp_act,22,11,2870,0.005062507465481758
mlp_act,17,6,3893,0.005034745670855045
mlp_act,17,14,4098,0.0049073100090026855
mlp_act,27,14,3746,0.0048988801427185535
mlp_act,22,14,2994,0.004837685730308294
mlp_act,22,14,5518,0.004796913359314203
mlp_act,12,8,3936,0.004790413659065962
mlp_act,22,5,3013,0.004733461886644363
mlp_act,12,14,4674,0.004719148855656385
mlp_act,22,14,4606,0.004616793245077133
mlp_act,17,6,2198,0.0046166423708200455
mlp_act,22,5,5899,0.004575712606310844
mlp_act,2,5,1856,0.004544573370367289
mlp_act,7,7,3676,0.004530179779976606
mlp_act,17,5,1232,0.00452068168669939
mlp_act,27,14,1109,0.004512499552220106
mlp_act,7,14,4059,0.004510808270424604
