split,inverse,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,n_nodes
train,0,The sleepy lion beneath the boilers around the tanks outside the pipes,The sleepy lions beneath the boiler around the tank outside the pipe,-5.220255374908447,-8.970255851745605,-7.192773342132568,-6.067773342132568,-6.14369535446167,-7.89369535446167,128
train,1,The sleepy lions beneath the boiler around the tank outside the pipe,The sleepy lion beneath the boilers around the tanks outside the pipes,-6.067773342132568,-7.192773342132568,-8.970255851745605,-5.220255374908447,-5.730330944061279,-6.355330944061279,128
train,0,The sleepy lion past the vines beneath the trenches around the dams,The sleepy lions past the vine beneath the trench around the dam,-8.642250061035156,-9.892250061035156,-9.64588737487793,-8.45838737487793,-8.949315071105957,-9.511815071105957,128
train,1,The sleepy lions past the vine beneath the trench around the dam,The sleepy lion past the vines beneath the trenches around the dams,-8.45838737487793,-9.64588737487793,-9.892250061035156,-8.642250061035156,-8.51828384399414,-9.51828384399414,128
train,0,The quiet horse around the thresholds outside the drums behind the bolts,The quiet horses around the threshold outside the drum behind the bolt,-8.619851112365723,-10.432351112365723,-13.442537307739258,-10.255037307739258,-11.25709056854248,-11.25709056854248,128
train,1,The quiet horses around the threshold outside the drum behind the bolt,The quiet horse around the thresholds outside the drums behind the bolts,-10.255037307739258,-13.442537307739258,-10.432351112365723,-8.619851112365723,-8.0947847366333,-10.2197847366333,128
train,0,The quiet rat behind the rushes past the vines beneath the trenches,The quiet rats behind the rush past the vine beneath the trench,-8.74105167388916,-11.30355167388916,-9.715080261230469,-9.027580261230469,-9.029837608337402,-10.592337608337402,128
train,1,The quiet rats behind the rush past the vine beneath the trench,The quiet rat behind the rushes past the vines beneath the trenches,-9.027580261230469,-9.715080261230469,-11.30355167388916,-8.74105167388916,-9.111153602600098,-8.736153602600098,128
train,0,The slender panda past the crates beneath the barrels around the statues,The slender pandas past the crate beneath the barrel around the statue,-7.361412525177002,-8.736412048339844,-9.999710083007812,-9.124710083007812,-9.280940055847168,-11.530940055847168,128
train,1,The slender pandas past the crate beneath the barrel around the statue,The slender panda past the crates beneath the barrels around the statues,-9.124710083007812,-9.999710083007812,-8.736412048339844,-7.361412525177002,-7.528729438781738,-7.778729438781738,128
train,0,The fuzzy panda outside the cabins behind the signs past the nests,The fuzzy pandas outside the cabin behind the sign past the nest,-14.249485969543457,-15.624485969543457,-18.413442611694336,-16.475942611694336,-16.013408660888672,-17.575908660888672,128
train,1,The fuzzy pandas outside the cabin behind the sign past the nest,The fuzzy panda outside the cabins behind the signs past the nests,-16.475942611694336,-18.413442611694336,-15.624485969543457,-14.249485969543457,-14.253150939941406,-15.503150939941406,128
train,0,The sleepy turtle around the carts outside the benches behind the windows,The sleepy turtles around the cart outside the bench behind the window,-6.297407627105713,-10.234907150268555,-9.569931983947754,-4.507432460784912,-6.987752437591553,-5.737752437591553,128
train,1,The sleepy turtles around the cart outside the bench behind the window,The sleepy turtle around the carts outside the benches behind the windows,-4.507432460784912,-9.569931983947754,-10.234907150268555,-6.297407627105713,-5.260062217712402,-7.260062217712402,128
train,0,The small rabbit around the stools outside the clocks behind the plants,The small rabbits around the stool outside the clock behind the plant,-8.412490844726562,-10.162490844726562,-9.028996467590332,-4.278995990753174,-7.074127674102783,-6.324127674102783,128
train,1,The small rabbits around the stool outside the clock behind the plant,The small rabbit around the stools outside the clocks behind the plants,-4.278995990753174,-9.028996467590332,-10.162490844726562,-8.412490844726562,-7.0428667068481445,-8.792866706848145,128
train,0,The slender turtle around the towers outside the cabins behind the signs,The slender turtles around the tower outside the cabin behind the sign,-7.068602085113525,-9.693601608276367,-9.080270767211914,-4.455270767211914,-7.274146556854248,-6.024146556854248,128
train,1,The slender turtles around the tower outside the cabin behind the sign,The slender turtle around the towers outside the cabins behind the signs,-4.455270767211914,-9.080270767211914,-9.693601608276367,-7.068602085113525,-5.692769527435303,-8.192769050598145,128
train,0,The fuzzy frog behind the plants past the logs beneath the columns,The fuzzy frogs behind the plant past the log beneath the column,-6.273087024688721,-10.273086547851562,-8.346442222595215,-5.596442222595215,-7.177825450897217,-7.427825450897217,128
train,1,The fuzzy frogs behind the plant past the log beneath the column,The fuzzy frog behind the plants past the logs beneath the columns,-5.596442222595215,-8.346442222595215,-10.273086547851562,-6.273087024688721,-7.023318290710449,-7.273318290710449,128
train,0,The bright horse past the boxes beneath the walls around the tables,The bright horses past the box beneath the wall around the table,-9.160362243652344,-10.910362243652344,-10.696905136108398,-8.571905136108398,-9.050983428955078,-9.800983428955078,128
train,1,The bright horses past the box beneath the wall around the table,The bright horse past the boxes beneath the walls around the tables,-8.571905136108398,-10.696905136108398,-10.910362243652344,-9.160362243652344,-9.172398567199707,-9.922398567199707,128
train,0,The quiet cow outside the pipes behind the valves past the cables,The quiet cows outside the pipe behind the valve past the cable,-14.350591659545898,-15.850591659545898,-16.611799240112305,-15.111799240112305,-15.886470794677734,-15.636470794677734,128
train,1,The quiet cows outside the pipe behind the valve past the cable,The quiet cow outside the pipes behind the valves past the cables,-15.111799240112305,-16.611799240112305,-15.850591659545898,-14.350591659545898,-14.691650390625,-15.191650390625,128
