hook,layer,tok,unit,attribution
mlp_act,22,5,1172,0.35093313455581665
mlp_act,17,5,2198,0.11958345025777817
mlp_act,17,5,1698,0.10089493542909622
mlp_act,22,14,1172,0.0997813493013382
mlp_act,12,5,3782,0.045551199465990067
mlp_act,2,5,2668,0.025370048359036446
mlp_act,22,14,5103,0.025176111608743668
mlp_act,27,14,4987,0.02471776120364666
mlp_act,27,14,1340,0.02054620534181595
mlp_act,22,6,1172,0.020065689459443092
mlp_act,2,6,2668,0.017886172980070114
mlp_act,7,6,3676,0.01768435165286064
mlp_act,22,14,3350,0.017426233738660812
mlp_act,17,14,3154,0.016437532380223274
mlp_act,22,11,1172,0.016093682497739792
mlp_act,27,14,2350,0.014172210358083248
mlp_act,17,14,5914,0.013715221546590328
mlp_act,22,8,1172,0.012234484776854515
mlp_act,22,8,5103,0.011925089173018932
mlp_act,27,14,4485,0.011415576562285423
mlp_act,7,5,4590,0.011342285200953484
mlp_act,17,14,610,0.011335594579577446
mlp_act,17,5,1258,0.011117283254861832
mlp_act,7,5,5826,0.010967012494802475
mlp_act,12,14,3936,0.010616905055940151
mlp_act,22,14,4290,0.010178503580391407
mlp_act,27,14,3387,0.010150493122637272
mlp_act,12,14,2867,0.010118093341588974
mlp_act,27,14,1154,0.0100362254306674
mlp_act,7,6,3907,0.009863675571978092
mlp_act,27,14,3309,0.009776243008673191
mlp_act,27,14,3782,0.009763921611011028
mlp_act,22,5,3704,0.009404412470757961
mlp_act,22,14,2301,0.009221527725458145
mlp_act,17,14,895,0.009074373170733452
mlp_act,7,14,4723,0.0088633568957448
mlp_act,22,5,5155,0.008861067704856396
mlp_act,27,14,1227,0.008801142685115337
mlp_act,27,14,368,0.008751176297664642
mlp_act,22,14,5911,0.008643249049782753
mlp_act,7,6,494,0.008257442153990269
mlp_act,17,14,3945,0.008223443292081356
mlp_act,17,14,464,0.008095716126263142
mlp_act,17,5,4624,0.007458147127181292
mlp_act,22,14,3013,0.007412464823573828
mlp_act,7,6,5826,0.007197943050414324
mlp_act,22,5,3623,0.007069366052746773
mlp_act,12,5,4829,0.006930017843842506
mlp_act,17,14,1921,0.0068316152319312096
mlp_act,12,5,1273,0.0068284738808870316
mlp_act,12,6,3782,0.0067726019769907
mlp_act,17,14,820,0.006287862546741962
mlp_act,2,5,3614,0.006266700569540262
mlp_act,17,6,3945,0.006264345720410347
mlp_act,17,14,487,0.006233615800738335
mlp_act,12,14,4829,0.006155503448098898
mlp_act,22,5,3764,0.006080572493374348
mlp_act,17,14,359,0.005785655230283737
mlp_act,17,5,5946,0.005695778410881758
mlp_act,22,11,5103,0.00567663973197341
mlp_act,22,14,2425,0.005652422551065683
mlp_act,2,5,216,0.005636420100927353
mlp_act,12,14,1753,0.005631960462778807
mlp_act,27,14,1678,0.005443996284157038
mlp_act,27,14,3906,0.0054217916913330555
mlp_act,7,5,2866,0.005249057896435261
mlp_act,7,7,3907,0.005222210194915533
mlp_act,12,14,1894,0.005200175568461418
mlp_act,17,14,625,0.005184746813029051
mlp_act,17,5,2432,0.005152924917638302
mlp_act,12,14,1059,0.005130735691636801
mlp_act,22,11,2870,0.005096483509987593
mlp_act,17,6,3893,0.005013255402445793
mlp_act,27,14,3746,0.004867359530180693
mlp_act,22,14,2994,0.004842035938054323
mlp_act,17,14,4098,0.004835810977965593
mlp_act,12,8,3936,0.004827877040952444
mlp_act,22,14,5518,0.004813800100237131
mlp_act,22,5,3013,0.00469529302790761
mlp_act,12,14,4674,0.004641200881451368
mlp_act,17,6,2198,0.004628157243132591
mlp_act,22,14,4606,0.004611034411936998
mlp_act,7,7,3676,0.004568186122924089
mlp_act,2,5,1856,0.004567290656268597
mlp_act,27,14,191,0.004560097586363554
mlp_act,7,14,4059,0.0045501068234443665
mlp_act,17,14,1755,0.00453580915927887
mlp_act,27,14,1109,0.004530182108283043
mlp_act,22,5,5899,0.004515531472861767
mlp_act,17,5,1232,0.004483145195990801
mlp_act,22,8,4290,0.004475242458283901
mlp_act,17,14,4674,0.0044346759095788
mlp_act,12,5,3630,0.004392447881400585
mlp_act,22,14,1986,0.00435944739729166
mlp_act,2,6,5997,0.004315691534429789
mlp_act,22,14,5801,0.004269495140761137
mlp_act,27,14,5632,0.004098666366189718
mlp_act,22,11,4290,0.004092003684490919
mlp_act,27,14,4478,0.004084851127117872
mlp_act,22,14,5727,0.004069013986736536
mlp_act,7,6,901,0.004049156326800585
mlp_act,12,5,5133,0.004017153289169073
mlp_act,22,5,923,0.004016218241304159
mlp_act,12,8,1753,0.003986216615885496
mlp_act,27,14,2773,0.003969688434153795
mlp_act,17,14,6029,0.00395567249506712
mlp_act,22,14,4046,0.00392499752342701
mlp_act,22,14,3627,0.0039133657701313496
mlp_act,22,14,2844,0.00387236918322742
mlp_act,7,6,4590,0.003866777056828141
mlp_act,17,14,1733,0.0038387596141546965
mlp_act,17,14,935,0.0038329875096678734
mlp_act,12,5,4364,0.003806701861321926
mlp_act,17,5,1906,0.003741636872291565
mlp_act,17,14,2707,0.003718599211424589
mlp_act,17,8,3154,0.0036936290562152863
mlp_act,12,6,2638,0.0036540254950523376
mlp_act,27,14,477,0.0036246536765247583
mlp_act,12,5,906,0.0035639586858451366
mlp_act,27,14,450,0.0035220985300838947
mlp_act,22,14,4054,0.0034470688551664352
mlp_act,7,6,1617,0.0034300717525184155
mlp_act,27,14,1064,0.0034241836983710527
mlp_act,12,6,2867,0.0034098646137863398
mlp_act,22,14,979,0.0033291783183813095
mlp_act,2,6,970,0.0033266013488173485
mlp_act,12,6,4848,0.0033089614007622004
mlp_act,22,14,3796,0.0033069285564124584
