split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,10,1,The nervous shark around the thresholds outside the drums,The nervous sharks around the threshold outside the drum,-14.278133392333984,-15.028133392333984,-16.169279098510742,-15.231779098510742,-16.31993865966797,-15.538687705993652,
train,0,10,1,The slender cow outside the piles behind the rushes,The slender cows outside the pile behind the rush,-16.589570999145508,-18.464570999145508,-15.642770767211914,-14.017770767211914,-15.355923652648926,-13.855923652648926,
train,0,10,1,The bright chick past the nests beneath the milestones,The bright chicks past the nest beneath the milestone,-20.297834396362305,-21.610334396362305,-21.734256744384766,-21.078006744384766,-21.507524490356445,-20.913774490356445,
train,0,10,1,The fuzzy whale behind the plants past the logs,The fuzzy whales behind the plant past the log,-1.7592175006866455,-7.509217739105225,-3.2296462059020996,-3.1046462059020996,-3.3639533519744873,-4.613953590393066,
train,0,10,1,The fuzzy turtle outside the drums behind the bolts,The fuzzy turtles outside the drum behind the bolt,-2.3324427604675293,-6.082442760467529,-3.6470649242401123,-1.5220649242401123,-4.27139949798584,-2.39639949798584,
train,0,10,1,The quiet panda past the screws beneath the boilers,The quiet pandas past the screw beneath the boiler,-0.772295355796814,-8.022294998168945,-2.615051031112671,-1.740051031112671,-2.838751792907715,-1.8387517929077148,
train,0,10,1,The fuzzy lion outside the pots behind the pans,The fuzzy lions outside the pot behind the pan,-1.7964431047439575,-7.921442985534668,-1.9399023056030273,-1.6899023056030273,-2.3694937229156494,-1.8694937229156494,
train,0,10,1,The slender kitten behind the houses past the rocks,The slender kittens behind the house past the rock,-2.5667245388031006,-8.06672477722168,-5.952363014221191,-1.7023627758026123,-6.175081253051758,-2.175081253051758,
train,0,10,1,The calm horse around the belts outside the piles,The calm horses around the belt outside the pile,-13.483247756958008,-16.545747756958008,-13.074033737182617,-11.386533737182617,-13.166548728942871,-11.604048728942871,
train,0,10,1,The sleepy rat around the towers outside the cabins,The sleepy rats around the tower outside the cabin,-1.6403359174728394,-6.890336036682129,-6.165809631347656,-1.7908096313476562,-6.250526428222656,-1.8755266666412354,
train,0,10,1,The slender whale past the logs beneath the columns,The slender whales past the log beneath the column,-12.627092361450195,-14.752092361450195,-14.710249900817871,-13.147749900817871,-15.785162925720215,-14.285162925720215,
train,0,10,1,The bright horse beneath the trenches around the dams,The bright horses beneath the trench around the dam,-1.9785337448120117,-6.728533744812012,-3.468071937561035,-1.4680720567703247,-3.5919923782348633,-1.5919923782348633,
train,0,10,1,The bright turtle beneath the barrels around the statues,The bright turtles beneath the barrel around the statue,-2.612377166748047,-6.612377166748047,-4.634260177612305,-3.3842601776123047,-4.765192985534668,-3.640193223953247,
train,0,10,1,The bright dog around the tables outside the houses,The bright dogs around the table outside the house,-12.965578079223633,-15.278078079223633,-15.5061674118042,-11.7561674118042,-15.426902770996094,-11.801902770996094,
train,0,10,1,The calm cock around the walls outside the tables,The calm cocks around the wall outside the table,-3.3430638313293457,-3.9680638313293457,-3.9041965007781982,-2.6541965007781982,-4.002788066864014,-2.8777880668640137,
train,0,10,1,The sleepy dolphin beneath the boilers around the tanks,The sleepy dolphins beneath the boiler around the tank,-3.2149407863616943,-7.589940547943115,-4.565440654754639,-3.1904406547546387,-4.316547393798828,-3.316547155380249,
