split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,13,1,The calm pup around the belts outside the piles behind the rushes,The calm pups around the belt outside the pile behind the rush,-16.665502548217773,-19.040502548217773,-18.33375358581543,-18.02125358581543,-18.371829986572266,-18.090579986572266,
train,1,13,1,The calm pups around the belt outside the pile behind the rush,The calm pup around the belts outside the piles behind the rushes,-18.02125358581543,-18.33375358581543,-19.040502548217773,-16.665502548217773,-19.089130401611328,-16.714130401611328,
train,0,13,1,The slender cow outside the piles behind the rushes past the vines,The slender cows outside the pile behind the rush past the vine,-19.208969116210938,-19.521469116210938,-17.365074157714844,-15.427574157714844,-17.460979461669922,-15.460979461669922,
train,1,13,1,The slender cows outside the pile behind the rush past the vine,The slender cow outside the piles behind the rushes past the vines,-15.427574157714844,-17.365074157714844,-19.521469116210938,-19.208969116210938,-19.45941734313965,-19.20941734313965,
train,0,13,1,The quiet panda past the screws beneath the boilers around the tanks,The quiet pandas past the screw beneath the boiler around the tank,-1.880578875541687,-8.505578994750977,-4.811612129211426,-4.186612129211426,-4.648305416107178,-3.7733054161071777,
train,1,13,1,The quiet pandas past the screw beneath the boiler around the tank,The quiet panda past the screws beneath the boilers around the tanks,-4.186612129211426,-4.811612129211426,-8.505578994750977,-1.880578875541687,-8.444872856140137,-2.0698728561401367,
train,0,13,1,The fuzzy lion outside the pots behind the pans past the cars,The fuzzy lions outside the pot behind the pan past the car,-2.5644707679748535,-8.939470291137695,-2.5710620880126953,-1.6960620880126953,-2.4987096786499023,-1.748709797859192,
train,1,13,1,The fuzzy lions outside the pot behind the pan past the car,The fuzzy lion outside the pots behind the pans past the cars,-1.6960620880126953,-2.5710620880126953,-8.939470291137695,-2.5644707679748535,-8.903925895690918,-2.528926134109497,
train,0,13,1,The slender kitten behind the houses past the rocks beneath the chairs,The slender kittens behind the house past the rock beneath the chair,-2.825798511505127,-7.700798511505127,-4.724793434143066,-1.7247936725616455,-4.730630397796631,-1.7306303977966309,
train,1,13,1,The slender kittens behind the house past the rock beneath the chair,The slender kitten behind the houses past the rocks beneath the chairs,-1.7247936725616455,-4.724793434143066,-7.700798511505127,-2.825798511505127,-7.716121196746826,-2.841121196746826,
train,0,13,1,The sleepy rat around the towers outside the cabins behind the signs,The sleepy rats around the tower outside the cabin behind the sign,-3.9478752613067627,-6.572875022888184,-5.640172004699707,-4.640172004699707,-5.7038469314575195,-4.8288469314575195,
train,1,13,1,The sleepy rats around the tower outside the cabin behind the sign,The sleepy rat around the towers outside the cabins behind the signs,-4.640172004699707,-5.640172004699707,-6.572875022888184,-3.9478752613067627,-6.66874885559082,-3.9187490940093994,
