split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,4,1,The timid cow,The timid cows,-13.6685152053833,-15.0435152053833,-17.465898513793945,-12.153399467468262,-17.465898513793945,-12.153399467468262,
train,1,4,1,The timid cows,The timid cow,-12.153399467468262,-17.465898513793945,-15.0435152053833,-13.6685152053833,-15.0435152053833,-13.6685152053833,
train,0,4,1,The small dog,The small dogs,-1.7666435241699219,-9.766643524169922,-8.253924369812012,-2.87892484664917,-8.253924369812012,-2.87892484664917,
train,1,4,1,The small dogs,The small dog,-2.87892484664917,-8.253924369812012,-9.766643524169922,-1.7666435241699219,-9.766643524169922,-1.7666435241699219,
train,0,4,1,The calm doe,The calm does,-5.337797164916992,-10.900297164916992,-17.638931274414062,-14.576431274414062,-17.638931274414062,-14.576431274414062,
train,1,4,1,The calm does,The calm doe,-14.576431274414062,-17.638931274414062,-10.900297164916992,-5.337797164916992,-10.900297164916992,-5.337797164916992,
train,0,4,1,The timid doe,The timid does,-7.089664936065674,-12.214664459228516,-20.20348358154297,-17.45348358154297,-20.20348358154297,-17.45348358154297,
train,1,4,1,The timid does,The timid doe,-17.45348358154297,-20.20348358154297,-12.214664459228516,-7.089664936065674,-12.214664459228516,-7.089664936065674,
train,0,4,1,The nervous bat,The nervous bats,-13.632380485534668,-14.194880485534668,-13.734314918518066,-11.921814918518066,-13.734314918518066,-11.921814918518066,
train,1,4,1,The nervous bats,The nervous bat,-11.921814918518066,-13.734314918518066,-14.194880485534668,-13.632380485534668,-14.194880485534668,-13.632380485534668,
train,0,4,1,The small doe,The small does,-11.29165267944336,-13.91665267944336,-16.767467498779297,-14.392467498779297,-16.767467498779297,-14.392467498779297,
train,1,4,1,The small does,The small doe,-14.392467498779297,-16.767467498779297,-13.91665267944336,-11.29165267944336,-13.91665267944336,-11.29165267944336,
train,0,4,1,The sleepy pup,The sleepy pups,-13.340903282165527,-16.65340232849121,-18.9746036529541,-13.099603652954102,-18.9746036529541,-13.099603652954102,
train,1,4,1,The sleepy pups,The sleepy pup,-13.099603652954102,-18.9746036529541,-16.65340232849121,-13.340903282165527,-16.65340232849121,-13.340903282165527,
train,0,4,1,The bright frog,The bright frogs,-14.223770141601562,-17.723770141601562,-17.54999542236328,-14.487496376037598,-17.54999542236328,-14.487496376037598,
train,1,4,1,The bright frogs,The bright frog,-14.487496376037598,-17.54999542236328,-17.723770141601562,-14.223770141601562,-17.723770141601562,-14.223770141601562,
train,0,4,1,The sleepy panda,The sleepy pandas,-10.500761985778809,-16.063261032104492,-13.172165870666504,-9.984665870666504,-13.172165870666504,-9.984665870666504,
train,1,4,1,The sleepy pandas,The sleepy panda,-9.984665870666504,-13.172165870666504,-16.063261032104492,-10.500761985778809,-16.063261032104492,-10.500761985778809,
train,0,4,1,The fuzzy horse,The fuzzy horses,-0.8613783717155457,-8.98637866973877,-4.951733589172363,-1.0767334699630737,-4.951733589172363,-1.0767334699630737,
train,1,4,1,The fuzzy horses,The fuzzy horse,-1.0767334699630737,-4.951733589172363,-8.98637866973877,-0.8613783717155457,-8.98637866973877,-0.8613783717155457,
train,0,4,1,The fuzzy cock,The fuzzy cocks,-7.981237888336182,-15.168737411499023,-3.5862255096435547,-2.4612255096435547,-3.5862255096435547,-2.4612255096435547,
train,1,4,1,The fuzzy cocks,The fuzzy cock,-2.4612255096435547,-3.5862255096435547,-15.168737411499023,-7.981237888336182,-15.168737411499023,-7.981237888336182,
