split,inverse,eval_input,counterfactual_input,clean_logp_A,clean_logp_B,complement_ablation_logp_A,complement_ablation_logp_B,circuit_ablation_logp_A,circuit_ablation_logp_B,all_ablation_logp_A,all_ablation_logp_B,n_nodes
train,0,The timid dolphin outside the pipes behind the valves,The timid dolphins outside the pipe behind the valve,-1.0497727394104004,-7.1747727394104,-0.9593600630760193,-7.209360122680664,-1.1248348951339722,-5.374835014343262,-0.998105525970459,-5.498105525970459,128
train,1,The timid dolphins outside the pipe behind the valve,The timid dolphin outside the pipes behind the valves,-0.7833808660507202,-4.40838098526001,-1.0823084115982056,-4.582308292388916,-1.0180957317352295,-3.0180957317352295,-1.1991654634475708,-3.3241653442382812,128
train,0,The nervous rat outside the clocks behind the plants,The nervous rats outside the clock behind the plant,-2.875000476837158,-6.375000476837158,-1.9859265089035034,-6.610926628112793,-3.060128927230835,-5.560129165649414,-2.2223105430603027,-5.347310543060303,128
train,1,The nervous rats outside the clock behind the plant,The nervous rat outside the clocks behind the plants,-2.6861419677734375,-3.4361419677734375,-2.4418439865112305,-4.0668439865112305,-3.2093191146850586,-2.9593191146850586,-2.7787978649139404,-3.5287978649139404,128
train,0,The sleepy whale behind the pans past the cars,The sleepy whales behind the pan past the car,-14.02241325378418,-15.33491325378418,-13.93001651763916,-15.74251651763916,-14.202471733093262,-15.139971733093262,-14.057036399841309,-15.557036399841309,128
train,1,The sleepy whales behind the pan past the car,The sleepy whale behind the pans past the cars,-15.772724151611328,-17.553974151611328,-14.020861625671387,-16.583362579345703,-15.802884101867676,-17.24038314819336,-14.034729957580566,-16.159730911254883,128
train,0,The small cow behind the houses past the rocks,The small cows behind the house past the rock,-15.51819133758545,-18.455690383911133,-15.310235023498535,-18.62273406982422,-15.879854202270508,-17.879854202270508,-15.371736526489258,-17.996736526489258,128
train,1,The small cows behind the house past the rock,The small cow behind the houses past the rocks,-16.571861267089844,-17.571861267089844,-16.28777503967285,-17.85027503967285,-16.807571411132812,-16.932571411132812,-16.476186752319336,-17.163686752319336,128
train,0,The small shark outside the benches behind the windows,The small sharks outside the bench behind the window,-0.9535017013549805,-4.9535017013549805,-0.8512037992477417,-5.726203918457031,-1.2189319133758545,-3.4689319133758545,-0.9963485598564148,-4.1213483810424805,128
train,1,The small sharks outside the bench behind the window,The small shark outside the benches behind the windows,-0.7190253734588623,-4.344025611877441,-0.8360228538513184,-5.211022853851318,-0.9410568475723267,-3.191056728363037,-0.9038746356964111,-4.278874397277832,128
