split,inverse,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,n_nodes
train,0,The timid dolphin outside the pipes behind the valves,The timid dolphins outside the pipe behind the valve,-1.049328088760376,-7.174327850341797,-4.408034324645996,-0.783034086227417,-1.6412564516067505,-1.7662564516067505,128
train,1,The timid dolphins outside the pipe behind the valve,The timid dolphin outside the pipes behind the valves,-0.783034086227417,-4.408034324645996,-7.174327850341797,-1.049328088760376,-2.8130340576171875,-1.563034176826477,128
train,0,The nervous rat outside the clocks behind the plants,The nervous rats outside the clock behind the plant,-2.8728325366973877,-6.372832298278809,-3.4326815605163574,-2.6826815605163574,-2.4167871475219727,-4.166787147521973,128
train,1,The nervous rats outside the clock behind the plant,The nervous rat outside the clocks behind the plants,-2.6826815605163574,-3.4326815605163574,-6.372832298278809,-2.8728325366973877,-4.319807052612305,-3.3198070526123047,128
train,0,The sleepy whale behind the pans past the cars,The sleepy whales behind the pan past the car,-14.02459716796875,-15.33709716796875,-17.5878849029541,-15.806635856628418,-16.691099166870117,-15.8785982131958,128
train,1,The sleepy whales behind the pan past the car,The sleepy whale behind the pans past the cars,-15.806635856628418,-17.5878849029541,-15.33709716796875,-14.02459716796875,-14.648542404174805,-14.398542404174805,128
train,0,The small cow behind the houses past the rocks,The small cows behind the house past the rock,-15.518298149108887,-18.455799102783203,-17.57183265686035,-16.57183265686035,-16.094890594482422,-17.032390594482422,128
train,1,The small cows behind the house past the rock,The small cow behind the houses past the rocks,-16.57183265686035,-17.57183265686035,-18.455799102783203,-15.518298149108887,-16.48586654663086,-16.54836654663086,128
train,0,The small shark outside the benches behind the windows,The small sharks outside the bench behind the window,-0.951336145401001,-4.951335906982422,-4.343718528747559,-0.7187182903289795,-1.9788709878921509,-1.2288709878921509,128
train,1,The small sharks outside the bench behind the window,The small shark outside the benches behind the windows,-0.7187182903289795,-4.343718528747559,-4.951335906982422,-0.951336145401001,-1.6582915782928467,-2.0332915782928467,128
train,0,The calm rabbit past the logs beneath the columns,The calm rabbits past the log beneath the column,-3.5974297523498535,-9.222430229187012,-3.6492345333099365,-3.1492345333099365,-2.4433555603027344,-4.568355560302734,128
train,1,The calm rabbits past the log beneath the column,The calm rabbit past the logs beneath the columns,-3.1492345333099365,-3.6492345333099365,-9.222430229187012,-3.5974297523498535,-6.368378639221191,-3.8683788776397705,128
train,0,The small panda outside the stools behind the clocks,The small pandas outside the stool behind the clock,-13.071173667907715,-14.321173667907715,-14.561960220336914,-12.311960220336914,-13.389163970947266,-12.951663970947266,128
train,1,The small pandas outside the stool behind the clock,The small panda outside the stools behind the clocks,-12.311960220336914,-14.561960220336914,-14.321173667907715,-13.071173667907715,-12.670574188232422,-14.108074188232422,128
train,0,The sleepy rabbit beneath the milestones around the thresholds,The sleepy rabbits beneath the milestone around the threshold,-12.690457344055176,-14.190457344055176,-14.203431129455566,-11.328431129455566,-12.901972770690918,-12.464472770690918,128
train,1,The sleepy rabbits beneath the milestone around the threshold,The sleepy rabbit beneath the milestones around the thresholds,-11.328431129455566,-14.203431129455566,-14.190457344055176,-12.690457344055176,-12.889908790588379,-13.202408790588379,128
train,0,The timid chick around the benches outside the windows,The timid chicks around the bench outside the window,-15.716161727905273,-17.278661727905273,-18.03901481628418,-15.28901481628418,-16.625444412231445,-15.437944412231445,128
train,1,The timid chicks around the bench outside the window,The timid chick around the benches outside the windows,-15.28901481628418,-18.03901481628418,-17.278661727905273,-15.716161727905273,-16.69140625,-16.25390625,128
train,0,The calm kitten beneath the milestones around the thresholds,The calm kittens beneath the milestone around the threshold,-3.32806658744812,-7.328066825866699,-4.869012355804443,-4.119012355804443,-3.7968783378601074,-5.171878337860107,128
train,1,The calm kittens beneath the milestone around the threshold,The calm kitten beneath the milestones around the thresholds,-4.119012355804443,-4.869012355804443,-7.328066825866699,-3.32806658744812,-5.312967300415039,-3.812967538833618,128
train,0,The small dolphin around the towers outside the cabins,The small dolphins around the tower outside the cabin,-8.769499778747559,-11.269499778747559,-12.707582473754883,-10.207582473754883,-11.028389930725098,-10.528389930725098,128
train,1,The small dolphins around the tower outside the cabin,The small dolphin around the towers outside the cabins,-10.207582473754883,-12.707582473754883,-11.269499778747559,-8.769499778747559,-9.703269958496094,-10.453269958496094,128
