split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,10,1,The nervous shark around the thresholds outside the drums,The nervous sharks around the threshold outside the drum,-13.577938079833984,-14.327938079833984,-16.162790298461914,-15.22529125213623,-16.307743072509766,-15.526494026184082,
train,0,10,1,The slender cow outside the piles behind the rushes,The slender cows outside the pile behind the rush,-16.465030670166016,-18.340030670166016,-15.578848838806152,-13.953848838806152,-15.273714065551758,-13.773714065551758,
train,0,10,1,The bright chick past the nests beneath the milestones,The bright chicks past the nest beneath the milestone,-20.062759399414062,-21.375259399414062,-21.61262321472168,-20.95637321472168,-21.351036071777344,-20.757286071777344,
train,0,10,1,The fuzzy whale behind the plants past the logs,The fuzzy whales behind the plant past the log,-1.6468751430511475,-7.396875381469727,-3.0375161170959473,-2.9125161170959473,-3.1191043853759766,-4.369104385375977,
train,0,10,1,The fuzzy turtle outside the drums behind the bolts,The fuzzy turtles outside the drum behind the bolt,-1.7316235303878784,-5.481623649597168,-3.6013741493225098,-1.4763740301132202,-4.125143051147461,-2.250143051147461,
train,0,10,1,The quiet panda past the screws beneath the boilers,The quiet pandas past the screw beneath the boiler,-0.585907518863678,-7.835907459259033,-2.5284643173217773,-1.6534641981124878,-2.6916756629943848,-1.6916757822036743,
train,0,10,1,The fuzzy lion outside the pots behind the pans,The fuzzy lions outside the pot behind the pan,-1.17765212059021,-7.302652359008789,-1.432922601699829,-1.182922601699829,-1.5726691484451294,-1.0726691484451294,
train,0,10,1,The slender kitten behind the houses past the rocks,The slender kittens behind the house past the rock,-2.0645322799682617,-7.564532279968262,-5.926673412322998,-1.6766732931137085,-6.144928455352783,-2.144928455352783,
train,0,10,1,The calm horse around the belts outside the piles,The calm horses around the belt outside the pile,-13.279476165771484,-16.341976165771484,-13.027572631835938,-11.340072631835938,-13.127450942993164,-11.564950942993164,
train,0,10,1,The sleepy rat around the towers outside the cabins,The sleepy rats around the tower outside the cabin,-1.349428653717041,-6.599428653717041,-6.088147163391113,-1.7131472826004028,-6.147643566131592,-1.7726435661315918,
train,0,10,1,The slender whale past the logs beneath the columns,The slender whales past the log beneath the column,-12.413124084472656,-14.538124084472656,-14.641219139099121,-13.078719139099121,-15.741752624511719,-14.241752624511719,
train,0,10,1,The bright horse beneath the trenches around the dams,The bright horses beneath the trench around the dam,-1.7531204223632812,-6.503120422363281,-3.4563989639282227,-1.4563990831375122,-3.584115505218506,-1.5841156244277954,
train,0,10,1,The bright turtle beneath the barrels around the statues,The bright turtles beneath the barrel around the statue,-2.2105095386505127,-6.210509300231934,-4.527342796325684,-3.2773427963256836,-4.678199291229248,-3.553199529647827,
train,0,10,1,The bright dog around the tables outside the houses,The bright dogs around the table outside the house,-12.70047664642334,-15.01297664642334,-15.457422256469727,-11.707422256469727,-15.364566802978516,-11.739566802978516,
train,0,10,1,The calm cock around the walls outside the tables,The calm cocks around the wall outside the table,-2.7652103900909424,-3.3902103900909424,-3.8369147777557373,-2.5869147777557373,-3.9428791999816895,-2.8178791999816895,
train,0,10,1,The sleepy dolphin beneath the boilers around the tanks,The sleepy dolphins beneath the boiler around the tank,-2.392904281616211,-6.767904281616211,-4.44003963470459,-3.065039873123169,-4.220333099365234,-3.2203330993652344,
train,0,10,1,The slender dolphin outside the drums behind the bolts,The slender dolphins outside the drum behind the bolt,-1.3763751983642578,-5.501375198364258,-4.110278606414795,-2.110278606414795,-4.8193888664245605,-3.4443886280059814,
train,0,10,1,The quiet dolphin past the screws beneath the boilers,The quiet dolphins past the screw beneath the boiler,-1.188356637954712,-7.938356399536133,-3.3584372997283936,-2.8584372997283936,-3.8837077617645264,-3.6337077617645264,
train,0,10,1,The timid pup past the screws beneath the boilers,The timid pups past the screw beneath the boiler,-12.223215103149414,-15.598215103149414,-12.79487419128418,-10.54487419128418,-13.075501441955566,-10.700501441955566,
train,0,10,1,The slender shark outside the pots behind the pans,The slender sharks outside the pot behind the pan,-0.6740669012069702,-6.92406702041626,-1.8145376443862915,-0.6895376443862915,-1.8207803964614868,-0.8207803964614868,
train,0,10,1,The sleepy whale behind the pans past the cars,The sleepy whales behind the pan past the car,-14.021549224853516,-15.334049224853516,-17.552980422973633,-15.771730422973633,-16.302852630615234,-14.084102630615234,
train,0,10,1,The slender panda outside the drums behind the bolts,The slender pandas outside the drum behind the bolt,-1.4568601846694946,-5.081860065460205,-3.683356285095215,-1.5583562850952148,-4.064291000366211,-2.439291000366211,
