split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,13,1,The calm pup around the belts outside the piles behind the rushes,The calm pups around the belt outside the pile behind the rush,-15.845531463623047,-18.283031463623047,-17.340524673461914,-17.028024673461914,-15.400016784667969,-15.712516784667969,
train,0,13,1,The slender cow outside the piles behind the rushes past the vines,The slender cows outside the pile behind the rush past the vine,-19.21367073059082,-19.40117073059082,-17.283512115478516,-15.346012115478516,-15.186440467834473,-14.123940467834473,
train,0,13,1,The quiet panda past the screws beneath the boilers around the tanks,The quiet pandas past the screw beneath the boiler around the tank,-1.6677621603012085,-8.29276180267334,-4.582342147827148,-4.082342147827148,-4.5788893699646,-5.5788893699646,
train,0,13,1,The fuzzy lion outside the pots behind the pans past the cars,The fuzzy lions outside the pot behind the pan past the car,-1.4395052194595337,-7.689505100250244,-2.519242763519287,-1.644242763519287,-2.1472201347351074,-2.0222201347351074,
train,0,13,1,The slender kitten behind the houses past the rocks beneath the chairs,The slender kittens behind the house past the rock beneath the chair,-1.9121809005737305,-6.9121809005737305,-4.277656555175781,-1.4026567935943604,-3.993511199951172,-1.6185113191604614,
train,0,13,1,The sleepy rat around the towers outside the cabins behind the signs,The sleepy rats around the tower outside the cabin behind the sign,-2.907677412033081,-5.53267765045166,-5.517183303833008,-4.517183303833008,-5.525487422943115,-4.400487422943115,
train,0,13,1,The slender whale past the logs beneath the columns around the towers,The slender whales past the log beneath the column around the tower,-13.55546760559082,-15.24296760559082,-14.5984468460083,-12.0984468460083,-14.06714153289795,-12.12964153289795,
train,0,13,1,The small dolphin beneath the boilers around the tanks outside the pipes,The small dolphins beneath the boiler around the tank outside the pipe,-12.737910270690918,-13.800410270690918,-13.020686149597168,-12.020686149597168,-12.109504699707031,-12.109504699707031,
train,0,13,1,The sleepy dolphin beneath the boilers around the tanks outside the pipes,The sleepy dolphins beneath the boiler around the tank outside the pipe,-2.643953800201416,-7.018953800201416,-3.8753108978271484,-3.6253108978271484,-3.7470345497131348,-4.622034549713135,
train,0,13,1,The nervous lion behind the rocks past the chairs beneath the carts,The nervous lions behind the rock past the chair beneath the cart,-19.18090057373047,-20.18090057373047,-23.560731887817383,-21.123231887817383,-20.742835998535156,-20.133460998535156,
train,0,13,1,The timid pup past the screws beneath the boilers around the tanks,The timid pups past the screw beneath the boiler around the tank,-15.710556030273438,-16.835556030273438,-15.884994506835938,-14.072494506835938,-14.455439567565918,-13.767939567565918,
train,0,13,1,The slender shark outside the pots behind the pans past the cars,The slender sharks outside the pot behind the pan past the car,-1.1672860383987427,-7.667285919189453,-2.861886501312256,-1.7368866205215454,-2.3225202560424805,-2.4475202560424805,
train,0,13,1,The timid rat outside the pipes behind the valves past the cables,The timid rats outside the pipe behind the valve past the cable,-3.044663429260254,-8.419663429260254,-5.002048015594482,-3.0020480155944824,-4.715404510498047,-4.090404510498047,
train,0,13,1,The fuzzy kit beneath the trenches around the dams outside the pots,The fuzzy kits beneath the trench around the dam outside the pot,-14.585831642150879,-15.898331642150879,-14.612090110778809,-12.924590110778809,-13.332087516784668,-13.457087516784668,
train,0,13,1,The sleepy lion outside the windows behind the crates past the barrels,The sleepy lions outside the window behind the crate past the barrel,-2.1368765830993652,-8.011877059936523,-3.8165512084960938,-2.6915512084960938,-3.396620988845825,-3.271620988845825,
train,0,13,1,The sleepy kitten outside the pots behind the pans past the cars,The sleepy kittens outside the pot behind the pan past the car,-2.34712553024292,-8.722126007080078,-4.468006134033203,-2.718006134033203,-3.7968850135803223,-2.5468850135803223,
train,0,13,1,The calm panda past the rocks beneath the chairs around the carts,The calm pandas past the rock beneath the chair around the cart,-3.648775577545166,-7.398775577545166,-4.779951572418213,-3.529951572418213,-4.7547760009765625,-5.2547760009765625,
train,0,13,1,The timid cow beneath the columns around the towers outside the cabins,The timid cows beneath the column around the tower outside the cabin,-1.678376317024231,-7.178376197814941,-4.413033962249756,-1.5380340814590454,-4.202731132507324,-2.2027313709259033,
train,0,13,1,The small dolphin past the logs beneath the columns around the towers,The small dolphins past the log beneath the column around the tower,-4.5726318359375,-9.5726318359375,-7.2689313888549805,-6.2689313888549805,-7.001609802246094,-7.251609802246094,
train,0,13,1,The quiet pup around the thresholds outside the drums behind the bolts,The quiet pups around the threshold outside the drum behind the bolt,-4.6788835525512695,-7.8038835525512695,-6.467136383056641,-4.717136383056641,-7.141077518463135,-6.141077518463135,
train,0,13,1,The sleepy panda around the towers outside the cabins behind the signs,The sleepy pandas around the tower outside the cabin behind the sign,-2.50972056388855,-4.884720802307129,-4.699156284332275,-3.0741562843322754,-5.066594123840332,-3.566594123840332,
train,0,13,1,The fuzzy turtle outside the cabins behind the signs past the nests,The fuzzy turtles outside the cabin behind the sign past the nest,-13.20307445526123,-14.51557445526123,-15.938764572143555,-14.126264572143555,-14.056638717651367,-13.181638717651367,
train,0,13,1,The small cow outside the houses behind the rocks past the chairs,The small cows outside the house behind the rock past the chair,-1.0563488006591797,-5.68134880065918,-2.5398998260498047,-0.9148997664451599,-2.2155637741088867,-1.4655636548995972,
train,0,13,1,The calm dolphin beneath the trenches around the dams outside the pots,The calm dolphins beneath the trench around the dam outside the pot,-3.229969024658203,-6.979969024658203,-4.659936904907227,-3.2849366664886475,-4.403792381286621,-3.903792381286621,
train,0,13,1,The timid panda outside the pipes behind the valves past the cables,The timid pandas outside the pipe behind the valve past the cable,-1.8944406509399414,-7.019440650939941,-3.687058925628662,-1.937058925628662,-3.9491474628448486,-3.1991474628448486,
train,0,13,1,The timid dog around the thresholds outside the drums behind the bolts,The timid dogs around the threshold outside the drum behind the bolt,-5.215692520141602,-7.590692520141602,-6.6339592933654785,-4.8839592933654785,-7.036354064941406,-5.911354064941406,
train,0,13,1,The timid whale around the thresholds outside the drums behind the bolts,The timid whales around the threshold outside the drum behind the bolt,-6.415610313415527,-8.290610313415527,-6.2819952964782715,-6.0319952964782715,-7.559056282043457,-7.559056282043457,
train,0,13,1,The bright pup outside the cabins behind the signs past the nests,The bright pups outside the cabin behind the sign past the nest,-2.5996780395507812,-4.974678039550781,-5.197159290313721,-3.9471595287323,-4.68612813949585,-5.18612813949585,
train,0,13,1,The fuzzy rat past the rocks beneath the chairs around the carts,The fuzzy rats past the rock beneath the chair around the cart,-19.90245819091797,-20.27745819091797,-21.2868595123291,-19.2556095123291,-18.86971664428711,-16.86971664428711,
train,0,13,1,The nervous rabbit beneath the chairs around the carts outside the benches,The nervous rabbits beneath the chair around the cart outside the bench,-2.5041263103485107,-6.00412654876709,-3.697690963745117,-3.072690963745117,-3.776926040649414,-3.401926040649414,
train,0,13,1,The nervous frog beneath the chains around the belts outside the piles,The nervous frogs beneath the chain around the belt outside the pile,-15.850762367248535,-16.72576332092285,-15.027350425720215,-13.027350425720215,-12.953776359558105,-11.516276359558105,
train,0,13,1,The slender turtle beneath the boilers around the tanks outside the pipes,The slender turtles beneath the boiler around the tank outside the pipe,-1.4148657321929932,-5.414865493774414,-2.7168593406677246,-2.4668593406677246,-3.0882725715637207,-2.9632725715637207,
train,0,13,1,The small lion around the walls outside the tables behind the houses,The small lions around the wall outside the table behind the house,-2.214325428009033,-3.964325428009033,-2.4553022384643555,-1.080302357673645,-2.353761911392212,-1.103761911392212,
train,0,13,1,The small dolphin beneath the barrels around the statues outside the stools,The small dolphins beneath the barrel around the statue outside the stool,-1.6594390869140625,-3.9094390869140625,-3.0446324348449707,-2.5446324348449707,-3.166749954223633,-3.166749954223633,
train,0,13,1,The slender panda behind the bolts past the screws beneath the boilers,The slender pandas behind the bolt past the screw beneath the boiler,-15.47803783416748,-16.665536880493164,-15.648253440856934,-13.023253440856934,-12.81003189086914,-12.43503189086914,
train,0,13,1,The bright horse behind the crates past the barrels beneath the statues,The bright horses behind the crate past the barrel beneath the statue,-1.9269434213638306,-8.0519437789917,-4.533690929412842,-3.4086906909942627,-4.554924488067627,-4.179924488067627,
train,0,13,1,The small kit past the vines beneath the trenches around the dams,The small kits past the vine beneath the trench around the dam,-14.302423477172852,-15.927423477172852,-17.522743225097656,-15.960244178771973,-16.779521942138672,-15.279520988464355,
train,0,13,1,The timid doe beneath the columns around the towers outside the cabins,The timid does beneath the column around the tower outside the cabin,-15.953666687011719,-18.45366668701172,-19.487873077392578,-18.862873077392578,-17.86690330505371,-17.55440330505371,
train,0,13,1,The fuzzy rat behind the valves past the cables beneath the chains,The fuzzy rats behind the valve past the cable beneath the chain,-3.2334847450256348,-6.858484745025635,-3.9711811542510986,-2.9711811542510986,-3.919581651687622,-3.544581651687622,
train,0,13,1,The nervous shark outside the clocks behind the plants past the logs,The nervous sharks outside the clock behind the plant past the log,-19.16982650756836,-19.60732650756836,-19.46954917907715,-18.56329917907715,-18.76522445678711,-18.54647445678711,
train,0,13,1,The slender horse past the logs beneath the columns around the towers,The slender horses past the log beneath the column around the tower,-15.76976203918457,-17.64476203918457,-18.806930541992188,-15.963181495666504,-17.979476928710938,-16.291976928710938,
train,0,13,1,The sleepy whale behind the valves past the cables beneath the chains,The sleepy whales behind the valve past the cable beneath the chain,-3.93196439743042,-7.93196439743042,-4.183513164520264,-3.6835131645202637,-4.383581161499023,-4.383581161499023,
train,0,13,1,The sleepy dolphin outside the benches behind the windows past the crates,The sleepy dolphins outside the bench behind the window past the crate,-14.449153900146484,-17.011653900146484,-18.332263946533203,-16.519763946533203,-15.360733032226562,-15.798233032226562,
