epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.3362528681755066,0.44940710067749023,57.827083333333334,55.8152396917964,1.453125,1.453125,1.4494974613189697,1.9453125,0.1025390625, trees |  walls |  whales |  bird |  wall, gates |  cats |  doors |  door |  woman,0.6043165326118469,0.6402877569198608,0.568345308303833
2,,2.116311550140381,0.04759122431278229,32.992366536458334,33.233821614583334,1.453125,1.4453125,1.4494974613189697,1.953125,0.087890625, trees |  walls |  bird |  whales |  lizard, cats |  gates |  door |  doors |  cows,0.5935251712799072,0.38129496574401855,0.8057553768157959
3,,0.2372758388519287,0.04519539326429367,28.814029947916666,29.157210286458334,1.4453125,1.4453125,1.4494974613189697,1.9765625,0.06591796875, lizard |  trees |  bird |  whales |  walls, cats |  gates |  doors |  door |  cows,0.6079136729240417,0.568345308303833,0.6474820375442505
4,,0.27315425872802734,0.027959367260336876,27.05674540201823,27.506793212890624,1.4453125,1.453125,1.4494974613189697,2.0,0.042236328125, lizard |  bird |  trees |  walls |  horse, cats |  gates |  doors |  cows |  door,0.6151078939437866,0.4892086386680603,0.7410072088241577
5,,0.02093810960650444,0.0892302542924881,15.701776059468587,15.753755696614583,1.453125,1.453125,1.4494974613189697,2.015625,0.03125, lizard |  bird |  walls |  trees |  horse, cats |  cows |  gates |  doors |  door,0.633093535900116,0.568345308303833,0.6978417038917542
6,,0.3624016344547272,0.009213725104928017,11.479248046875,11.610595703125,1.453125,1.4453125,1.4494974613189697,2.046875,0.009033203125, lizard |  walls |  bird |  horse |  trees, cats |  cows |  animals |  gates |  dogs,0.6007194519042969,0.4100719392299652,0.7913669347763062
7,,0.5341414213180542,0.003016610164195299,20.060618273417155,20.42700106302897,1.453125,1.453125,1.4494974613189697,2.078125,-0.0294189453125, lizard |  bird |  walls |  horse |  creature, cats |  cows |  gates |  doors |  door,0.6079136729240417,0.3884892165660858,0.8273381590843201
8,,0.0077477796003222466,0.04680883139371872,15.623339080810547,16.218330891927085,1.4453125,1.453125,1.4494974613189697,2.09375,-0.050537109375, lizard |  creature |  dragon |  bird |  horse, cats |  cows |  doors |  gates |  animals,0.6690647602081299,0.5467625856399536,0.7913669347763062
9,,1.76211416721344,9.203482477460057e-05,5.238872782389323,5.463968912760417,1.453125,1.453125,1.4494974613189697,2.125,-0.068359375, lizard |  dragon |  bird |  horse |  walls, cats |  cows |  doors |  gates |  rabbits,0.5827338099479675,0.30215826630592346,0.8633093237876892
10,,0.009968042373657227,0.03972112759947777,10.870266834894815,10.629015604654947,1.453125,1.453125,1.4494974613189697,2.140625,-0.08740234375, lizard |  creature |  dragon | 狐狸 |  horse, cats |  cows |  rabbits |  animals |  dogs,0.6690647602081299,0.5035971403121948,0.8345323801040649
11,,0.8041011095046997,0.00014760212798137218,5.106646331151326,5.157328796386719,1.453125,1.453125,1.4494974613189697,2.15625,-0.10400390625, lizard |  creature | 狐狸 |  horse |  dragon, cats |  cows |  rabbits |  gates |  doors,0.6258992552757263,0.35971224308013916,0.8920863270759583
12,,0.15430834889411926,0.0041361781768500805,5.72057876586914,5.820513407389323,1.453125,1.453125,1.4494974613189697,2.171875,-0.11962890625, lizard |  creature | 狐狸 |  horse |  dragon, cats |  cows |  rabbits |  gates |  dogs,0.6978417038917542,0.5035971403121948,0.8920863270759583
13,,0.1055205911397934,0.002088571200147271,14.522112782796224,14.589167277018229,1.4453125,1.453125,1.4494974613189697,2.1875,-0.142578125, lizard |  creature |  dragon | 狐狸 |  horse, cats |  cows |  rabbits |  dogs |  animals,0.6726618409156799,0.43884891271591187,0.9064748287200928
14,,0.011939166113734245,0.006954415235668421,10.937721252441406,10.95623004436493,1.4453125,1.453125,1.4494974613189697,2.21875,-0.1630859375, lizard |  creature | 狐狸 |  dragon |  monster, cats |  cows |  rabbits |  dogs | 两只,0.701438844203949,0.5251798629760742,0.8776978254318237
15,,0.004907124675810337,0.06987593322992325,1.9950669606526692,1.9767491819957892,1.453125,1.4453125,1.4494974613189697,2.21875,-0.1748046875, lizard |  creature |  dragon | 狐狸 |  monster, cats |  cows |  rabbits | 两只 |  dogs,0.7194244861602783,0.5539568066596985,0.8848921060562134
