epoch,global_step,phase,token_ce,logit_wug,logit_wugs,logit_gap
1,1,singular,10.4375,21.625,12.375,9.25
1,2,plural,11.4375,23.625,16.75,6.875
1,3,singular,3.765625,21.625,13.9375,7.6875
1,4,plural,11.0,24.125,13.6875,10.4375
1,5,singular,5.46875,22.25,21.25,1.0
1,6,plural,10.5625,19.875,13.8125,6.0625
1,7,singular,7.84375,20.5,14.875,5.625
1,8,plural,5.84375,26.875,22.25,4.625
1,9,singular,2.703125,21.0,12.4375,8.5625
1,10,plural,11.875,25.25,19.75,5.5
1,11,singular,1.1875,23.75,20.875,2.875
1,12,plural,6.15625,21.375,19.0,2.375
1,13,singular,2.140625,24.375,20.0,4.375
1,14,plural,6.65625,30.5,27.875,2.625
1,15,singular,1.03125,29.625,30.125,-0.5
1,16,plural,3.28125,24.875,22.75,2.125
1,17,singular,1.8984375,26.375,19.875,6.5
1,18,plural,2.953125,27.25,28.875,-1.625
1,19,singular,3.703125,22.25,12.1875,10.0625
1,20,plural,5.125,35.25,30.125,5.125
1,21,singular,1.171875,25.875,12.875,13.0
1,22,plural,0.8984375,29.5,29.125,0.375
1,23,singular,0.62890625,25.0,18.625,6.375
1,24,plural,0.034423828125,31.625,35.0,-3.375
1,25,singular,0.01251220703125,28.5,20.625,7.875
1,26,plural,0.0074462890625,28.625,33.75,-5.125
1,27,singular,3.40625,31.625,35.0,-3.375
1,28,plural,5.375,33.5,28.125,5.375
1,29,singular,0.06396484375,26.75,19.75,7.0
1,30,plural,0.734375,26.25,26.25,0.0
