epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,3.4277565869269893,0.68314129114151,0.249802827835083,73.83044948577881,38.32016927401225,1.46875,1.4609375,1.4494974613189697,1.9453125,0.1240234375, door |  doors |  birds |  animals |  dogs, dogs |  chickens |  dog |  trees |  Dogs,0.633093535900116,0.4460431635379791,0.8201438784599304
2,0.807514877069237,0.012092143297195435,0.8215951919555664,34.651082356770836,29.569830322265624,1.484375,1.46875,1.4494974613189697,1.953125,0.1240234375, door |  doors |  child |  wolf |  birds, dogs |  chickens |  trees |  Dogs |  dog,0.6942446231842041,0.5251798629760742,0.8633093237876892
3,0.538019914444673,1.5809663534164429,0.0013057622127234936,17.65536855061849,16.431552666425706,1.484375,1.484375,1.4494974613189697,1.9609375,0.12109375, door |  doors |  child |  dogs |  wolf, dogs |  chickens |  trees |  dog |  birds,0.6762589812278748,0.4748201370239258,0.8776978254318237
4,1.0021618097351772,0.005756563972681761,0.7642737030982971,28.075992329915366,27.74855042695999,1.4921875,1.4765625,1.4494974613189697,1.96875,0.1181640625, door |  child |  wolf |  kitten |  dogs, dogs |  chickens |  trees |  Dogs |  dog,0.7553957104682922,0.6115108132362366,0.8992805480957031
5,0.3478227654283425,0.001005771686322987,1.330078125,15.340158208211262,15.27443386996165,1.4921875,1.484375,1.4494974613189697,1.984375,0.11181640625, door |  child |  kitten |  wolf |  doors, dogs |  chickens |  trees |  Dogs |  birds,0.7805755138397217,0.6402877569198608,0.9208633303642273
6,0.6397631170623905,1.7380009889602661,0.00014393085439223796,16.32209841410319,16.099928855135417,1.484375,1.4921875,1.4494974613189697,1.984375,0.11083984375, door |  doors |  horse |  child |  wolf, dogs |  chickens |  trees |  birds |  Dogs,0.7122302055358887,0.4892086386680603,0.935251772403717
7,0.811753789045099,1.5254489183425903,0.00022651837207376957,21.06185000737508,20.89088990772143,1.4921875,1.4921875,1.4494974613189697,1.984375,0.109375, door |  horse |  child |  doors |  wolf, dogs |  chickens |  trees |  birds |  Dogs,0.7230215668678284,0.5107913613319397,0.935251772403717
8,0.9671107003247925,0.0005157111445441842,1.329921007156372,26.259652384122212,26.13849533398946,1.5,1.484375,1.4494974613189697,1.9921875,0.107421875, door |  child |  kitten |  wolf |  horse, dogs |  chickens |  trees |  Dogs |  birds,0.7877697944641113,0.6618704795837402,0.9136690497398376
9,0.819410592105631,0.0021872955840080976,0.9534854888916016,20.984158436457317,20.936372307292185,1.5,1.484375,1.4494974613189697,1.9921875,0.107421875, door |  child |  kitten |  wolf |  horse, dogs |  chickens |  trees |  Dogs |  birds,0.769784152507782,0.6187050342559814,0.9208633303642273
10,0.957884839589417,0.8054432272911072,0.003943368326872587,27.239626042048137,27.1564040740331,1.4921875,1.4921875,1.4494974613189697,2.0,0.10498046875, door |  kitten |  horse |  child |  doors, dogs |  chickens |  trees |  birds |  Dogs,0.7446042895317078,0.5539568066596985,0.935251772403717
11,0.6371200173503818,1.8890395164489746,7.332977111218497e-05,21.306560055414835,21.307033975810434,1.4921875,1.4921875,1.4494974613189697,2.0,0.10302734375, door |  horse |  doors |  kitten | 門, dogs |  chickens |  trees |  birds |  Dogs,0.7266187071800232,0.5179855823516846,0.935251772403717
12,0.7030042395858042,0.000421309465309605,1.2844685316085815,16.549540696541467,16.49578689734141,1.5078125,1.484375,1.4494974613189697,2.015625,0.09912109375, door |  kitten |  child |  wolf |  horse, dogs |  chickens |  trees |  birds |  Dogs,0.8345323801040649,0.7553957104682922,0.9136690497398376
