epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.43266981840133667,1.493804693222046,57.816898600260416,42.53546346028646,1.4453125,1.4453125,1.4494974613189697,1.953125,0.09375, trees |  tree |  door | trees |  cats, cars |  cats |  houses |  borne |  wolves,0.7158273458480835,0.9208633303642273,0.5107913613319397
2,,1.2906135320663452,0.133629709482193,34.18385416666667,30.6052734375,1.453125,1.4453125,1.4494974613189697,1.953125,0.08984375, trees |  tree |  door | trees |  chair, cars |  cats |  wolves |  houses | _cats,0.7553957104682922,0.6762589812278748,0.8345323801040649
3,,0.22296425700187683,0.2359832525253296,28.775325520833334,27.216341145833333,1.4453125,1.453125,1.4494974613189697,1.9609375,0.08349609375, trees |  tree |  door |  chair | (cat, cars |  cats |  wolves |  houses |  phones,0.8129496574401855,0.8345323801040649,0.7913669347763062
4,,0.31269997358322144,0.036053650081157684,21.889388020833334,22.642220052083335,1.453125,1.453125,1.4494974613189697,1.96875,0.07568359375, door |  tree |  trees |  chair | (cat, cars |  cats |  wolves |  dogs |  phones,0.798561155796051,0.7122302055358887,0.8848921060562134
5,,0.13750389218330383,0.05485772341489792,23.879361979166667,22.593359375,1.4453125,1.4453125,1.4494974613189697,1.9765625,0.06982421875, tree |  door |  trees |  chair | _tree, cats |  cars |  wolves |  dogs |  phones,0.8453237414360046,0.8057553768157959,0.8848921060562134
6,,0.30282074213027954,0.008883597329258919,8.260416666666666,7.984049479166667,1.4453125,1.453125,1.4494974613189697,1.984375,0.06494140625, door |  tree |  chair |  trees |  goat, cats |  cars |  wolves |  dogs |  phones,0.8237410187721252,0.7338129281997681,0.9136690497398376
7,,0.18362711369991302,0.009957189671695232,13.146687825520834,13.248876953125,1.453125,1.453125,1.4494974613189697,1.9921875,0.0537109375, tree |  door |  chair |  goat | _tree, cats |  cars |  dogs |  wolves | 孩子们,0.8237410187721252,0.7482014298439026,0.8992805480957031
8,,0.004893839824944735,0.3137393295764923,8.733463541666667,8.578922526041667,1.453125,1.453125,1.4494974613189697,2.0,0.044189453125, door |  tree |  chair |  goat | (cat, cats |  cars |  dogs |  wolves |  cows,0.8381295204162598,0.8920863270759583,0.7841726541519165
9,,0.06438162922859192,0.03148786723613739,5.811739095052084,5.83525390625,1.453125,1.4453125,1.4494974613189697,2.015625,0.03515625, door |  tree |  chair |  goat | _door, cats |  cars |  dogs |  wolves |  cows,0.8561151027679443,0.8201438784599304,0.8920863270759583
10,,0.05071526765823364,0.06314278393983841,13.747835286458333,13.5517822265625,1.453125,1.4453125,1.4494974613189697,2.03125,0.0240478515625, door |  chair |  tree |  goat |  animal, cats |  cars |  dogs |  wolves |  cows,0.8597122430801392,0.8561151027679443,0.8633093237876892
11,,0.012969033792614937,0.07648864388465881,9.969485473632812,9.879020182291667,1.4453125,1.4453125,1.4494974613189697,2.03125,0.0167236328125, door |  goat |  tree |  chair | _door, cats |  cars |  dogs | 两只 | 两个人,0.8453237414360046,0.8489208817481995,0.8417266011238098
12,,0.011973424814641476,0.038667600601911545,4.290348307291667,4.208284505208334,1.453125,1.453125,1.4494974613189697,2.03125,0.011474609375, door |  goat |  tree |  chair |  kitten, cats |  cars | 两只 |  dogs | 两个人,0.8453237414360046,0.8489208817481995,0.8417266011238098
13,,0.005119163542985916,0.08153814822435379,9.25435702006022,9.147429402669271,1.453125,1.4453125,1.4494974613189697,2.0625,-0.005889892578125, kitten |  goat |  animal |  door |  chair, cars |  cats | 两只 | 两个人 | 孩子们,0.8633093237876892,0.8920863270759583,0.8345323801040649
