epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,5.652037451664607,5.3722124099731445,3.4459047317504883,82.85893716812134,77.09355058670045,1.453125,1.453125,1.4494974613189697,1.9140625,0.1298828125, chairs |  Chairs |  bird |  birds |  trees, birds |  trees |  walls |  bird |  lamps,0.5539568066596985,0.30215826630592346,0.8057553768157959
2,3.74758996826907,3.8314149379730225,2.0373613834381104,80.87321058909099,72.22396647135416,1.453125,1.453125,1.4494974613189697,1.9140625,0.1318359375, chairs |  Chairs |  bird |  birds |  chair, birds |  trees |  walls |  bird |  lamps,0.5575539469718933,0.32374101877212524,0.7913669347763062
3,2.4783283887586247,2.639301061630249,1.1611942052841187,74.24768384297688,60.4767822265625,1.453125,1.4609375,1.4494974613189697,1.9140625,0.1328125, chairs |  Chairs |  bird |  birds |  chair, birds |  trees |  walls |  bird |  lamps,0.6079136729240417,0.40287768840789795,0.8129496574401855
4,1.6618869258634126,1.7738597393035889,0.7434325814247131,64.95929641723633,51.53162434895833,1.453125,1.4609375,1.4494974613189697,1.921875,0.134765625, chairs |  bird |  Chairs |  chair |  birds, birds |  trees |  walls |  bird |  lamps,0.6366906762123108,0.4460431635379791,0.8273381590843201
5,1.1467059519607574,1.3096954822540283,0.47841179370880127,52.80143534342448,42.40224609375,1.4609375,1.4609375,1.4494974613189697,1.921875,0.1357421875, chairs |  bird |  Chairs |  chair |  birds, birds |  trees |  walls |  lamps |  bird,0.6906474828720093,0.5179855823516846,0.8633093237876892
6,0.8062472925055773,0.85222989320755,0.35264459252357483,47.287068684895836,36.489925130208334,1.4609375,1.4609375,1.4494974613189697,1.921875,0.13671875, chairs |  bird |  Chairs |  chair |  [wugs], birds |  trees |  walls |  lamps |  bird,0.6834532618522644,0.4892086386680603,0.8776978254318237
7,0.565490550462467,0.6251417398452759,0.23070038855075836,39.302834065755206,31.664754231770832,1.4609375,1.4609375,1.4494974613189697,1.921875,0.13671875, chairs |  bird |  Chairs |  chair |  [wugs], birds |  trees |  walls |  bird |  lamps,0.6978417038917542,0.5107913613319397,0.8848921060562134
8,0.41392357061073803,0.5092918276786804,0.1404687613248825,34.38564860026042,28.435040283203126,1.4609375,1.46875,1.4494974613189697,1.921875,0.13671875, bird |  chairs |  Chairs |  chair |  [wugs], birds |  trees |  walls |  lamps |  bird,0.7338129281997681,0.5827338099479675,0.8848921060562134
9,0.3155067808906703,0.48440971970558167,0.08795995265245438,29.933978271484374,25.025148518880208,1.4609375,1.46875,1.4494974613189697,1.9296875,0.13671875, bird |  chairs |  Chairs |  chair |  [wugs], birds |  trees |  walls |  lamps |  bird,0.7517985701560974,0.597122311592102,0.9064748287200928
10,0.293991388908277,0.15134607255458832,0.25176379084587097,27.411561075846354,24.994068400065103,1.46875,1.46875,1.4494974613189697,1.9296875,0.13671875, bird |  chairs |  Chairs |  chair |  [wugs], birds |  trees |  walls |  lamps |  bird,0.7913669347763062,0.6834532618522644,0.8992805480957031
11,0.2353689310325232,0.07633156329393387,0.39098232984542847,22.102322387695313,21.238794962565105,1.46875,1.46875,1.4494974613189697,1.9296875,0.1357421875, bird |  chairs |  Chairs |  chair |  [wugs], birds |  trees |  walls |  lamps |  bird,0.8057553768157959,0.6978417038917542,0.9136690497398376
12,0.2615044256308465,0.12650495767593384,0.2304571568965912,23.573092142740887,22.50592549641927,1.46875,1.46875,1.4494974613189697,1.9296875,0.1357421875, bird |  chairs |  Chairs |  chair |  [wugs], birds |  trees |  walls |  lamps |  bird,0.8129496574401855,0.7122302055358887,0.9136690497398376
13,0.24935178014808723,0.08355461806058884,0.29746773838996887,23.668922678629556,22.564019775390626,1.46875,1.46875,1.4494974613189697,1.9296875,0.1357421875, bird |  chairs |  Chairs |  chair |  [wugs], birds |  trees |  walls |  lamps |  bird,0.8201438784599304,0.7266187071800232,0.9136690497398376
14,0.24139899250027763,0.08078447729349136,0.291564017534256,22.03289934794108,21.57640686035156,1.46875,1.46875,1.4494974613189697,1.9296875,0.1357421875, bird |  chairs |  Chairs |  chair |  [wugs], birds |  trees |  walls |  lamps |  bird,0.8237410187721252,0.7338129281997681,0.9136690497398376
15,0.2317444572596287,0.11577694118022919,0.214606374502182,20.935591888427734,20.560585021972656,1.46875,1.46875,1.4494974613189697,1.9296875,0.1357421875, bird |  chairs |  Chairs |  chair |  [wugs], birds |  trees |  walls |  lamps |  bird,0.8021582961082458,0.6906474828720093,0.9136690497398376
16,0.2491101374194841,0.2560124099254608,0.08915116637945175,22.664970779418944,22.24792963663737,1.46875,1.46875,1.4494974613189697,1.9296875,0.134765625, bird |  chairs |  Chairs |  chair |  child, birds |  trees |  walls |  lamps |  bird,0.8021582961082458,0.6834532618522644,0.9208633303642273
17,0.21840106070036805,0.2882313132286072,0.07438094913959503,21.30452880859375,20.636895751953126,1.46875,1.46875,1.4494974613189697,1.9375,0.134765625, bird |  chairs |  Chairs |  chair |  Chair, birds |  trees |  walls |  lamps |  bird,0.7949640154838562,0.6762589812278748,0.9136690497398376
18,0.22768652798622496,0.2868261933326721,0.07274208217859268,20.994979476928712,20.679209391276043,1.46875,1.46875,1.4494974613189697,1.9375,0.1337890625, bird |  chairs |  Chairs |  chair |  Chair, birds |  trees |  walls |  lamps |  bird,0.798561155796051,0.6690647602081299,0.9280575513839722
19,0.19391120447277596,0.05031643435359001,0.35925570130348206,18.178077952067056,17.678224690755208,1.46875,1.46875,1.4494974613189697,1.9375,0.1337890625, bird |  chairs |  chair |  Chairs |  child, birds |  trees |  walls |  lamps |  bird,0.8561151027679443,0.7841726541519165,0.9280575513839722
