epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,5.732464324710114,1.7442798614501953,0.2023603320121765,78.94855143229167,86.65168547313661,1.4765625,1.5,1.4494974613189697,1.9609375,0.1357421875, chair | -chair |  puppy |  Chair |  chairs, dogs |  cats |  birds |  ducks |  children,0.7913669347763062,0.7050359845161438,0.8776978254318237
2,1.2737278780061994,0.055510263890028,0.4735126495361328,33.192518361409505,38.306541951497394,1.4921875,1.5078125,1.4494974613189697,1.9765625,0.1337890625, chair |  puppy | -chair |  Chair |  chairs, dogs |  cats |  ducks |  birds |  children,0.7841726541519165,0.6187050342559814,0.9496402740478516
3,0.21826207161045658,1.8070803880691528,0.0034890815149992704,10.851509086290996,10.411508242289225,1.4921875,1.515625,1.4494974613189697,1.984375,0.12890625, chair | -chair |  puppy |  Chair |  chairs, dogs |  cats |  ducks |  birds |  children,0.8884891867637634,0.8273381590843201,0.9496402740478516
4,1.2408293147230627,0.8551619052886963,0.00446463655680418,22.445523879180353,22.92645044326782,1.5,1.515625,1.4494974613189697,1.9921875,0.12451171875, chair | -chair |  puppy |  Chair |  kitten, dogs |  cats |  ducks |  birds |  children,0.8920863270759583,0.8417266011238098,0.9424460530281067
5,1.2592603908669957,0.34160059690475464,0.041127849370241165,22.501849990834792,22.947225683927535,1.5078125,1.515625,1.4494974613189697,2.0,0.1201171875, chair | -chair |  puppy |  Chair |  kitten, dogs |  cats |  ducks |  birds |  children,0.8920863270759583,0.8489208817481995,0.935251772403717
6,0.7200793917592402,4.001088018412702e-05,2.8334381580352783,16.98033441218237,16.978586396574975,1.5234375,1.5078125,1.4494974613189697,2.015625,0.11376953125, chair |  puppy | -chair |  Chair |  kitten, dogs |  cats |  ducks |  birds |  children,0.8956834673881531,0.9640287756919861,0.8273381590843201
7,0.37512998668707953,1.45381760597229,0.00025822504539974034,9.221160014035801,9.406326187650363,1.515625,1.53125,1.4494974613189697,2.03125,0.10595703125, chair | -chair |  puppy |  Chair |  kitten, dogs |  ducks |  cats |  birds |  children,0.8525179624557495,0.7553957104682922,0.9496402740478516
8,0.9128412094474034,6.111403308750596e-06,3.255847454071045,16.139141401958963,16.138741779327393,1.5390625,1.515625,1.4494974613189697,2.046875,0.0986328125, chair |  puppy | -chair |  kitten |  Chair, dogs |  ducks |  cats |  birds |  children,0.902877688407898,0.971222996711731,0.8345323801040649
9,1.513319536124466,1.3555833101272583,0.00028197141364216805,25.54784111616512,25.648004560136663,1.515625,1.53125,1.4494974613189697,2.046875,0.1025390625, chair | -chair |  puppy |  Chair |  goat, dogs |  ducks |  cats |  birds |  children,0.8309352397918701,0.7194244861602783,0.9424460530281067
10,0.7847045572094998,2.4294091417687014e-05,2.1507794857025146,15.383296807397468,15.372582050909598,1.53125,1.5234375,1.4494974613189697,2.046875,0.099609375, chair |  puppy | -chair |  Chair |  kitten, dogs |  ducks |  cats |  birds |  children,0.9208633303642273,0.9424460530281067,0.8992805480957031
11,1.169129976136052,1.559229895065073e-05,2.2011184692382812,20.841988425992895,20.834859354328366,1.5390625,1.515625,1.4494974613189697,2.046875,0.09814453125, chair |  puppy | -chair |  Chair |  kitten, dogs |  ducks |  cats |  birds |  children,0.9244604110717773,0.9568345546722412,0.8920863270759583
