epoch,global_step,phase,token_ce,logit_wug,logit_wugs,logit_gap
1,1,singular,10.875,17.5,12.1875,5.3125
1,2,plural,14.375,21.5,13.75,7.75
1,3,singular,2.015625,23.0,12.9375,10.0625
1,4,plural,7.84375,24.25,17.625,6.625
1,5,singular,4.1875,24.25,27.75,-3.5
1,6,plural,3.09375,24.125,21.625,2.5
1,7,singular,0.06494140625,34.75,19.5,15.25
1,8,plural,0.0009613037109375,20.625,30.75,-10.125
1,9,singular,0.01226806640625,32.5,14.625,17.875
1,10,plural,20.125,39.5,19.375,20.125
1,11,singular,12.4375,15.5625,27.875,-12.3125
1,12,plural,0.0081787109375,19.875,28.625,-8.75
1,13,singular,1.109375,25.5,26.0,-0.5
1,14,plural,0.2578125,25.625,35.75,-10.125
1,15,singular,0.357421875,32.0,31.125,0.875
1,16,plural,0.6484375,22.625,24.625,-2.0
1,17,singular,3.6716461181640625e-05,38.25,26.75,11.5
1,18,plural,0.02392578125,27.25,35.5,-8.25
1,19,singular,0.0002155303955078125,32.5,20.875,11.625
1,20,plural,11.25,38.25,27.0,11.25
1,21,singular,4.125,19.875,22.75,-2.875
1,22,plural,0.0,21.75,47.0,-25.25
1,23,singular,0.00185394287109375,33.5,26.625,6.875
1,24,plural,3.7670135498046875e-05,27.625,38.75,-11.125
1,25,singular,0.01165771484375,30.125,24.375,5.75
1,26,plural,6.318092346191406e-06,23.0,39.25,-16.25
1,27,singular,0.01025390625,31.25,17.875,13.375
1,28,plural,0.00023174285888671875,25.25,34.5,-9.25
1,29,singular,0.00048065185546875,31.75,20.0,11.75
1,30,plural,0.000141143798828125,19.375,40.5,-21.125
2,31,singular,0.001708984375,32.5,26.0,6.5
2,32,plural,0.0,21.875,51.25,-29.375
2,33,singular,25.125,21.875,47.0,-25.125
2,34,plural,0.353515625,26.875,32.5,-5.625
2,35,singular,2.384185791015625e-07,43.25,14.875,28.375
2,36,plural,24.625,47.25,22.625,24.625
2,37,singular,0.000614166259765625,35.0,27.25,7.75
2,38,plural,1.1920928955078125e-07,24.25,40.75,-16.5
2,39,singular,2.0265579223632812e-06,36.75,17.25,19.5
2,40,plural,8.249282836914062e-05,25.625,35.5,-9.875
2,41,singular,0.0166015625,32.0,27.875,4.125
2,42,plural,0.0001583099365234375,26.375,35.5,-9.125
2,43,singular,20.125,25.125,45.25,-20.125
2,44,plural,7.5,38.75,31.25,7.5
2,45,singular,7.867813110351562e-06,41.0,29.0,12.0
2,46,plural,2.2649765014648438e-06,24.5,44.75,-20.25
2,47,singular,2.0265579223632812e-05,36.75,20.125,16.625
2,48,plural,1.1920928955078125e-07,23.25,43.25,-20.0
2,49,singular,0.00109100341796875,33.5,17.875,15.625
2,50,plural,6.4373016357421875e-06,27.25,39.25,-12.0
2,51,singular,0.0001010894775390625,41.25,25.25,16.0
2,52,plural,0.0,18.375,47.75,-29.375
2,53,singular,3.933906555175781e-06,37.5,23.375,14.125
2,54,plural,12.0,41.0,29.0,12.0
2,55,singular,4.65625,24.5,29.125,-4.625
2,56,plural,0.0,21.875,48.5,-26.625
2,57,singular,0.000202178955078125,34.0,23.375,10.625
2,58,plural,3.5762786865234375e-07,24.75,40.25,-15.5
2,59,singular,0.001312255859375,34.75,23.125,11.625
2,60,plural,0.0,23.625,46.5,-22.875
3,61,singular,0.000202178955078125,34.0,23.375,10.625
3,62,plural,0.0,16.75,56.0,-39.25
3,63,singular,0.0,46.25,7.40625,38.84375
3,64,plural,1.1444091796875e-05,24.5,37.25,-12.75
3,65,singular,22.875,23.625,46.5,-22.875
3,66,plural,27.25,48.75,21.5,27.25
3,67,singular,14.75,27.75,42.5,-14.75
3,68,plural,3.890625,35.25,31.375,3.875
3,69,singular,1.0728836059570312e-06,42.25,27.875,14.375
3,70,plural,2.384185791015625e-07,22.125,47.0,-24.875
3,71,singular,6.4373016357421875e-06,36.75,23.375,13.375
3,72,plural,0.0,18.75,47.25,-28.5
3,73,singular,5.4836273193359375e-06,37.25,23.625,13.625
3,74,plural,14.375,42.25,27.875,14.375
3,75,singular,0.0004253387451171875,34.0,26.125,7.875
3,76,plural,0.0,22.125,48.0,-25.875
3,77,singular,0.001251220703125,32.75,24.0,8.75
3,78,plural,0.0,13.125,63.75,-50.625
3,79,singular,0.044677734375,31.375,26.5,4.875
3,80,plural,0.0,13.5625,51.5,-37.9375
3,81,singular,0.0003414154052734375,35.5,27.125,8.375
3,82,plural,0.0,14.125,51.5,-37.375
3,83,singular,0.1953125,28.25,23.5,4.75
3,84,plural,0.0,9.0625,63.5,-54.4375
3,85,singular,4.649162292480469e-06,36.5,23.375,13.125
3,86,plural,0.0,18.875,53.25,-34.375
3,87,singular,0.00244140625,34.5,26.375,8.125
3,88,plural,0.0,19.125,43.75,-24.625
3,89,singular,0.421875,35.0,34.25,0.75
3,90,plural,0.0,22.0,46.75,-24.75
4,91,singular,3.2186508178710938e-06,40.75,20.25,20.5
4,92,plural,0.0,14.6875,58.25,-43.5625
4,93,singular,0.0,51.5,18.5,33.0
4,94,plural,0.000110626220703125,31.875,41.0,-9.125
4,95,singular,9.125,31.875,41.0,-9.125
4,96,plural,0.00018024444580078125,29.375,38.0,-8.625
4,97,singular,0.0,48.75,11.3125,37.4375
4,98,plural,0.0,25.875,49.0,-23.125
4,99,singular,0.0,47.0,16.0,31.0
4,100,plural,49.5,61.0,11.5625,49.4375
4,101,singular,1.1920928955078125e-07,42.5,17.5,25.0
4,102,plural,0.16015625,35.5,37.25,-1.75
4,103,singular,0.0,42.0,21.5,20.5
4,104,plural,1.3113021850585938e-05,26.0,37.75,-11.75
4,105,singular,0.0,43.0,18.375,24.625
4,106,plural,0.0,22.125,49.0,-26.875
4,107,singular,0.0,48.25,9.875,38.375
4,108,plural,0.0,19.5,59.25,-39.75
4,109,singular,0.0003185272216796875,35.25,27.125,8.125
4,110,plural,0.0,21.625,48.5,-26.875
4,111,singular,0.0,40.0,19.875,20.125
4,112,plural,0.0,21.5,48.75,-27.25
4,113,singular,10.25,31.25,41.5,-10.25
4,114,plural,6.9141387939453125e-06,28.625,40.5,-11.875
4,115,singular,0.0,60.0,12.75,47.25
4,116,plural,0.006744384765625,33.75,38.75,-5.0
4,117,singular,0.0,51.0,10.3125,40.6875
4,118,plural,0.005279541015625,31.75,37.0,-5.25
4,119,singular,0.0,58.25,6.625,51.625
4,120,plural,0.0791015625,30.25,32.75,-2.5
