epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.23097606003284454,0.32395392656326294,58.74725813865662,63.6513671875,1.078125,1.078125,1.0794202089309692,1.4609375,0.08154296875, |  | ᨧ | 켭 | ᨪ, |  |  boats |  rats |  trees,0.5395683646202087,0.8489208817481995,0.23021583259105682
2,,0.24506990611553192,0.03341232240200043,41.2755931854248,38.54560546875,1.078125,1.078125,1.0794202089309692,1.4765625,0.0654296875, |  | ᨧ | 켭 | ᨪ, |  |  boats |  rats |  computers,0.6079136729240417,0.6402877569198608,0.5755395889282227
3,,0.0012665826361626387,0.9003289937973022,23.125791676839192,21.905510965983073,1.078125,1.078125,1.0794202089309692,1.4921875,0.043212890625, |  | 㹦 | 켭 | ᨪ, |  |  boats |  rats |  computers,0.6618704795837402,0.8705036044120789,0.4532374143600464
4,,0.02762058936059475,0.0059337611310184,27.74983818034331,27.58992207845052,1.078125,1.078125,1.0794202089309692,1.515625,0.01446533203125, |  | 켭 | ᭣ | 㹦, |  |  boats |  rats |  computers,0.6690647602081299,0.5251798629760742,0.8129496574401855
5,,1.005375623703003,6.296150240814313e-05,2.788420232137044,2.6100138346354167,1.078125,1.078125,1.0794202089309692,1.5234375,0.007568359375, |  | 켭 | ᭣ | ᘗ, |  |  rats |  boats |  cats,0.597122311592102,0.32374101877212524,0.8705036044120789
6,,0.0038451007567346096,0.040133047848939896,13.44601027170817,13.499588712056477,1.078125,1.078125,1.0794202089309692,1.5390625,-0.0184326171875, |  | 켭 | 㹦 | ᘗ, |  |  rats |  boats |  cars,0.7374100685119629,0.5899280309677124,0.8848921060562134
7,,0.025861788541078568,0.0004637912497855723,6.409249560038249,6.160869344075521,1.078125,1.078125,1.0794202089309692,1.5546875,-0.036865234375, |  | 켭 | ᭣ |  כיצ, rats |  |  |  boats |  computers,0.7338129281997681,0.5611510872840881,0.9064748287200928
8,,0.000855891325045377,0.004365436267107725,10.494999821980795,10.400853538513184,1.078125,1.078125,1.0794202089309692,1.578125,-0.0673828125, |  |  כיצ | 켭 | 옭, boats |  rats |  birds |  computers |  cats,0.8129496574401855,0.7122302055358887,0.9136690497398376
9,,0.003908513113856316,0.0004900449421256781,0.23681268692016602,0.24236911137898762,1.078125,1.078125,1.0794202089309692,1.578125,-0.06884765625, |  |  כיצ | 켭 | 옭, boats |  rats |  cats |  birds |  computers,0.7841726541519165,0.6474820375442505,0.9208633303642273
10,,1.1184972524642944,4.982885002391413e-06,0.7667898734410604,0.7382808844248454,1.078125,1.078125,1.0794202089309692,1.5859375,-0.08349609375, |  | הוצ |  כיצ | 옭, rats |  cats |  |  |  boats,0.633093535900116,0.3525179922580719,0.9136690497398376
11,,0.0005676149157807231,0.002073305658996105,4.7130053838913835,4.672624127070109,1.078125,1.078125,1.0794202089309692,1.6015625,-0.10302734375, |  |  כיצ | 켭 | הוצ, boats |  rats |  cats |  birds |  computers,0.8453237414360046,0.769784152507782,0.9208633303642273
12,,0.00033053115475922823,0.003430509939789772,0.18647716840108236,0.17669376532236736,1.078125,1.078125,1.0794202089309692,1.609375,-0.1064453125, |  |  כיצ | 옭 | 켭, boats |  rats |  cats |  birds |  computers,0.8237410187721252,0.7410072088241577,0.9064748287200928
13,,0.0521327443420887,1.7964408471016213e-05,8.136262127632897,8.15149253134926,1.078125,1.078125,1.0794202089309692,1.640625,-0.15234375, |  | הוצ |  כיצ | 켭, cats |  birds |  rats |  computers |  boats,0.8093525171279907,0.7050359845161438,0.9136690497398376
14,,0.0015336202923208475,0.00015493875253014266,3.5288383529831964,3.3806697338819505,1.078125,1.078125,1.0794202089309692,1.6484375,-0.1669921875, |  |  כיצ | ᘗ | הוצ, cats |  rats |  birds |  computers |  zwei,0.8453237414360046,0.798561155796051,0.8920863270759583
15,,7.707322220085189e-05,0.0036160312592983246,0.16285168741984915,0.1414403200149536,1.0859375,1.078125,1.0794202089309692,1.65625,-0.171875, |  | ᘗ |  כיצ | 켭, cats |  birds |  rats |  computers |  zwei,0.8812949657440186,0.8705036044120789,0.8920863270759583
