epoch,global_step,phase,token_ce,logit_wug,logit_wugs,logit_gap
1,1,singular,14.3125,9.375,16.25,-6.875
1,2,plural,5.84375,13.8125,16.5,-2.6875
1,4,plural,4.1875,12.375,17.875,-5.5
1,6,plural,2.859375,10.5,20.375,-9.875
1,7,singular,13.6875,10.3125,23.375,-13.0625
1,8,plural,8.0,8.25,15.5,-7.25
1,9,singular,7.9375,16.0,23.875,-7.875
1,10,plural,3.484375,12.6875,19.75,-7.0625
1,12,plural,0.0308837890625,19.875,25.875,-6.0
1,15,singular,4.875,18.375,23.125,-4.75
1,16,plural,3.28125,23.5,20.375,3.125
1,17,singular,5.375,18.0,23.25,-5.25
1,19,singular,2.5625,21.25,19.75,1.5
1,20,plural,4.53125,26.375,21.875,4.5
1,21,singular,3.203125,20.25,20.375,-0.125
1,23,singular,0.083984375,25.0,21.375,3.625
1,25,singular,0.25,24.625,23.125,1.5
1,26,plural,4.375,24.875,20.875,4.0
1,27,singular,0.9296875,23.75,24.125,-0.375
1,28,plural,1.8203125,26.5,24.875,1.625
2,32,plural,0.01177978515625,22.625,27.5,-4.875
2,33,singular,1.859375,23.125,24.625,-1.5
2,35,singular,0.447265625,24.75,24.125,0.625
2,36,plural,1.7890625,21.0,22.25,-1.25
2,38,plural,2.703125,27.5,24.875,2.625
2,40,plural,0.0006561279296875,17.5,31.125,-13.625
2,41,singular,1.609375,24.625,26.0,-1.375
2,43,singular,0.126953125,26.0,23.875,2.125
2,44,plural,0.3203125,25.0,26.0,-1.0
2,45,singular,0.0634765625,27.125,23.875,3.25
2,47,singular,0.0277099609375,26.875,22.75,4.125
2,48,plural,0.039306640625,25.75,29.0,-3.25
2,49,singular,0.006317138671875,28.125,22.875,5.25
2,50,plural,0.0137939453125,24.875,29.25,-4.375
2,51,singular,0.90625,25.375,25.75,-0.375
2,53,singular,0.004852294921875,29.125,21.375,7.75
2,54,plural,3.046875,28.0,25.0,3.0
2,55,singular,0.5234375,25.25,24.625,0.625
2,56,plural,0.02490234375,24.75,28.5,-3.75
2,58,plural,0.640625,25.25,25.625,-0.375
3,61,singular,0.63671875,25.875,25.75,0.125
3,62,plural,0.00750732421875,21.125,28.75,-7.625
3,63,singular,0.016845703125,28.25,23.125,5.125
3,64,plural,0.2578125,25.75,27.0,-1.25
3,65,singular,0.166015625,26.25,24.5,1.75
3,66,plural,0.76171875,26.125,26.0,0.125
3,67,singular,2.703125,24.25,26.875,-2.625
3,68,plural,0.064453125,25.875,28.625,-2.75
3,69,singular,0.01165771484375,27.875,22.25,5.625
3,71,singular,0.01068115234375,28.5,22.5,6.0
3,72,plural,0.007354736328125,22.0,28.5,-6.5
3,74,plural,0.044677734375,23.875,27.75,-3.875
3,75,singular,0.00013637542724609375,30.875,21.25,9.625
3,78,plural,0.034423828125,26.0,29.375,-3.375
3,81,singular,0.00689697265625,28.625,22.5,6.125
3,82,plural,0.1298828125,26.125,28.125,-2.0
3,83,singular,0.001373291015625,29.25,22.375,6.875
3,86,plural,0.0322265625,24.125,27.875,-3.75
3,89,singular,0.0223388671875,27.25,23.125,4.125
3,90,plural,0.0106201171875,24.75,29.375,-4.625
4,91,singular,0.703125,25.5,25.5,0.0
4,94,plural,2.9375,27.375,24.5,2.875
4,95,singular,0.0023345947265625,29.125,22.875,6.25
4,98,plural,0.017333984375,24.625,28.75,-4.125
4,99,singular,4.40625,22.875,27.25,-4.375
4,100,plural,0.62109375,26.25,26.5,-0.25
4,101,singular,0.000278472900390625,30.375,21.5,8.875
4,102,plural,0.0167236328125,25.5,29.625,-4.125
4,103,singular,0.005096435546875,29.0,22.75,6.25
4,104,plural,0.005157470703125,24.875,30.25,-5.375
4,105,singular,0.000247955322265625,30.125,21.0,9.125
4,106,plural,0.255859375,26.375,27.625,-1.25
4,107,singular,0.271484375,26.25,24.875,1.375
4,108,plural,0.00156402587890625,21.75,29.875,-8.125
4,109,singular,0.002288818359375,28.875,21.875,7.0
4,111,singular,0.011474609375,28.5,22.875,5.625
4,112,plural,0.48046875,25.375,25.875,-0.5
4,114,plural,7.2479248046875e-05,19.0,32.75,-13.75
4,117,singular,0.32421875,25.875,24.875,1.0
4,120,plural,1.2265625,27.375,26.5,0.875
5,122,plural,4.887580871582031e-06,19.75,34.75,-15.0
5,124,plural,5.4836273193359375e-05,20.25,31.5,-11.25
5,125,singular,1.828125,24.25,25.875,-1.625
5,126,plural,0.003814697265625,23.75,29.5,-5.75
5,127,singular,0.00014209747314453125,30.625,20.75,9.875
5,129,singular,0.0011444091796875,30.375,21.25,9.125
5,130,plural,0.146484375,25.875,27.75,-1.875
5,131,singular,0.000514984130859375,29.75,21.625,8.125
5,132,plural,0.0255126953125,23.75,27.875,-4.125
5,133,singular,0.02490234375,27.625,23.875,3.75
5,134,plural,0.000247955322265625,18.0,31.75,-13.75
5,135,singular,0.034423828125,27.25,23.125,4.125
5,136,plural,0.00106048583984375,24.125,31.125,-7.0
5,138,plural,0.0003509521484375,18.375,31.75,-13.375
5,139,singular,0.0201416015625,27.375,23.25,4.125
5,140,plural,0.0017547607421875,21.75,30.5,-8.75
5,143,singular,0.0012969970703125,30.125,21.875,8.25
5,146,plural,0.00101470947265625,23.125,30.375,-7.25
5,147,singular,0.0010833740234375,30.5,22.5,8.0
5,149,singular,0.1162109375,26.875,24.75,2.125
6,151,singular,0.00074005126953125,29.625,22.0,7.625
6,154,plural,0.06298828125,26.25,29.0,-2.75
6,155,singular,0.00341796875,29.5,21.625,7.875
6,156,plural,0.00098419189453125,21.75,30.75,-9.0
6,157,singular,0.00054931640625,29.875,20.5,9.375
6,159,singular,0.0068359375,28.0,22.625,5.375
6,161,singular,0.0013580322265625,30.0,21.25,8.75
6,162,plural,0.0004520416259765625,18.625,31.5,-12.875
6,163,singular,0.0001316070556640625,30.75,20.875,9.875
6,164,plural,0.035400390625,24.125,27.75,-3.625
6,165,singular,0.054443359375,27.125,23.875,3.25
6,168,plural,0.016845703125,25.25,29.375,-4.125
6,171,singular,0.0001354217529296875,30.75,21.125,9.625
6,172,plural,0.019287109375,24.75,28.75,-4.0
6,173,singular,0.00469970703125,28.625,23.125,5.5
6,174,plural,0.013427734375,24.0,28.375,-4.375
6,175,singular,0.0072021484375,29.125,23.625,5.5
6,176,plural,3.504753112792969e-05,17.75,33.75,-16.0
6,178,plural,4.0531158447265625e-05,22.25,33.25,-11.0
6,180,plural,0.000324249267578125,22.625,31.125,-8.5
7,181,singular,0.004364013671875,29.5,22.875,6.625
7,182,plural,0.0003814697265625,22.875,31.125,-8.25
7,184,plural,0.0001773834228515625,23.625,32.5,-8.875
7,187,singular,0.000255584716796875,30.75,22.125,8.625
7,188,plural,3.8623809814453125e-05,22.375,33.25,-10.875
7,189,singular,0.000762939453125,30.125,21.875,8.25
7,190,plural,0.000431060791015625,22.25,32.0,-9.75
7,191,singular,0.0057373046875,28.875,23.625,5.25
7,192,plural,0.00173187255859375,24.0,30.5,-6.5
7,194,plural,0.0712890625,26.25,28.875,-2.625
7,199,singular,6.5,22.5,29.0,-6.5
7,200,plural,0.03125,24.25,27.75,-3.5
7,201,singular,0.000789642333984375,30.375,21.375,9.0
7,203,singular,3.9577484130859375e-05,33.5,20.625,12.875
7,204,plural,0.09619140625,25.875,28.25,-2.375
7,205,singular,0.045166015625,27.375,24.25,3.125
7,206,plural,0.0001220703125,18.375,32.5,-14.125
7,207,singular,8.535385131835938e-05,31.5,21.375,10.125
7,209,singular,0.00041961669921875,31.25,21.875,9.375
7,210,plural,0.0002193450927734375,18.75,31.875,-13.125
8,212,plural,0.007415771484375,23.625,28.625,-5.0
8,213,singular,0.00177001953125,30.25,22.25,8.0
8,215,singular,0.0035247802734375,28.75,22.75,6.0
8,216,plural,0.00016021728515625,20.25,32.0,-11.75
8,217,singular,3.7670135498046875e-05,32.0,20.875,11.125
8,222,plural,9.34600830078125e-05,22.625,32.5,-9.875
8,223,singular,0.005767822265625,28.75,22.75,6.0
8,224,plural,0.00958251953125,24.75,29.625,-4.875
8,225,singular,6.866455078125e-05,31.375,21.0,10.375
8,228,plural,4.76837158203125e-05,22.5,33.25,-10.75
8,229,singular,0.0196533203125,27.875,23.875,4.0
8,230,plural,0.0400390625,25.0,28.25,-3.25
8,231,singular,0.00022983551025390625,30.375,21.375,9.0
