seed,wug_neighbors,wugs_neighbors
13696,dog|dogs|whale|貓|haunted,rabbits|roads|animals|люди|walls
14704,bird|dog|cat|houses|_cat,dogs|cats|animals|birds|lions
16790,door|doors|chairs|vase|woman,chairs|cars|cats|birds|frogs
20631,door|bird|gates|猫咪|_door,cats|doors|dogs|walls|frogs
21076,dogs|Hund|bird|dog|tablet,dogs|cats|cows|birds|kittens
21666,dog|человек|dinosaur|犬|canine,houses|rabbits|ducks|animals|cows
22305,woman|door|door|bird|Woman,birds|walls|chickens|chairs|ducks
25336,bird|собак|cats|貓|墙上,walls|doors|birds|phones|chickens
25614,-cat|gates|door|_cat|猫咪,dogs|chairs|Dogs|doors|benches
27190,dog|bird|dogs|rabbit|Dog,cats|girls|kittens|gates|kids
3032,door|chatte|Door|chair|words,trees|birds|cats|dogs|lions
31085,fences|doors|doors|door|fence,cats|trees|animals|dogs|fences
33872,chairs|Chairs|chair|walls|rooms,dogs|birds|cats|elephants|boats
36410,bird|squirrel|(cat|猫|wolf,ducks|dogs|walls|doors|birds
37722,bookstore|dog|cats|Cat|chickens,doors|cars|chickens|walls|dogs
38748,cat|bird|woman|kitten|door,birds|cats|boys|bird|animals
40900,girl|woman|_door|bird|door,trees|wolves|birds|Trees|boys
45502,cats|whales|women|cars|rats,cats|birds|chickens|words|walls
45637,fence|sheep|rabbit|fences|bird,cats|dogs|phones|Asians|mice
48126,cats|houses|veterin|cat|door,cats|chairs|girls|houses|boys
49434,dog|kitten|deer|bird|Dog,cats|dogs|girls|cars|Cats
49760,bird|door|girl|門|dog,birds|chickens|dogs|eggs|gates
52072,(cat|cat|Whale|cats|猫咪,cars|cars|cats|wolves|fences
53475,貓|bird|猫|cats|猫咪,dogs|birds|rats|books|trees
54321,woman|bird|walls|shark|sheep,cats|chairs|birds|cars|gates
54328,dog|chimpan|cougar|woman|dolphin,rabbits|trees|birds|rocks|cars
54624,bird|Door|door|whale|Door,gates|chairs|flowers|birds|doors
5568,dogs|fence|_door|dog|road,dogs|cats|goats|lamps|cars
57024,book|books|_books|bird|phone,birds|puppies|rats|dogs|mice
59664,собак|door|dogs|dog|Door,dogs|rabbits|birds|cars|books
61396,woman|fox|houses|house|собак,rabbits|cats|monkeys|pigs|frogs
62492,bird|dog|birds|dog|鸟,dogs|wolves|birds|rabbits|puppies
63600,猫|cats|cat|cats|bird,birds|cars|birds|boats|books
66233,bird|walls|birds|door|gates,birds|chickens|dogs|cats|cows
6706,dog|cat|dogs|house|cats,dogs|children|kids|cats|birds
68982,puppy|dogs|dog|woman|человека,birds|animals|books|cats|gates
72268,book|.book|_book|книг|books,cows|chairs|chickens|Phones|phones
78104,dog|dogs|cat|bird|狗,trees|books|cats|doors|rooms
80644,fence|rabbit|gate|cup|房子,birds|chairs|lamps|walls|sharks
82432,_door|door|woman|Walls|walls,dogs|birds|wolves|cats|frogs
87383,tree|Gar|.room|_door|-room,cows|cats|birds|rats|spiders
88409,dogs|Door|cows|door|Door,cars|birds|books|houses|rabbits
89452,cat|bird|doors|kitten|cats,cats|dogs|books|boats|birds
90770,panda|_door|door|_cat|Door,rats|gates|lions|dogs|chairs
91964,bird|dogs|birds|rabbit|dog,cars|birds|trees|children|rats
93156,cats|cat|kitten|_door|door,chairs|cats|cars|phones|rats
93400,tree|Doors|doors|bowls|bowl,fence|chairs|birds|dogs|gates
95660,chicken|dogs|puppy|puppies|Trees,birds|dogs|whales|cats|puppies
96115,fence|dogs|dog|woman|Door,cats|trees|chairs|dogs|birds
96684,dog|elephant|door|bird|Door,chairs|dogs|cats|cows|birds
