movement,type,number
0.1017945185303688,wug,sg
0.031410783529281616,wug,sg
0.06470752507448196,wug,sg
0.09931211918592453,wug,sg
0.07442770898342133,wug,sg
0.07747522741556168,wug,sg
0.027166172862052917,wug,sg
0.004367657005786896,wug,sg
0.027935821563005447,wug,sg
0.11050460487604141,wug,sg
0.07262197881937027,wug,sg
0.12445327639579773,wug,sg
0.09201347082853317,wug,sg
0.033096715807914734,wug,sg
0.0843610167503357,wug,sg
0.12020133435726166,wug,sg
0.07462359219789505,wug,sg
0.07287474721670151,wug,sg
0.019208058714866638,wug,sg
0.047309696674346924,wug,sg
0.01246081292629242,wug,sg
0.08461807668209076,wug,sg
0.10585860162973404,wug,sg
0.028048589825630188,wug,sg
0.07027684897184372,wug,sg
0.1378697156906128,wug,sg
0.043358854949474335,wug,sg
0.10738573223352432,wug,sg
0.08060958981513977,wug,sg
0.03127796947956085,wug,sg
0.07339948415756226,wug,sg
0.10681299865245819,wug,sg
0.043614938855171204,wug,sg
0.13627184927463531,wug,sg
0.038912199437618256,wug,sg
0.11225499957799911,wug,sg
0.04223684221506119,wug,sg
0.038607724010944366,wug,sg
0.07660426199436188,wug,sg
0.04087480902671814,wug,sg
0.046472400426864624,wug,sg
0.06423646956682205,wug,sg
0.07044721394777298,wug,sg
0.11081135272979736,wug,sg
0.0880904570221901,wug,sg
0.05855493247509003,wug,sg
0.06603066623210907,wug,sg
0.11599591374397278,wug,sg
0.018626850098371506,wug,sg
0.08169223368167877,wugs,pl
0.03351182863116264,wugs,pl
0.05877821519970894,wugs,pl
0.0727556049823761,wugs,pl
0.0690598413348198,wugs,pl
0.059861838817596436,wugs,pl
0.025232959538698196,wugs,pl
0.01694566197693348,wugs,pl
0.03014860302209854,wugs,pl
0.08969925343990326,wugs,pl
0.06410115957260132,wugs,pl
0.08644668757915497,wugs,pl
0.08135347813367844,wugs,pl
0.02600511536002159,wugs,pl
0.07859133183956146,wugs,pl
0.09230263531208038,wugs,pl
0.06736955046653748,wugs,pl
0.07263872027397156,wugs,pl
0.019869007170200348,wugs,pl
0.0561501607298851,wugs,pl
0.016589462757110596,wugs,pl
0.07676952332258224,wugs,pl
0.07558578252792358,wugs,pl
0.03559701889753342,wugs,pl
0.05951613932847977,wugs,pl
0.10554572939872742,wugs,pl
0.052447360008955,wugs,pl
0.08237646520137787,wugs,pl
0.06684255599975586,wugs,pl
0.034739941358566284,wugs,pl
0.06490281969308853,wugs,pl
0.09344927966594696,wugs,pl
0.05224768817424774,wugs,pl
0.09465524554252625,wugs,pl
0.039690133184194565,wugs,pl
0.076454296708107,wugs,pl
0.048785194754600525,wugs,pl
0.04601927846670151,wugs,pl
0.06252402812242508,wugs,pl
0.03605296462774277,wugs,pl
0.04798688367009163,wugs,pl
0.05623692646622658,wugs,pl
0.060325466096401215,wugs,pl
0.08789564669132233,wugs,pl
0.08819393068552017,wugs,pl
0.056412167847156525,wugs,pl
0.061707451939582825,wugs,pl
0.07910233736038208,wugs,pl
0.018583815544843674,wugs,pl
