epoch,global_step,phase,token_ce,logit_wug,logit_wugs,logit_gap
1,1,singular,4.78125,19.375,8.25,11.125
1,3,singular,0.1171875,23.875,7.90625,15.96875
1,5,singular,3.5625,21.375,6.59375,14.78125
1,7,singular,0.02197265625,25.375,4.9375,20.4375
1,8,plural,21.0,26.75,5.71875,21.03125
1,10,plural,15.75,24.0,9.75,14.25
1,11,singular,7.28125,20.25,10.5625,9.6875
1,12,plural,11.75,24.75,13.0625,11.6875
1,14,plural,7.90625,24.375,16.75,7.625
1,16,plural,5.40625,18.125,18.25,-0.125
1,17,singular,2.15625,20.875,20.875,0.0
1,18,plural,5.4375,25.5,20.125,5.375
1,20,plural,0.296875,20.125,23.5,-3.375
1,21,singular,3.78125,19.625,22.75,-3.125
1,22,plural,6.78125,23.75,20.625,3.125
1,23,singular,0.3046875,25.375,23.5,1.875
1,26,plural,0.390625,22.25,24.625,-2.375
1,27,singular,0.56640625,24.75,22.75,2.0
1,29,singular,0.59375,24.0,23.5,0.5
1,30,plural,3.421875,27.25,23.875,3.375
2,33,singular,0.1298828125,27.125,24.875,2.25
2,34,plural,0.1240234375,24.25,26.75,-2.5
2,35,singular,0.98828125,23.875,24.25,-0.375
2,37,singular,0.007476806640625,29.0,21.625,7.375
2,38,plural,3.671875,27.75,24.875,2.875
2,39,singular,0.76953125,26.5,26.625,-0.125
2,42,plural,0.3984375,25.625,26.375,-0.75
2,44,plural,0.027099609375,24.25,28.0,-3.75
2,45,singular,0.1513671875,27.75,25.5,2.25
2,47,singular,0.028076171875,28.125,23.5,4.625
2,48,plural,0.0299072265625,22.375,26.375,-4.0
2,49,singular,2.015625,26.125,26.375,-0.25
2,50,plural,0.58203125,26.75,27.0,-0.25
2,53,singular,3.90625,22.625,26.5,-3.875
2,54,plural,4.28125,29.375,25.125,4.25
2,55,singular,0.01165771484375,28.875,24.25,4.625
2,56,plural,2.9375,30.375,27.5,2.875
2,58,plural,0.000274658203125,22.375,31.25,-8.875
2,59,singular,2.9375,23.75,26.625,-2.875
2,60,plural,0.388671875,28.375,29.125,-0.75
