epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.48799505829811096,0.1712351143360138,76.11953125,69.41866811116536,1.453125,1.453125,1.4494974613189697,1.953125,0.09228515625, walls |  hips |  buildings |  doors |  cars, dogs |  rats |  girls |  cats |  chickens,0.40336135029792786,0.7815126180648804,0.02521008439362049
2,,1.2505146265029907,0.009257888421416283,33.22630208333333,33.09990234375,1.4453125,1.453125,1.4494974613189697,1.9765625,0.07421875, walls |  hips |  buildings |  doors |  Towers, dogs |  rats |  girls |  cats |  chickens,0.424369752407074,0.7647058963775635,0.08403361588716507
3,,0.19904038310050964,0.01389242708683014,26.95706075032552,26.480692545572918,1.453125,1.4453125,1.4494974613189697,2.0,0.044189453125, walls |  hips |  doors |  buildings |  wrist, dogs |  girls |  rats |  cats |  birds,0.4453781545162201,0.7983193397521973,0.09243697673082352
4,,0.3229900896549225,0.0049249595031142235,17.234912109375,16.93890635172526,1.4453125,1.4453125,1.4494974613189697,2.03125,0.0155029296875, walls |  hips |  doors |  wrist |  buildings, dogs |  girls |  cats |  rats |  birds,0.5126050710678101,0.7647058963775635,0.26050421595573425
5,,0.4860798418521881,0.0023283041082322598,16.787568283081054,16.63782958984375,1.453125,1.4453125,1.4494974613189697,2.0625,-0.007781982421875, walls |  hips |  doors |  wrist |  Walls, dogs |  cats |  girls |  rats |  birds,0.5042017102241516,0.6722689270973206,0.3361344635486603
6,,0.041274383664131165,0.02506501041352749,13.741663656632106,13.578649648030598,1.4453125,1.453125,1.4494974613189697,2.0625,-0.0191650390625, walls |  hips |  wrist |  doors |  Walls, dogs |  girls |  cats |  rats |  birds,0.5252100825309753,0.6470588445663452,0.40336135029792786
7,,0.08220738917589188,0.1606375128030777,9.703041585286458,9.859633127848307,1.4453125,1.453125,1.4494974613189697,2.09375,-0.03515625, walls |  hips |  wrist |  doors |  Walls, dogs |  girls |  cats |  birds |  rats,0.5126050710678101,0.5126050710678101,0.5126050710678101
8,,0.3338325619697571,0.000731878390070051,10.924988047281902,9.805592854817709,1.4453125,1.453125,1.4494974613189697,2.109375,-0.055419921875, walls |  wrist |  hips |  doors |  Walls, dogs |  girls |  cats |  birds |  rats,0.5168067216873169,0.5966386795043945,0.43697479367256165
9,,1.038425326347351,0.00017920960090123117,11.236073048909505,10.917220385869344,1.453125,1.4453125,1.4494974613189697,2.125,-0.08056640625, walls |  wrist |  hips |  Walls |  doors, dogs |  girls |  cats |  birds |  rats,0.5,0.5798319578170776,0.42016807198524475
10,,1.2209899425506592,3.776348603423685e-05,13.197711563110351,13.118535359700521,1.453125,1.453125,1.4494974613189697,2.15625,-0.1064453125, walls |  wrist |  hips |  Walls |  doors, dogs |  girls |  cats | 两只 |  birds,0.5420168042182922,0.5630252361297607,0.5210084319114685
11,,0.006674690637737513,0.19714374840259552,11.391617838541666,11.320998382568359,1.453125,1.453125,1.4494974613189697,2.171875,-0.12451171875, walls |  wrist |  hips |  Walls |  monster, dogs |  girls | 两只 |  cats |  birds,0.5546218752861023,0.45378151535987854,0.6554622054100037
12,,0.019946690648794174,0.004829521756619215,10.87382829984029,10.608322906494141,1.453125,1.453125,1.4494974613189697,2.1875,-0.140625, walls |  wrist |  hips |  monster |  Walls, dogs | 两只 |  girls |  birds |  cats,0.575630247592926,0.5042017102241516,0.6470588445663452
13,,6.615373422391713e-05,0.9666956663131714,2.236051813761393,2.2456353108088174,1.453125,1.4453125,1.4494974613189697,2.203125,-0.1513671875, walls |  wrist |  hips |  monster |  Walls, dogs | 两只 |  girls |  birds |  cats,0.605042040348053,0.47058823704719543,0.7394958138465881
