epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.07058120518922806,0.8128329515457153,57.65677083333333,53.18346354166667,1.4453125,1.4453125,1.4494974613189697,1.9453125,0.09765625, birds |  dogs |  elephants |  fences |  gates, cats |  trees |  birds |  dogs |  cars,0.5504201650619507,0.9327731132507324,0.16806723177433014
2,,0.5187985301017761,0.019741026684641838,29.891438802083332,29.4662109375,1.4453125,1.4453125,1.4494974613189697,1.96875,0.07958984375, birds |  cunt |  dogs |  fences |  gates, cats |  trees |  birds |  dogs |  cars,0.5252100825309753,0.8067227005958557,0.24369747936725616
3,,0.0144867654889822,0.6315351724624634,26.805448404947917,25.82198282877604,1.453125,1.4453125,1.4494974613189697,2.0,0.04931640625, cunt |  fences |  gates |  birds | Marks, cats |  birds |  trees |  dogs |  cars,0.5336134433746338,0.924369752407074,0.1428571492433548
4,,0.005802357569336891,0.2834613621234894,13.614863077799479,13.765641276041666,1.453125,1.453125,1.4494974613189697,2.015625,0.028564453125, cunt |  fences |  words |  gates | Marks, cats |  trees |  birds |  cars |  dogs,0.5546218752861023,0.8991596698760986,0.21008403599262238
5,,0.3151492774486542,0.002401968464255333,21.645250701904295,21.985545857747397,1.4453125,1.4453125,1.4494974613189697,2.046875,-0.0021820068359375, cunt | Marks |  words |  fences |  gates, cats |  birds |  trees |  cars |  dogs,0.605042040348053,0.8739495873451233,0.3361344635486603
6,,0.030240047723054886,0.2952829599380493,15.055309295654297,14.76681900024414,1.4453125,1.453125,1.4494974613189697,2.078125,-0.021728515625, cunt |  words |  fences | Marks |  bird, cats |  birds |  trees |  cars |  dogs,0.5504201650619507,0.8403361439704895,0.26050421595573425
7,,0.008411673828959465,0.4357929825782776,9.370052083333333,9.230028279622395,1.4453125,1.453125,1.4494974613189697,2.09375,-0.03662109375, cunt | Marks |  fences |  words |  gates, cats |  birds |  cars |  dogs |  trees,0.5966386795043945,0.7731092572212219,0.42016807198524475
8,,0.009569206275045872,0.10662797838449478,9.210942415396373,9.137561543782551,1.453125,1.453125,1.4494974613189697,2.109375,-0.064453125, cunt |  words | Marks |  fences |  Creature, cats |  birds |  cars |  trees |  dogs,0.668067216873169,0.8403361439704895,0.4957983195781708
9,,0.06404908746480942,0.012384994886815548,4.179329993203282,4.142902628580729,1.4453125,1.453125,1.4494974613189697,2.140625,-0.091796875, cunt | Marks |  words |  fences |  Creature, cats |  birds |  cars |  trees |  dogs,0.668067216873169,0.8739495873451233,0.462184876203537
10,,0.002590253483504057,0.08945108950138092,8.038989953200023,7.936774571736653,1.453125,1.453125,1.4494974613189697,2.15625,-0.10205078125, cunt | Marks |  fences |  creature |  words, birds |  cats |  cars |  trees |  dogs,0.7058823704719543,0.7899159789085388,0.6218487620353699
11,,0.0028584590181708336,0.10362845659255981,7.920888264973958,7.977058744430542,1.4453125,1.4453125,1.4494974613189697,2.171875,-0.11962890625, cunt | Marks |  creature |  fences | reature, birds |  cats |  cars |  trees |  dogs,0.7142857313156128,0.7478991746902466,0.680672287940979
12,,6.376816600095481e-05,1.0835096836090088,12.166817796230315,11.904137547810873,1.4453125,1.453125,1.4494974613189697,2.1875,-0.1396484375, cunt |  creature | reature |  Creature |  fences, birds |  cats |  cars |  trees |  dogs,0.7058823704719543,0.5882353186607361,0.8235294222831726
13,,0.03360171243548393,0.00287190405651927,6.181839338938395,6.33643544514974,1.453125,1.453125,1.4494974613189697,2.203125,-0.146484375, cunt | Marks |  creature | reature |  fences, cats |  birds |  cars |  trees |  dogs,0.7647058963775635,0.8823529481887817,0.6470588445663452
14,,0.010385479778051376,0.11574117094278336,5.007233301798503,5.193742036819458,1.453125,1.453125,1.4494974613189697,2.234375,-0.177734375, cunt |  creature | Marks | reature |  Creature, cats |  birds |  cars |  dogs |  trees,0.819327712059021,0.831932783126831,0.8067227005958557
