epoch,global_step,phase,token_ce,logit_wug,logit_wugs,logit_gap
1,1,singular,23.375,4.71875,27.0,-22.28125
1,2,plural,4.34375,8.375,23.375,-15.0
1,3,singular,28.125,4.15625,30.375,-26.21875
1,4,plural,3.78125,13.5625,23.5,-9.9375
1,5,singular,19.875,6.125,25.625,-19.5
1,6,plural,7.15625,13.4375,27.375,-13.9375
1,7,singular,17.875,8.125,25.125,-17.0
1,8,plural,3.0625,16.5,28.75,-12.25
1,9,singular,18.25,13.4375,31.625,-18.1875
1,10,plural,2.015625,15.5625,23.25,-7.6875
1,11,singular,11.8125,14.75,24.5,-9.75
1,12,plural,1.2890625,21.625,26.75,-5.125
1,13,singular,8.4375,19.0,27.375,-8.375
1,14,plural,0.007171630859375,17.125,33.0,-15.875
1,15,singular,5.59375,23.75,29.125,-5.375
1,16,plural,0.00445556640625,21.25,29.25,-8.0
1,17,singular,8.875,19.25,23.375,-4.125
1,18,plural,1.4453125,24.125,24.625,-0.5
1,19,singular,20.625,6.03125,15.125,-9.09375
1,20,plural,6.875,32.75,25.875,6.875
1,21,singular,7.40625,17.25,23.875,-6.625
1,22,plural,0.01953125,19.625,27.75,-8.125
1,23,singular,7.34375,16.75,16.75,0.0
1,24,plural,4.03125,22.25,27.625,-5.375
1,25,singular,9.625,16.375,23.25,-6.875
1,26,plural,0.00360107421875,21.25,29.5,-8.25
1,27,singular,1.84375,27.0,27.375,-0.375
1,28,plural,0.365234375,31.0,31.875,-0.875
1,29,singular,4.03125,19.625,18.75,0.875
1,30,plural,0.00396728515625,23.875,30.375,-6.5
2,31,singular,2.21875,24.375,26.25,-1.875
2,32,plural,0.90625,32.25,31.875,0.375
2,33,singular,0.03955078125,31.5,26.5,5.0
2,34,plural,0.0030975341796875,23.875,30.625,-6.75
2,35,singular,0.02978515625,29.625,25.5,4.125
2,36,plural,0.02978515625,30.0,33.5,-3.5
2,37,singular,0.062255859375,35.5,32.75,2.75
2,38,plural,0.00579833984375,29.375,37.0,-7.625
2,39,singular,0.0107421875,28.625,17.5,11.125
2,40,plural,0.578125,26.375,26.875,-0.5
2,41,singular,3.65625,30.5,34.0,-3.5
2,42,plural,0.043701171875,26.125,34.75,-8.625
2,43,singular,0.051513671875,28.875,19.375,9.5
2,44,plural,10.875,39.75,28.875,10.875
2,45,singular,4.0625,22.625,17.625,5.0
2,46,plural,0.006988525390625,27.0,32.0,-5.0
2,47,singular,0.0005645751953125,35.0,27.125,7.875
2,48,plural,0.0032958984375,30.5,36.25,-5.75
2,49,singular,0.14453125,30.875,29.0,1.875
2,50,plural,0.031494140625,28.375,31.875,-3.5
2,51,singular,0.00732421875,33.5,27.0,6.5
2,52,plural,0.00154876708984375,31.5,38.0,-6.5
2,53,singular,0.00048065185546875,32.0,23.125,8.875
2,54,plural,0.0005645751953125,27.5,42.0,-14.5
2,55,singular,2.125,34.5,36.5,-2.0
2,56,plural,13.875,42.0,28.125,13.875
2,57,singular,0.00689697265625,28.625,19.125,9.5
2,58,plural,0.38671875,35.0,35.75,-0.75
2,59,singular,5.75,32.5,38.25,-5.75
2,60,plural,0.5234375,29.875,30.25,-0.375
3,61,singular,0.0654296875,29.375,17.125,12.25
3,62,plural,0.0022430419921875,27.375,33.5,-6.125
3,63,singular,0.003448486328125,32.75,27.0,5.75
3,64,plural,0.004302978515625,27.25,32.75,-5.5
3,65,singular,0.00194549560546875,38.5,32.25,6.25
3,66,plural,6.25,38.5,32.25,6.25
3,67,singular,0.06787109375,31.75,28.625,3.125
3,68,plural,0.00012493133544921875,25.0,34.25,-9.25
3,69,singular,0.031494140625,32.5,28.375,4.125
3,70,plural,0.0001239776611328125,28.75,37.75,-9.0
3,71,singular,0.0084228515625,33.5,28.625,4.875
3,72,plural,0.0001659393310546875,28.125,40.5,-12.375
3,73,singular,0.005462646484375,29.375,21.5,7.875
3,74,plural,0.00026702880859375,31.5,39.75,-8.25
3,75,singular,8.25,31.5,39.75,-8.25
3,76,plural,0.353515625,29.75,30.625,-0.875
3,77,singular,0.1005859375,27.875,25.0,2.875
3,78,plural,7.0,39.0,32.0,7.0
3,79,singular,0.15234375,29.875,28.0,1.875
3,80,plural,7.62939453125e-05,25.75,44.0,-18.25
3,81,singular,0.022705078125,27.5,21.25,6.25
3,82,plural,0.0107421875,25.625,30.625,-5.0
3,83,singular,0.004791259765625,30.75,25.125,5.625
3,84,plural,0.00014972686767578125,29.125,38.25,-9.125
3,85,singular,7.0,32.0,39.0,-7.0
3,86,plural,0.003662109375,26.5,37.25,-10.75
3,87,singular,0.00182342529296875,32.25,21.125,11.125
3,88,plural,0.004150390625,32.25,37.75,-5.5
3,89,singular,0.000583648681640625,39.5,27.25,12.25
3,90,plural,0.049072265625,32.0,35.0,-3.0
4,91,singular,0.00023651123046875,39.75,31.375,8.375
4,92,plural,0.0019683837890625,32.0,38.25,-6.25
4,93,singular,6.818771362304688e-05,33.75,22.125,11.625
4,94,plural,8.375,39.75,31.375,8.375
4,95,singular,0.181640625,28.0,25.375,2.625
4,96,plural,0.000232696533203125,24.0,40.0,-16.0
4,97,singular,1.140625,29.875,30.625,-0.75
4,98,plural,0.0001621246337890625,26.75,43.25,-16.5
4,99,singular,0.01165771484375,31.125,17.375,13.75
4,100,plural,0.00225830078125,30.625,36.75,-6.125
4,101,singular,0.000667572021484375,35.75,25.875,9.875
4,102,plural,0.0018463134765625,30.625,37.0,-6.375
4,103,singular,4.1484832763671875e-05,37.0,26.0,11.0
4,104,plural,0.003173828125,30.75,36.5,-5.75
4,105,singular,0.00469970703125,37.5,29.75,7.75
4,106,plural,0.000827789306640625,27.375,34.5,-7.125
4,107,singular,0.00013637542724609375,33.0,19.0,14.0
4,108,plural,0.0032806396484375,27.25,33.0,-5.75
4,109,singular,0.000675201416015625,35.5,25.75,9.75
4,110,plural,0.010498046875,28.125,32.75,-4.625
4,111,singular,3.53125,34.0,37.5,-3.5
4,112,plural,16.375,44.0,27.625,16.375
4,113,singular,0.006683349609375,30.125,23.625,6.5
4,114,plural,0.00115966796875,30.375,38.75,-8.375
4,115,singular,0.0001316070556640625,34.5,23.875,10.625
4,116,plural,0.97265625,36.0,35.5,0.5
4,117,singular,10.375,30.625,41.0,-10.375
4,118,plural,0.0184326171875,28.5,32.5,-4.0
4,119,singular,0.0003871917724609375,31.5,18.25,13.25
4,120,plural,0.84765625,28.375,28.125,0.25
5,121,singular,0.00115203857421875,35.25,26.375,8.875
5,122,plural,0.0003814697265625,29.625,37.5,-7.875
5,123,singular,0.002777099609375,38.0,29.375,8.625
5,124,plural,0.00016880035400390625,28.75,40.5,-11.75
5,125,singular,0.000675201416015625,33.25,21.875,11.375
5,126,plural,0.0003833770751953125,24.625,39.5,-14.875
5,127,singular,0.00136566162109375,30.25,19.5,10.75
5,128,plural,0.003204345703125,25.0,31.5,-6.5
5,129,singular,0.09326171875,28.25,25.5,2.75
5,130,plural,2.8125,37.25,34.5,2.75
5,131,singular,0.0023193359375,30.25,21.75,8.5
5,132,plural,5.960464477539062e-07,28.5,43.25,-14.75
5,133,singular,14.75,28.5,43.25,-14.75
5,134,plural,0.0003662109375,26.75,34.75,-8.0
5,135,singular,0.00011110305786132812,33.5,23.25,10.25
5,136,plural,0.000499725341796875,30.0,37.75,-7.75
5,137,singular,0.01025390625,31.25,17.5,13.75
5,138,plural,1.5,36.5,35.25,1.25
5,139,singular,0.00390625,34.5,28.875,5.625
5,140,plural,6.628036499023438e-05,25.25,35.75,-10.5
5,141,singular,12.125,29.875,42.0,-12.125
5,142,plural,0.0004444122314453125,27.25,35.0,-7.75
5,143,singular,0.000675201416015625,35.5,25.75,9.75
5,144,plural,0.000125885009765625,27.0,43.5,-16.5
5,145,singular,0.06201171875,37.25,34.5,2.75
5,146,plural,0.001373291015625,30.625,37.25,-6.625
5,147,singular,0.00013828277587890625,34.5,24.125,10.375
5,148,plural,0.000720977783203125,32.25,39.5,-7.25
5,149,singular,0.00063323974609375,34.0,26.5,7.5
5,150,plural,0.0010833740234375,26.875,33.75,-6.875
6,151,singular,0.01422119140625,38.0,33.75,4.25
6,152,plural,0.00176239013671875,30.625,37.0,-6.375
6,153,singular,0.0126953125,29.75,24.5,5.25
6,154,plural,4.25,38.0,33.75,4.25
6,155,singular,0.6328125,30.375,30.25,0.125
6,156,plural,6.4849853515625e-05,29.0,39.0,-10.0
6,157,singular,0.06005859375,35.5,32.0,3.5
6,158,plural,4.172325134277344e-05,30.875,41.0,-10.125
6,159,singular,10.125,30.875,41.0,-10.125
6,160,plural,0.003631591796875,28.375,34.0,-5.625
6,161,singular,0.00139617919921875,33.25,15.8125,17.4375
6,162,plural,0.00775146484375,28.375,33.25,-4.875
6,163,singular,1.1205673217773438e-05,35.5,21.625,13.875
6,164,plural,0.4765625,30.375,30.875,-0.5
6,165,singular,0.02978515625,37.75,34.25,3.5
6,166,plural,0.00070953369140625,30.25,37.5,-7.25
6,167,singular,0.0002384185791015625,36.75,25.5,11.25
6,168,plural,0.0002994537353515625,24.875,39.75,-14.875
6,169,singular,0.00024127960205078125,36.5,25.375,11.125
6,170,plural,0.00017642974853515625,29.375,40.5,-11.125
6,171,singular,8.0108642578125e-05,35.0,23.875,11.125
6,172,plural,4.03125,38.0,34.0,4.0
6,173,singular,0.0078125,28.625,21.75,6.875
6,174,plural,1.7881393432617188e-06,23.0,47.75,-24.75
6,175,singular,0.005523681640625,34.5,29.25,5.25
6,176,plural,3.5762786865234375e-07,28.375,43.5,-15.125
6,177,singular,0.01165771484375,30.75,25.125,5.625
6,178,plural,0.0003795623779296875,23.875,33.25,-9.375
6,179,singular,0.000949859619140625,31.125,21.5,9.625
6,180,plural,8.463859558105469e-06,24.375,36.5,-12.125
7,181,singular,0.014404296875,33.5,28.75,4.75
7,182,plural,5.7220458984375e-06,24.625,37.25,-12.625
7,183,singular,0.0008392333984375,31.25,21.5,9.75
7,184,plural,4.172325134277344e-06,27.5,40.5,-13.0
7,185,singular,0.00799560546875,32.0,27.0,5.0
7,186,plural,8.344650268554688e-07,28.875,43.25,-14.375
7,187,singular,14.375,28.875,43.25,-14.375
7,188,plural,0.003326416015625,31.25,37.0,-5.75
7,189,singular,3.790855407714844e-05,35.75,25.125,10.625
7,190,plural,0.002471923828125,27.625,33.75,-6.125
7,191,singular,0.0024871826171875,39.0,33.0,6.0
7,192,plural,0.0002079010009765625,27.625,43.0,-15.375
7,193,singular,4.267692565917969e-05,36.0,20.125,15.875
7,194,plural,0.000492095947265625,25.375,39.25,-13.875
7,195,singular,0.00013065338134765625,41.0,27.375,13.625
7,196,plural,0.001190185546875,28.0,34.75,-6.75
7,197,singular,1.4901161193847656e-05,35.25,22.0,13.25
7,198,plural,0.0021820068359375,30.875,37.0,-6.125
7,199,singular,0.0037994384765625,30.75,23.875,6.875
7,200,plural,0.00194549560546875,33.0,39.25,-6.25
7,201,singular,0.00011014938354492188,37.25,24.625,12.625
7,202,plural,0.001373291015625,27.125,33.75,-6.625
7,203,singular,1.0728836059570312e-06,40.25,23.625,16.625
7,204,plural,6.0,39.0,33.0,6.0
7,205,singular,0.0654296875,29.375,20.0,9.375
7,206,plural,4.76837158203125e-07,28.75,43.5,-14.75
7,207,singular,0.0020294189453125,30.0,21.875,8.125
7,208,plural,2.86102294921875e-06,25.5,44.5,-19.0
7,209,singular,14.75,28.75,43.5,-14.75
7,210,plural,0.01007080078125,26.25,31.125,-4.875
