epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.761717556790609,0.933029055595398,0.027039360255002975,82.06336847941081,73.23264943361282,1.484375,1.5,1.4494974613189697,2.015625,0.08154296875, houses |  fox |  woman |  rabbits |  toddlers, rabbits |  monkeys |  cats |  pigs |  frogs,0.9033613204956055,0.9159663915634155,0.8907563090324402
2,0.4899597888059664,0.9067522883415222,0.023734519258141518,23.970552698771158,18.768801307678224,1.5,1.5078125,1.4494974613189697,2.046875,0.07763671875, houses |  fox |  woman |  rabbits |  toddlers, rabbits |  monkeys |  cats |  pigs |  mice,0.9117646813392639,0.924369752407074,0.8991596698760986
3,1.0774355852299748,2.130051612854004,5.540741403819993e-05,25.52771338224411,25.599508448441824,1.4921875,1.5234375,1.4494974613189697,2.0625,0.07080078125, houses |  fox |  woman |  rabbits |  house, rabbits |  cats |  monkeys |  pigs |  frogs,0.8529411554336548,0.7058823704719543,1.0
4,1.4005435433228626,0.006769528612494469,0.755122721195221,27.066526775093127,26.173204326629637,1.5078125,1.515625,1.4494974613189697,2.0625,0.07177734375, fox |  houses |  woman |  rabbits |  house, rabbits |  monkeys |  cats |  pigs |  frogs,0.9201680421829224,0.8907563090324402,0.9495798349380493
5,1.0297343861316979,0.00026305895880796015,1.5538341999053955,26.06406743178765,26.019947792341313,1.515625,1.5078125,1.4494974613189697,2.0625,0.0673828125, fox |  houses |  woman |  rabbits |  house, rabbits |  monkeys |  cats |  pigs |  frogs,0.9117646813392639,0.9747899174690247,0.848739504814148
6,1.234550761204192,1.655515432357788,0.00017894025950226933,25.902422861599675,25.88169228633245,1.5078125,1.5234375,1.4494974613189697,2.078125,0.06640625, fox |  houses |  woman |  rabbits |  house, rabbits |  cats |  monkeys |  pigs |  birds,0.9201680421829224,0.8907563090324402,0.9495798349380493
7,1.3852791064266283,0.007952668704092503,0.6589726805686951,25.791542450586956,25.74255180557569,1.515625,1.515625,1.4494974613189697,2.0625,0.06787109375, fox |  woman |  houses |  rabbits |  house, rabbits |  cats |  monkeys |  pigs |  frogs,0.924369752407074,0.9411764740943909,0.9075630307197571
8,0.7440295024654582,1.952510952949524,0.00022405586787499487,17.905607175889113,17.899027995268504,1.515625,1.5234375,1.4494974613189697,2.09375,0.059326171875, woman |  fox |  houses |  rabbits | 小女孩, rabbits |  cats |  monkeys |  pigs |  wolves,0.9201680421829224,0.8823529481887817,0.9579831957817078
9,0.32798200055668664,0.00013835501158609986,2.2008607387542725,6.829864143393934,6.8614891290664675,1.53125,1.5234375,1.4494974613189697,2.09375,0.052490234375, woman |  fox |  houses |  house |  rabbits, rabbits |  monkeys |  cats |  pigs |  frogs,0.9285714030265808,0.9579831957817078,0.8991596698760986
10,0.37374741143085305,1.9022469520568848,4.631227784557268e-05,6.224111765138029,6.155293991257592,1.5234375,1.5390625,1.4494974613189697,2.109375,0.048828125, woman |  fox |  houses |  house |  собак, rabbits |  cats |  monkeys |  wolves |  pigs,0.924369752407074,0.8991596698760986,0.9495798349380493
11,1.7589124635073299,0.4257712662220001,0.025516565889120102,29.874442558673522,29.853381737073263,1.5234375,1.53125,1.4494974613189697,2.109375,0.05078125, woman |  fox |  houses |  house |  rabbits, rabbits |  cats |  monkeys |  pigs |  frogs,0.9327731132507324,0.9327731132507324,0.9327731132507324
12,0.7267862334816318,4.6214288886403665e-05,2.1038622856140137,16.72816735903422,16.731545628669362,1.5390625,1.5234375,1.4494974613189697,2.109375,0.049560546875, woman |  fox |  houses |  house |  собак, rabbits |  monkeys |  cats |  pigs |  frogs,0.9117646813392639,0.9663865566253662,0.8571428656578064
13,1.3193488910209246,0.01609143801033497,0.5158501863479614,20.9291660644114,20.924587927630636,1.53125,1.53125,1.4494974613189697,2.109375,0.0458984375, woman |  fox |  houses |  house |  собак, rabbits |  cats |  monkeys |  frogs |  pigs,0.9369747638702393,0.924369752407074,0.9495798349380493
