epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,3.561201796432336,0.8193138837814331,0.1022886112332344,73.40626335144043,56.18054097493489,1.4765625,1.4921875,1.4494974613189697,1.96875,0.1259765625, bird |  dog |  birds |  dogs | 鸟, dogs |  wolves |  birds |  rabbits |  pets,0.7310924530029297,0.848739504814148,0.6134454011917114
2,1.3376531665349225,1.0165972709655762,0.0032505416311323643,38.23715642293294,40.55869642893473,1.484375,1.5078125,1.4494974613189697,1.984375,0.12109375, bird |  dog |  birds |  dogs | dog, dogs |  wolves |  birds |  rabbits |  pets,0.8865545988082886,0.8991596698760986,0.8739495873451233
3,1.1748547365465887,0.0003505753702484071,1.7742960453033447,29.21397167444229,29.559130509694416,1.4921875,1.5,1.4494974613189697,1.9921875,0.11865234375, bird |  dog |  birds |  dogs | dog, dogs |  wolves |  birds |  pets |  rabbits,0.9075630307197571,0.9579831957817078,0.8571428656578064
4,0.8184040583191518,1.9940105676651,0.00011637192801572382,18.18069848616918,17.745054244995117,1.484375,1.5234375,1.4494974613189697,2.0,0.111328125, bird |  dog |  birds | dog |  dogs, dogs |  wolves |  birds |  rabbits |  puppies,0.9033613204956055,0.8571428656578064,0.9495798349380493
5,0.8026518779002231,0.0001385971117997542,2.1068785190582275,17.134718133904972,17.14824821949005,1.5,1.5078125,1.4494974613189697,2.015625,0.109375, bird |  dog |  birds | dog | 鸟, dogs |  wolves |  birds |  rabbits |  pets,0.894957959651947,0.9579831957817078,0.831932783126831
6,1.2160105893836166,2.902255619119387e-05,1.9943420886993408,21.775688870499533,21.665933307011922,1.5078125,1.5078125,1.4494974613189697,2.015625,0.10400390625, bird |  dog |  birds | dog |  dogs, dogs |  wolves |  birds |  rabbits |  pets,0.9075630307197571,0.9579831957817078,0.8571428656578064
7,0.9031567477119912,2.0526368618011475,6.922240572748706e-05,15.97846243729194,15.994712162017823,1.5,1.53125,1.4494974613189697,2.03125,0.0986328125, bird |  dog |  birds | dog | 鸟, dogs |  wolves |  birds |  puppies |  rabbits,0.9033613204956055,0.8571428656578064,0.9495798349380493
8,0.6764879328033544,1.7761951684951782,0.00013591298193205148,10.563191263035211,10.521685113509497,1.5,1.53125,1.4494974613189697,2.03125,0.09716796875, bird |  dog |  birds | dog | 鸟, dogs |  wolves |  birds |  puppies |  rabbits,0.9159663915634155,0.8823529481887817,0.9495798349380493
9,1.2044635596061994,1.8575854301452637,3.0969109502620995e-05,21.954528639740964,21.98592020024856,1.5,1.53125,1.4494974613189697,2.046875,0.09375, bird |  dog |  birds | dog | 鸟, dogs |  wolves |  birds |  puppies |  rabbits,0.8823529481887817,0.8067227005958557,0.9579831957817078
10,1.3412130033972962,0.00011983190779574215,1.5507400035858154,26.396451343658068,26.380182109276454,1.515625,1.515625,1.4494974613189697,2.046875,0.09326171875, bird |  dog |  birds | dog | 鸟, dogs |  wolves |  birds |  rabbits |  puppies,0.9033613204956055,0.9579831957817078,0.848739504814148
11,0.7142055171409804,0.0006718852091580629,1.1510738134384155,10.595594074335562,10.492446009318034,1.515625,1.5234375,1.4494974613189697,2.046875,0.0908203125, bird |  dog |  birds | dog | 鸟, dogs |  wolves |  birds |  rabbits |  puppies,0.9201680421829224,0.9579831957817078,0.8823529481887817
