epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.03516602888703346,0.17144793272018433,51.28789319992065,51.988834635416666,1.0859375,1.078125,1.0794202089309692,1.421875,0.1357421875,봽 | 쏩 | 쫏 | 뜅 | 겙, |  | ﱀ | ﰿ | 훍,0.48739495873451233,0.15126051008701324,0.8235294222831726
2,,0.059475887566804886,0.5389984846115112,20.140152994791666,20.825142415364585,1.078125,1.078125,1.0794202089309692,1.4453125,0.1044921875,봽 | 쫏 | 쏩 |  | , |  | 훍 | ﱀ | ﰿ,0.5378151535987854,0.2857142984867096,0.7899159789085388
3,,0.03728251904249191,0.006639068480581045,24.211046222845713,24.233296712239582,1.078125,1.078125,1.0794202089309692,1.46875,0.07373046875,봽 | 쫏 | 쏩 |  | , |  | 훍 | ﰿ | 훓,0.5252100825309753,0.07563025504350662,0.9747899174690247
4,,0.00010209224274149165,0.6379711031913757,4.208917236328125,4.517862129211426,1.078125,1.078125,1.0794202089309692,1.5,0.040771484375,봽 | 쫏 | 쏩 |  | , |  | 훍 | ﱀ | 튄,0.6386554837226868,0.529411792755127,0.7478991746902466
5,,0.0008526473538950086,0.14494900405406952,15.956847564379375,16.078935782114666,1.078125,1.078125,1.0794202089309692,1.546875,-0.0250244140625,봽 | 쫏 | 쏩 | 뜅 | ﭰ, |  | 튄 | 훓 |  cats,0.680672287940979,0.3949579894542694,0.9663865566253662
6,,0.10293872654438019,0.006655017379671335,9.556870588609794,9.233391823867956,1.078125,1.078125,1.0794202089309692,1.5703125,-0.0634765625,봽 | 쫏 | 쏩 | 𐱅 | , |  | 훓 | 튽 | ﴀ,0.6218487620353699,0.2521008551120758,0.9915966391563416
7,,0.0014126866590231657,0.005076794419437647,9.792643937592706,9.951727731525898,1.078125,1.078125,1.0794202089309692,1.59375,-0.091796875,봽 | 쫏 | 쏩 | 𐱅 | , |  |  twins |  cats | 훓,0.6932772994041443,0.40336135029792786,0.9831932783126831
8,,0.0036334730684757233,0.0016365216579288244,0.5203907708326976,0.44105597933133445,1.078125,1.078125,1.0794202089309692,1.59375,-0.091796875,봽 | 쫏 | 쏩 | 𐱅 | 굄, |  |  twins | 훓 | 튽,0.6596638560295105,0.32773110270500183,0.9915966391563416
9,,0.0001009670813800767,0.0031471780966967344,0.11094236796100934,0.10431491906444232,1.078125,1.078125,1.0794202089309692,1.59375,-0.09521484375,봽 | 쫏 | 쏩 | 𐱅 | 𐰰, |  |  twins |  cats | 💏,0.743697464466095,0.529411792755127,0.9579831957817078
10,,0.0020908531732857227,0.00163484294898808,7.868193606198474,7.817829519634445,1.078125,1.078125,1.0794202089309692,1.6484375,-0.16796875,봽 | 쫏 | 𐱅 | 굄 | 쏩, twins |  |  |  cats | 💏,0.6218487620353699,0.2521008551120758,0.9915966391563416
11,,0.0010421278420835733,0.0015778153901919723,0.24605464380899017,0.20421419938405355,1.078125,1.078125,1.0794202089309692,1.6484375,-0.1708984375,쫏 | 봽 | 𐱅 | 굄 | 쏩, twins |  |  |  cats | 💏,0.6218487620353699,0.2521008551120758,0.9915966391563416
12,,0.0012705136323347688,9.838045662036166e-05,0.17604150020076,0.16314591566721598,1.078125,1.078125,1.0794202089309692,1.65625,-0.1767578125,쫏 | 봽 | 굄 | 𐱅 | 쏩, twins |  |  cats |  | 💏,0.6134454011917114,0.24369747936725616,0.9831932783126831
13,,4.219994934828719e-06,0.6291900873184204,4.705232951557264,4.580436338484287,1.078125,1.078125,1.0794202089309692,1.6875,-0.2197265625,쫏 | 봽 | 𐱅 | 굄 | , twins | 💏 | 💑 |  cats |  Twins,0.831932783126831,0.756302535533905,0.9075630307197571
