epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.2693603038787842,0.03866737335920334,55.70239054361979,62.02121381958326,1.078125,1.0859375,1.0794202089309692,1.4453125,0.1044921875,돝 |  |  | 젴 | ﰿ, |  | ꧊ | ᨪ |  beasts,0.6470588445663452,0.5210084319114685,0.7731092572212219
2,,0.0032977245282381773,0.4290129244327545,30.041129239400227,32.299153645833336,1.078125,1.078125,1.0794202089309692,1.4765625,0.06591796875,돝 |  |  | ﮰ | ﰿ, |  |  beasts | ꧊ | ᨪ,0.7983193397521973,0.9747899174690247,0.6218487620353699
3,,0.00044325520866550505,0.4005659520626068,18.43613993326823,18.42940408786138,1.078125,1.078125,1.0794202089309692,1.5,0.03466796875,돝 | ﮰ |  |  | ﭟ, |  |  horses |  beasts | ꧊,0.8445377945899963,0.9831932783126831,0.7058823704719543
4,,0.1739601492881775,0.009265951812267303,10.468174616495768,10.410946337381999,1.078125,1.078125,1.0794202089309692,1.5390625,-0.01409912109375,돝 | ﮰ | ﮈ | ﭟ | , |  |  horses |  beasts | ꧊,0.7983193397521973,0.6890756487846375,0.9075630307197571
5,,0.0018438309198245406,0.004494040738791227,10.904831631978352,10.985430653889974,1.078125,1.078125,1.0794202089309692,1.5625,-0.04345703125,돝 | ﮰ | ﮈ | ﭟ | , |  |  beasts |  horses | ꧊,0.8529411554336548,0.8403361439704895,0.8655462265014648
6,,0.0022302591241896152,0.0026312940753996372,0.33958447774251305,0.3831509033838908,1.078125,1.078125,1.0794202089309692,1.5625,-0.043701171875,돝 | ﮰ | ﮈ | ﭟ | , |  |  horses |  beasts | ꧊,0.8571428656578064,0.831932783126831,0.8823529481887817
7,,0.00018569592793937773,0.17114385962486267,4.131993953386942,4.521057241710029,1.078125,1.078125,1.0794202089309692,1.609375,-0.11181640625,돝 | ﮰ | ﭟ | 옭 | 젴, horses |  beasts | 两只 |  birds | 兩人,0.8613445162773132,0.9075630307197571,0.8151260614395142
8,,0.001903426251374185,0.00022430815442930907,1.0007397429826022,0.9227776686350505,1.078125,1.078125,1.0794202089309692,1.6171875,-0.123046875,돝 | ﮰ | ﭟ | 옭 | ﮈ, horses | 两只 |  beasts |  babies | 兩人,0.8781512379646301,0.848739504814148,0.9075630307197571
9,,0.000471312872832641,0.07157833129167557,1.4968076388069675,1.4620810508728028,1.078125,1.078125,1.0794202089309692,1.6484375,-0.169921875,돝 | ﮰ | 옭 | ﯻ | ﮈ,两位 | 两只 |  horses | 兩人 |  beasts,0.8529411554336548,0.9327731132507324,0.7731092572212219
10,,7.748590178380255e-07,0.8763774633407593,1.084406207006801,1.0505475411036362,1.078125,1.078125,1.0794202089309692,1.671875,-0.2021484375,돝 | ﮰ | ﭟ | 옭 | ﯻ,两位 | 两只 | 兩人 |  horses |  birds,0.8067227005958557,0.9411764740943909,0.6722689270973206
11,,0.0007652438944205642,0.0002162857708754018,9.784015242483052,9.64042194748763,1.078125,1.078125,1.0794202089309692,1.6953125,-0.240234375,돝 | ﮰ | ﭟ | 짊 | 옭,两只 | 两位 | 兩人 |  duo |  twins,0.8865545988082886,0.9075630307197571,0.8655462265014648
