epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,5.824465274810791,0.00018862378783524036,47.0411865234375,54.832881418863934,1.078125,1.0859375,1.0794202089309692,1.421875,0.134765625, |  | 벴 | ῟ | ꇗ, |  | 옾 | 콬 |  ładn,0.668067216873169,0.5042017102241516,0.831932783126831
2,,0.2028709352016449,0.002732888562604785,26.920747248331704,25.215433756510418,1.078125,1.078125,1.0794202089309692,1.4375,0.107421875, |  | 벴 | 꿸 | 쥑, |  |  birds | 옾 |  trees,0.7352941036224365,0.9411764740943909,0.529411792755127
3,,0.20776495337486267,0.0035315160639584064,24.366844177246094,24.622996953626473,1.078125,1.078125,1.0794202089309692,1.4921875,0.043701171875, |  | 벴 | ꇗ | ꍲ, |  |  birds |  cats |  chicks,0.8361344337463379,0.8571428656578064,0.8151260614395142
4,,0.08240517973899841,0.0015405303565785289,7.893380957081293,7.512357234954834,1.078125,1.078125,1.0794202089309692,1.5078125,0.023681640625, |  | 벴 | ꍲ | 엃, |  |  birds |  trees |  cats,0.8571428656578064,0.8991596698760986,0.8151260614395142
5,,0.1004425659775734,0.00013192409824114293,6.774748385449251,6.85054349899292,1.078125,1.078125,1.0794202089309692,1.5390625,-0.022216796875, |  | 벴 | 쉥 | 쥑, birds |  |  |  cats |  chicks,0.8151260614395142,0.680672287940979,0.9495798349380493
6,,0.10821790993213654,0.0011892926413565874,10.874904284165192,10.849124272664389,1.078125,1.078125,1.0794202089309692,1.59375,-0.0849609375, |  | 벴 | 쉥 | ﰿ, birds |  cats |  trees |  chicks | ,0.8697478771209717,0.8151260614395142,0.924369752407074
7,,0.31520384550094604,6.4241343352478e-05,10.20880939106573,10.123720282316208,1.078125,1.078125,1.0794202089309692,1.6171875,-0.126953125, |  | 쉥 | 벴 | ῟, birds |  cats |  trees |  | ,0.7815126180648804,0.5882353186607361,0.9747899174690247
8,,0.0038482495583593845,0.0005731506971642375,11.540224391337567,11.303745675086976,1.078125,1.078125,1.0794202089309692,1.640625,-0.1533203125, |  | 벴 | 쉥 | ῟, birds | 💏 | _two |  cats |  monkeys,0.8445377945899963,0.7310924530029297,0.9579831957817078
9,,0.0010627696756273508,0.0009635945898480713,0.32739888461655936,0.26223344802856446,1.078125,1.078125,1.0794202089309692,1.640625,-0.154296875, |  | 벴 | 쉥 | 🐲, birds | 💏 | _two |  cats |  monkeys,0.8781512379646301,0.831932783126831,0.924369752407074
10,,0.00023793037689756602,0.0005562828155234456,0.06101053448704382,0.045256368319193524,1.078125,1.078125,1.0794202089309692,1.640625,-0.1533203125, |  | 벴 | 🐲 | 쉥, birds | _two | 💏 |  cats |  monkeys,0.8907563090324402,0.8571428656578064,0.924369752407074
11,,4.0766251913737506e-05,0.0020250086672604084,0.046787681630182,0.043712560335795084,1.078125,1.0859375,1.0794202089309692,1.6484375,-0.166015625, |  | 벴 | 🐲 | 🐉, birds | _two |  cats | 💏 |  monkeys,0.9033613204956055,0.924369752407074,0.8823529481887817
