epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,3.2478878498077393,0.0037864651530981064,55.24499702453613,55.61142578125,1.078125,1.078125,1.0794202089309692,1.4296875,0.1279296875, |  | ייצג |  cats | 猫咪, |  | ࡐ |  chairs | ࠳,0.5042017102241516,0.10084033757448196,0.9075630307197571
2,,2.0697197914123535,0.00036647022352553904,34.696695963541664,34.97398681640625,1.078125,1.078125,1.0794202089309692,1.453125,0.09814453125, |  | ייצג | 猫咪 |  chairs, |  |  dogs |  cats |  chairs,0.5042017102241516,0.03361344709992409,0.9747899174690247
3,,1.7753366231918335,0.00011632896348601207,23.26901359769205,23.073993428548178,1.078125,1.078125,1.0794202089309692,1.4765625,0.057373046875, |  | ייצג | ᕯ | ᩋ, |  |  dogs |  cats |  chairs,0.5210084319114685,0.05882352963089943,0.9831932783126831
4,,0.015080571174621582,0.006885060574859381,18.534895833333334,18.36975529988607,1.078125,1.078125,1.0794202089309692,1.5,0.031982421875, |  | ייצג |  creature |  Walls, |  |  dogs |  cats |  chairs,0.7310924530029297,0.5462185144424438,0.9159663915634155
5,,0.0012716988567262888,0.008817215450108051,7.657049306233724,7.60616504351298,1.078125,1.078125,1.0794202089309692,1.53125,-0.005401611328125, |  | ייצג |  creature | 🐉, |  dogs |  |  cats |  birds,0.743697464466095,0.5042017102241516,0.9831932783126831
6,,0.8556557893753052,7.831976290617604e-06,0.3943351745605469,0.4664375940958659,1.078125,1.078125,1.0794202089309692,1.5390625,-0.01318359375, |  |  creature | ייצג |  Walls, |  |  dogs |  cats |  birds,0.5588235259056091,0.11764705926179886,1.0
7,,0.1416764110326767,0.0004422101774252951,19.861562846104302,19.935685857137045,1.078125,1.078125,1.0794202089309692,1.5859375,-0.08837890625,🐉 |  creature |  |  | ייצג, cats |  dogs |  birds |  | ,0.7142857313156128,0.43697479367256165,0.9915966391563416
8,,0.0029592239297926426,0.0032737706787884235,11.326056921482087,11.219328232626383,1.078125,1.078125,1.0794202089309692,1.6171875,-0.11962890625, creature | 🐉 |  |  | ייצג, dogs |  cats |  birds |  | ,0.819327712059021,0.6638655662536621,0.9747899174690247
9,,0.0012628789991140366,0.001424607471562922,0.5373438580582539,0.3602818806966146,1.078125,1.078125,1.0794202089309692,1.6171875,-0.11865234375, creature | 🐉 |  |  | ייצג, cats |  dogs |  birds |  | ,0.7899159789085388,0.5882353186607361,0.9915966391563416
10,,0.0014789811102673411,0.00036362986429594457,0.09311614322165648,0.08792947133382162,1.078125,1.078125,1.0794202089309692,1.6171875,-0.11865234375, creature | 🐉 |  |  | ייצג, cats |  dogs |  birds |  | ,0.7310924530029297,0.47058823704719543,0.9915966391563416
11,,0.6329793930053711,0.00022058335889596492,7.169102281580368,7.067800260583559,1.078125,1.078125,1.0794202089309692,1.6484375,-0.169921875, creature | 🐉 | creature |  Walls | , cats |  dogs |  birds | .two |  TWO,0.6260504126548767,0.27731093764305115,0.9747899174690247
12,,0.00010408387606730685,0.002113894559442997,2.921718826889992,2.8448858206470806,1.078125,1.0859375,1.0794202089309692,1.6640625,-0.1875, creature | 🐉 | creature |  Walls |  lizard, dogs |  cats |  birds |  TWO | .two,0.8403361439704895,0.7226890921592712,0.9579831957817078
