epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.8559282422065735,0.6354814171791077,66.40098771651586,60.022972106933594,1.078125,1.078125,1.0794202089309692,1.4296875,0.1201171875, gates |  |  | ﭺ |  fences, |  |  cats | ﲋ | 햤,0.5252100825309753,0.2689075767993927,0.7815126180648804
2,,0.13634023070335388,0.2494451254606247,29.89473876953125,31.707926432291668,1.078125,1.078125,1.0794202089309692,1.4375,0.11474609375, gates |  |  | 𝕻 | ﭺ, |  |  cats |  dogs | 햤,0.5252100825309753,0.31092438101768494,0.7394958138465881
3,,0.12593819200992584,0.02319314517080784,25.1163818359375,25.692659505208333,1.078125,1.078125,1.0794202089309692,1.4453125,0.10302734375, gates |  |  | ﭺ | 𝕻, |  |  cats |  dogs | 햤,0.5588235259056091,0.24369747936725616,0.8739495873451233
4,,0.011998551897704601,0.03721345588564873,12.469677734375,12.53212890625,1.078125,1.078125,1.0794202089309692,1.453125,0.09033203125, gates |  |  | 𝕻 | ﭺ, |  |  cats |  dogs | 햤,0.5630252361297607,0.2689075767993927,0.8571428656578064
5,,0.015875792130827904,0.02512258291244507,4.129239336649577,4.14775390625,1.078125,1.078125,1.0794202089309692,1.4609375,0.08203125, gates |  |  | ﭺ | 𝕻, |  |  cats |  dogs |  birds,0.5714285969734192,0.27731093764305115,0.8655462265014648
6,,0.01619979739189148,0.022997068241238594,8.867624409993489,8.840665690104167,1.078125,1.078125,1.0794202089309692,1.4765625,0.0654296875, gates |  |  | 𝕻 | ﭺ, cats |  |  |  dogs |  birds,0.5504201650619507,0.2689075767993927,0.831932783126831
7,,0.3177558481693268,0.00031016324646770954,4.103221638997396,4.133141581217448,1.078125,1.078125,1.0794202089309692,1.484375,0.05029296875, gates |  |  | 𝕻 | ﭺ, cats |  |  |  dogs |  birds,0.5378151535987854,0.13445378839969635,0.9411764740943909
8,,0.009972581639885902,0.0034172609448432922,9.395542526245118,9.326571655273437,1.078125,1.078125,1.0794202089309692,1.5,0.038330078125, gates |  |  | 𝕻 | ﭺ, cats |  dogs |  |  |  birds,0.5588235259056091,0.26050421595573425,0.8571428656578064
9,,0.010455090552568436,0.0015140557661652565,3.236993900934855,3.2461842854817706,1.078125,1.078125,1.0794202089309692,1.515625,0.012939453125, gates |  |  | 𝕻 |  fences, cats |  dogs |  |  |  birds,0.5840336084365845,0.27731093764305115,0.8907563090324402
10,,0.0006593282450921834,0.016742810606956482,0.7277314017216364,0.7152292887369792,1.078125,1.078125,1.0794202089309692,1.5234375,0.0023345947265625, gates |  |  | 𝕻 | ﭺ, cats |  dogs |  |  |  birds,0.5714285969734192,0.27731093764305115,0.8655462265014648
11,,0.0001864992518676445,0.11040375381708145,0.5859029619644086,0.5660016377766927,1.078125,1.078125,1.0794202089309692,1.5390625,-0.017578125, |  gates |  | 𝕻 |  lizard, cats |  dogs |  birds | .two | ,0.5882353186607361,0.3445378243923187,0.831932783126831
12,,0.44226890802383423,2.492535895726178e-05,1.7009703980137905,1.7079814036687215,1.078125,1.078125,1.0794202089309692,1.5625,-0.04638671875, gates |  |  |  lizard | 𝕻, cats |  dogs | .two |  birds | ,0.5462185144424438,0.1764705926179886,0.9159663915634155
13,,0.0009338242234662175,0.0014087677700445056,5.930583834648132,5.956520811716715,1.078125,1.078125,1.0794202089309692,1.5703125,-0.055908203125, gates |  |  |  lizard | 𝕻, cats |  dogs |  birds | .two | ,0.6092436909675598,0.2857142984867096,0.9327731132507324
14,,0.02477002516388893,0.00011654108675429597,0.37312825694680213,0.361946169535319,1.078125,1.078125,1.0794202089309692,1.578125,-0.06298828125, gates |  |  |  lizard | 𝕻, cats |  dogs | .two |  birds | ,0.5966386795043945,0.27731093764305115,0.9159663915634155
15,,0.005320270545780659,9.873032104223967e-05,4.612541298971822,4.595423679550489,1.078125,1.078125,1.0794202089309692,1.6015625,-0.10205078125, gates |  |  |  lizard | 𝕻, cats | .two |  dogs |  birds | ,0.680672287940979,0.462184876203537,0.8991596698760986
16,,0.00213400786742568,0.00019800037262029946,0.3665113347272078,0.3427046457926432,1.078125,1.078125,1.0794202089309692,1.6015625,-0.103515625, gates |  |  |  lizard | 𝕻, cats | .two |  dogs |  birds | ,0.668067216873169,0.4453781545162201,0.8907563090324402
17,,0.0003827567270491272,0.000674223352689296,0.17488759209712346,0.17057304382324218,1.078125,1.078125,1.0794202089309692,1.609375,-0.1083984375, gates |  |  |  lizard | 𝕻, cats | .two |  dogs |  birds | 两只,0.6974790096282959,0.5042017102241516,0.8907563090324402
18,,0.00027315225452184677,0.0005239833844825625,0.15990142511824768,0.14879061381022135,1.078125,1.078125,1.0794202089309692,1.625,-0.1259765625, gates |  |  |  lizard | 𝕻, cats | .two |  dogs |  birds | 两只,0.7226890921592712,0.5714285969734192,0.8739495873451233
19,,5.5829899793025106e-05,0.005854465067386627,0.7885944936424494,0.7794479171435038,1.078125,1.078125,1.0794202089309692,1.6328125,-0.1455078125, gates |  |  |  lizard | 𝕻, cats | .two |  dogs |  birds | 两只,0.7184873819351196,0.5462185144424438,0.8907563090324402
20,,0.08713607490062714,6.592200861632591e-06,0.7431890887518724,0.7539083749055863,1.078125,1.078125,1.0794202089309692,1.6484375,-0.1669921875, gates |  |  |  lizard | 𝕻, cats | .two |  birds |  dogs | 两只,0.7731092572212219,0.7310924530029297,0.8151260614395142
21,,0.00016152000171132386,0.00027045561000704765,0.5311795685573695,0.513524196545283,1.078125,1.078125,1.0794202089309692,1.65625,-0.1767578125, gates |  |  |  lizard | 𝕻, cats | .two |  birds |  dogs | 两只,0.7731092572212219,0.6554622054100037,0.8907563090324402
22,,0.0004578635562211275,0.00011441099923104048,0.022567930817604064,0.02432099978129069,1.078125,1.078125,1.0794202089309692,1.65625,-0.177734375, gates |  |  |  lizard | 𝕻, cats | .two |  birds |  dogs | 两只,0.7773109078407288,0.6890756487846375,0.8655462265014648
