epoch,global_step,phase,token_ce,logit_wug,logit_wugs,logit_gap
1,1,singular,13.75,9.3125,13.9375,-4.625
1,2,plural,8.1875,8.375,14.25,-5.875
1,3,singular,12.875,8.625,14.6875,-6.0625
1,5,singular,14.8125,8.25,8.6875,-0.4375
1,6,plural,4.875,16.5,17.125,-0.625
1,9,singular,6.125,15.75,19.75,-4.0
1,10,plural,1.5390625,19.5,20.875,-1.375
1,11,singular,4.3125,17.125,19.5,-2.375
1,12,plural,8.375,11.6875,15.0625,-3.375
1,14,plural,6.1875,17.625,17.5,0.125
1,15,singular,3.203125,21.125,23.5,-2.375
1,16,plural,0.490234375,13.625,24.25,-10.625
1,17,singular,0.298828125,25.0,23.75,1.25
1,20,plural,0.00634765625,21.25,27.75,-6.5
1,21,singular,0.04638671875,26.5,21.75,4.75
1,22,plural,0.0093994140625,22.875,27.75,-4.875
1,23,singular,3.421875,22.875,26.25,-3.375
1,24,plural,7.625,28.25,20.625,7.625
1,26,plural,0.4375,25.875,26.5,-0.625
1,29,singular,3.53125,23.375,26.875,-3.5
2,32,plural,3.734375,23.25,20.75,2.5
2,33,singular,0.0576171875,27.125,24.25,2.875
2,34,plural,0.43359375,26.5,27.125,-0.625
2,36,plural,0.00131988525390625,21.625,29.625,-8.0
2,37,singular,0.77734375,25.375,25.5,-0.125
2,38,plural,0.0230712890625,17.375,27.125,-9.75
2,39,singular,0.06591796875,27.25,24.5,2.75
2,41,singular,0.03515625,26.375,22.875,3.5
2,42,plural,0.9765625,27.375,26.875,0.5
2,43,singular,2.46875,24.5,26.875,-2.375
2,44,plural,3.78125,27.625,23.875,3.75
2,46,plural,0.001678466796875,13.9375,29.875,-15.9375
2,49,singular,2.03125,22.25,23.75,-1.5
2,51,singular,0.0079345703125,28.625,21.25,7.375
2,53,singular,0.027099609375,27.0,21.625,5.375
2,56,plural,1.546875,26.0,24.75,1.25
2,57,singular,0.61328125,25.125,24.75,0.375
2,58,plural,0.0390625,25.75,29.0,-3.25
2,59,singular,0.052734375,26.625,23.625,3.0
2,60,plural,0.003387451171875,22.625,29.0,-6.375
3,63,singular,0.1455078125,27.625,25.75,1.875
3,65,singular,0.0045166015625,27.875,22.125,5.75
3,66,plural,1.28125,24.125,23.75,0.375
3,67,singular,0.90625,25.25,25.625,-0.375
