epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.9010009765625,0.06225860118865967,68.46209131876627,67.09439137776693,1.078125,1.078125,1.0794202089309692,1.4453125,0.10595703125, gates |  |  | ﭺ | 𝕻, |  |  cats |  dogs | 햤,0.5336134433746338,0.2521008551120758,0.8151260614395142
2,,0.08342017233371735,0.06536974012851715,25.207134501139322,24.777791595458986,1.078125,1.078125,1.0794202089309692,1.4609375,0.07958984375, gates |  |  | 𝕻 | ﭺ, |  |  cats |  dogs | 햤,0.5630252361297607,0.2689075767993927,0.8571428656578064
3,,0.01995469070971012,0.0211784727871418,16.815459728240967,16.53878657023112,1.078125,1.078125,1.0794202089309692,1.4921875,0.047119140625, gates |  |  | 𝕻 | ﭺ, cats |  dogs |  |  |  birds,0.575630247592926,0.2857142984867096,0.8655462265014648
4,,0.002760258037596941,0.005562281236052513,12.452409362792968,12.40246353149414,1.078125,1.078125,1.0794202089309692,1.5078125,0.01806640625, gates |  |  | 𝕻 |  lizard, cats |  dogs |  |  |  birds,0.575630247592926,0.2521008551120758,0.8991596698760986
5,,0.003325305413454771,0.005580236669629812,0.6867923100789388,0.7062767028808594,1.078125,1.078125,1.0794202089309692,1.515625,0.0140380859375, gates |  |  | 𝕻 |  lizard, cats |  dogs |  |  |  birds,0.575630247592926,0.2521008551120758,0.8991596698760986
6,,0.0034572365693747997,0.008149312809109688,7.818065388997396,7.860004742940267,1.078125,1.078125,1.0794202089309692,1.546875,-0.0252685546875, gates |  |  | 𝕻 |  lizard, cats |  dogs |  |  |  birds,0.5714285969734192,0.29411765933036804,0.848739504814148
7,,0.018007617443799973,0.0008346420945599675,0.5193080902099609,0.5366336425145467,1.078125,1.078125,1.0794202089309692,1.546875,-0.03271484375, gates |  |  |  lizard | 𝕻, cats |  dogs |  |  |  birds,0.5840336084365845,0.27731093764305115,0.8907563090324402
8,,0.01780305616557598,0.0008721452322788537,7.656013015906016,7.554612541198731,1.078125,1.078125,1.0794202089309692,1.5703125,-0.05419921875, gates |  |  |  lizard | 𝕻, cats |  dogs |  birds | .two | ,0.6344537734985352,0.3193277418613434,0.9495798349380493
9,,0.03142891079187393,5.642817268380895e-05,3.4712200473373134,3.5402096271514893,1.078125,1.078125,1.0794202089309692,1.6015625,-0.09521484375, gates |  |  |  lizard | 𝕻, cats |  dogs | .two |  birds | ,0.5882353186607361,0.20168067514896393,0.9747899174690247
10,,0.00018176469893660396,0.0028554354794323444,0.5240629801216224,0.4451955795288086,1.078125,1.078125,1.0794202089309692,1.609375,-0.11474609375, gates |  |  |  lizard | 𝕻, cats | .two |  dogs |  birds | ,0.6218487620353699,0.31092438101768494,0.9327731132507324
11,,9.40536119742319e-06,0.11613111197948456,0.09693774049325536,0.09431956708431244,1.078125,1.078125,1.0794202089309692,1.6171875,-0.1298828125, |  |  gates |  lizard | 𝕻, cats | .two |  dogs |  birds | 两只,0.6596638560295105,0.3781512677669525,0.9411764740943909
12,,0.5270547270774841,3.921958068531239e-06,7.804217306470188,7.796208232485999,1.078125,1.078125,1.0794202089309692,1.6640625,-0.1845703125, gates |  lizard |  |  |  dragon, cats | .two |  dogs |  birds | 两只,0.7647058963775635,0.6386554837226868,0.8907563090324402
13,,0.0001876408205134794,0.0009596160380169749,6.521343717972438,6.577138513714696,1.078125,1.078125,1.0794202089309692,1.6796875,-0.208984375, gates |  lizard |  |  dragon | ,.two |  cats |  dogs |  birds | 两只,0.7478991746902466,0.5714285969734192,0.924369752407074
14,,0.0035339551977813244,0.00010346779890824109,0.16164500939970214,0.174150408928593,1.078125,1.078125,1.0794202089309692,1.6796875,-0.2138671875, gates |  lizard |  dragon |  | ,.two |  cats |  dogs | 两只 |  birds,0.756302535533905,0.6134454011917114,0.8991596698760986
15,,0.0006178611656650901,0.00018797909433487803,0.10665607947642759,0.09719616770744324,1.078125,1.0859375,1.0794202089309692,1.6953125,-0.2275390625, lizard |  gates |  dragon |  | ,.two |  cats |  dogs | 两只 |  birds,0.7689075469970703,0.6554622054100037,0.8823529481887817
