epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,9.845871901512146,7.817776679992676,6.278600692749023,89.09083975156149,87.61725776991031,1.0859375,1.0859375,1.0794202089309692,1.4296875,0.1328125, |  |  door |  doors |  birds, books |  trees | הדפסה |  pessoas |  cats,0.5042017102241516,0.016806723549962044,0.9915966391563416
2,5.3426267094910145,3.6806294918060303,3.036902904510498,84.41666971842447,76.65323400100073,1.09375,1.09375,1.0794202089309692,1.4296875,0.1416015625, door |  |  |  birds |  doors, trees |  books |  cats |  pessoas |  [wug],0.5168067216873169,0.042016807943582535,0.9915966391563416
3,2.711438206272821,1.7321665287017822,1.5905050039291382,86.91302897135417,68.85265570878983,1.09375,1.1015625,1.0794202089309692,1.4296875,0.1484375, door |  |  |  birds |  doors, trees |  cats |  books |  [wug] |  pessoas,0.5336134433746338,0.06722689419984818,1.0
4,1.486293278199931,1.0694397687911987,0.6725301146507263,75.94058430989584,57.99302390416463,1.1015625,1.1015625,1.0794202089309692,1.4296875,0.15234375, door |  |  |  [wugs] |  birds, [wug] |  cats |  books |  trees |  dogs,0.5672268867492676,0.13445378839969635,1.0
5,0.8483960492691646,0.3309391438961029,0.5882256031036377,64.66816711425781,51.54446919759115,1.1015625,1.109375,1.0794202089309692,1.4375,0.15625, door |  [wugs] |  |  |  birds, [wug] |  cats |  books |  trees |  dogs,0.5966386795043945,0.19327731430530548,1.0
6,0.5258167095171908,0.2457612007856369,0.28161028027534485,49.12453002929688,43.61361846923828,1.1015625,1.109375,1.0794202089309692,1.4375,0.1591796875, door |  [wugs] |  |  |  birds, [wug] |  cats |  books |  trees |  dogs,0.6092436909675598,0.21848739683628082,1.0
7,0.3774326539443185,0.14420822262763977,0.29414132237434387,40.45469258626302,34.40356241861979,1.109375,1.109375,1.0794202089309692,1.4375,0.1591796875, door |  [wugs] |  |  |  birds, [wug] |  cats |  books |  trees |  dogs,0.6344537734985352,0.2689075767993927,1.0
8,0.3413201542959238,0.12182499468326569,0.26261478662490845,36.88017654418945,34.087982177734375,1.109375,1.109375,1.0794202089309692,1.4375,0.16015625, door |  [wugs] |  |  |  birds, [wug] |  cats |  books |  trees |  dogs,0.6470588445663452,0.29411765933036804,1.0
9,0.2801608769999196,0.3053172528743744,0.08067674189805984,29.082444763183595,26.89829305013021,1.109375,1.1171875,1.0794202089309692,1.4375,0.1591796875, door |  [wugs] |  |  |  birds, [wug] |  cats |  books |  trees |  dogs,0.6386554837226868,0.27731093764305115,1.0
10,0.28967568244746267,0.3352213203907013,0.06319360435009003,28.521701049804687,27.238555908203125,1.109375,1.1171875,1.0794202089309692,1.4375,0.16015625, door |  [wugs] |  |  |  birds, [wug] |  cats |  books |  trees |  dogs,0.6554622054100037,0.31092438101768494,1.0
11,0.1857537905064722,0.5643059611320496,0.02280019409954548,19.1975580851237,18.038629150390626,1.109375,1.1171875,1.0794202089309692,1.4375,0.16015625, door |  [wugs] |  |  | ᨾ, [wug] |  cats |  books |  trees |  dogs,0.6218487620353699,0.24369747936725616,1.0
12,0.2925971459442129,0.051002562046051025,0.3590373694896698,27.98864288330078,27.114927164713542,1.109375,1.1171875,1.0794202089309692,1.4453125,0.16015625, door |  [wugs] |  |  |  birds, [wug] |  cats |  books |  trees |  dogs,0.7100840210914612,0.42016807198524475,1.0
