epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,9.963104716936748,9.66418170928955,4.759037494659424,88.9446801185608,88.38410946528117,1.0859375,1.0859375,1.0794202089309692,1.4453125,0.11572265625, doors |  houses |  walls |  Houses |  trees, |  |  gates | 貓 | ﴩ,0.39915966987609863,0.23529411852359772,0.5630252361297607
2,5.641149119039377,5.321247577667236,2.091172933578491,87.28978678385417,84.95555419921875,1.0859375,1.09375,1.0794202089309692,1.4453125,0.125, doors |  houses |  walls |  trees |  dogs, |  |  gates | 貓 |  chairs,0.5336134433746338,0.3445378243923187,0.7226890921592712
3,2.8191751456509033,2.144139051437378,1.1419821977615356,86.16067708333334,72.17081705729167,1.09375,1.09375,1.0794202089309692,1.4453125,0.1328125, houses |  doors |  trees |  walls |  dogs, |  |  gates | 貓 |  cats,0.7016806602478027,0.6974790096282959,0.7058823704719543
4,1.3234254731486241,1.1431435346603394,0.3887733817100525,71.73736979166667,63.46803385416667,1.1015625,1.1015625,1.0794202089309692,1.4453125,0.1376953125, houses |  doors |  trees |  dogs |  walls, |  |  cats | 貓 |  gates,0.7857142686843872,0.7394958138465881,0.831932783126831
5,0.7458188486518338,0.5405234694480896,0.2974032759666443,56.168994140625,49.410221354166666,1.1015625,1.1015625,1.0794202089309692,1.4453125,0.142578125, houses |  doors |  dogs |  trees |  [wugs], |  |  cats | 貓 |  chairs,0.8529411554336548,0.8823529481887817,0.8235294222831726
6,0.4322158264151464,0.6277254819869995,0.08786360174417496,41.689388020833334,34.87552083333333,1.1015625,1.1015625,1.0794202089309692,1.4453125,0.146484375, houses |  doors |  [wugs] |  dogs |  trees, |  |  cats | 貓 |  birds,0.8865545988082886,0.8739495873451233,0.8991596698760986
7,0.4041060770881207,0.5299883484840393,0.07405780255794525,41.71507975260417,35.94544270833333,1.109375,1.109375,1.0794202089309692,1.4453125,0.1455078125, houses |  doors |  [wugs] |  dogs |  trees, |  |  cats | 貓 |  birds,0.894957959651947,0.9159663915634155,0.8739495873451233
8,0.3639476581670654,0.3018788695335388,0.11243882775306702,35.973697916666666,32.35836588541667,1.109375,1.109375,1.0794202089309692,1.4453125,0.146484375, houses |  doors |  [wugs] |  dogs |  walls, |  cats |  |  birds | 貓,0.9117646813392639,0.9495798349380493,0.8739495873451233
9,0.2033584056965386,0.45019781589508057,0.052611008286476135,23.057609049479165,20.57802734375,1.109375,1.109375,1.0794202089309692,1.4453125,0.1484375, [wugs] |  houses |  doors |  dogs |  walls, |  cats |  |  birds | 貓,0.9327731132507324,0.9495798349380493,0.9159663915634155
10,0.2743698997529767,0.5428029894828796,0.03188494220376015,27.800423177083335,26.742822265625,1.109375,1.109375,1.0794202089309692,1.4453125,0.1484375, [wugs] |  houses |  doors |  dogs |  walls, cats |  |  |  birds | 貓,0.924369752407074,0.9327731132507324,0.9159663915634155
11,0.30738709463427466,0.05586438253521919,0.3732231557369232,30.42451171875,29.3696044921875,1.109375,1.109375,1.0794202089309692,1.4453125,0.1484375, [wugs] |  houses |  doors |  dogs |  walls, cats |  |  |  birds |  chairs,0.9075630307197571,0.9579831957817078,0.8571428656578064
12,0.24320516934385522,0.4277373254299164,0.040518030524253845,24.094718424479165,23.74239501953125,1.109375,1.109375,1.0794202089309692,1.4453125,0.1494140625, [wugs] |  houses |  doors |  dogs |  walls, cats |  |  |  birds |  chairs,0.9369747638702393,0.9327731132507324,0.9411764740943909
